,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,217.0,Claudio Pizarro,Werder Bremen,6.9346557,6.6476674,0.28698853,833,781,0.7991280647307138,0.7660563880441741,0.03307166203341319
1,2247.0,Daniele Bonera,Villarreal,-0.38784242,0.11116098,-0.49900338,266,240,-0.1454409122467041,0.0416853666305542,-0.18712627092997233
2,2568.0,Matteo Brighi,Empoli,1.4536539,1.2738347,0.17981923,242,276,0.47401759935461957,0.4153808925462806,0.058636706808339
5,2877.0,Emiliano Moretti,Torino,4.0426693,1.6514885,2.3911808,2742,2164,0.1681331980030109,0.0686848300221667,0.09944836798084421
6,2987.0,Pepe Reina,AC Milan,1.0907236,0.085822366,1.0049013,242,363,0.27042735706676135,0.021278272318774348,0.24914908080718406
7,3283.0,Joaquín,Real Betis,8.242164,7.3440166,0.89814717,2672,1820,0.40757952679644577,0.36316565209692653,0.044413870507544216
8,3328.0,Gianluigi Buffon,PSG,5.641133,0.32037818,5.320755,863,1625,0.31243197866586536,0.017744022075946515,0.2946879695012019
10,4092.0,Rafael,Lyon,1.6407516,0.99032617,0.6504255,1881,1102,0.1339996808669961,0.08087963374253843,0.05312005058607042
11,4173.0,Arjen Robben,Bayern,6.071349,5.9402013,0.13114764,945,610,0.8957728651703382,0.876423119716957,0.019349651649350024
12,4368.0,Sergio Pellissier,Chievo,5.2300973,4.9651337,0.2649633,608,1036,0.4543520953204181,0.43133400581978465,0.023018047156020943
13,4511.0,James Milner,Liverpool,9.044061,7.502543,1.5415179,3934,1922,0.42349919568239464,0.351315755377699,0.07218345618272795
14,4522.0,Santi Cazorla,Villarreal,8.285578,6.1025543,2.1830237,4471,2811,0.26527998092037974,0.19538593326162843,0.06989403680226676
15,5202.0,Daniele De Rossi,Roma,5.6619377,3.5411701,2.1207676,2260,1343,0.37942993436743766,0.23730850503769546,0.14212142932974217
16,5423.0,Rune Jarstein,Hertha Berlin,15.879476,0.8928772,14.986598,2467,2909,0.4912866387182021,0.027624251548266157,0.46366236618844536
18,5583.0,Cristiano Ronaldo,Juventus,29.044754,28.232042,0.8127117,3476,2879,0.9079638180032129,0.8825577593131295,0.0254060639901143
19,5625.0,Aaron Lennon,Burnley,2.3003883,2.243928,0.05646053,892,1309,0.1581626758036311,0.15428076526242598,0.003881930940655737
20,5763.0,Daniel Baier,Augsburg,6.663745,4.031086,2.6326587,4193,2972,0.2017957808031208,0.12207191436480064,0.079723851035774
21,5780.0,Dani Alves,PSG,5.835096,5.467858,0.367238,3833,1725,0.3044397857223732,0.285279541015625,0.019160242495329483
22,6075.0,Andrea Barzagli,Juventus,0.5482396,0.29413414,0.25410542,488,275,0.17942386973987925,0.09626208218661221,0.08316177368164063
23,6093.0,Goran Pandev,Genoa,7.8730617,7.516261,0.3568004,1128,1223,0.5793749480976594,0.5531181528835344,0.026256776499338844
24,6105.0,Phil Jagielka,Everton,1.5153445,1.2614291,0.2539154,482,368,0.37060057598611584,0.3085016789643661,0.06209887628969939
25,6220.0,Michael Rensing,Fortuna Duesseldorf,15.781928,0.48236758,15.299561,2079,3051,0.46554360378769255,0.014229132128090047,0.451314470409292
26,6255.0,Mario Gomez,Stuttgart,12.637496,11.860812,0.7766834,1417,2328,0.48856298702279316,0.45853657411136167,0.03002641946589414
27,6321.0,Mathieu Flamini,Getafe,0.59461343,0.38724235,0.20737109,356,490,0.1092147126489756,0.07112614378637197,0.0380885649700554
28,6476.0,Mathieu Bodmer,Amiens,3.6871896,3.3589482,0.32824147,1565,1183,0.2805131668774435,0.25554127503731244,0.024971878941746354
29,6508.0,Jaroslav Plasil,Bordeaux,4.007285,2.868068,1.1392171,2306,1557,0.23163498405010638,0.16578428333358422,0.06585070071652216
31,6683.0,Dante,Nice,9.7076845,3.9448245,5.76286,6195,3462,0.25236614366131394,0.10255176493503124,0.14981438754129658
32,6740.0,Ludovic Butelle,Angers,18.907179,0.67093176,18.236246,2112,3454,0.4926595593989758,0.01748229812595564,0.4751772458110162
33,6743.0,Hilton,Montpellier,8.3369055,3.5588334,4.7780724,4278,3453,0.2172955320498027,0.09275847478358945,0.12453707494219247
34,6775.0,Petr Cech,Arsenal,4.466579,0.16567044,4.3009086,596,629,0.6390971318716465,0.02370483204367051,0.6153922998279759
35,6776.0,Étienne Didot,Guingamp,6.9448743,3.666555,3.2783191,3101,2244,0.27853774344432375,0.14705433565027573,0.1314833805947805
36,6890.0,Jimmy Briand,Bordeaux,12.563921,11.526124,1.0377973,2024,2674,0.4228694576243455,0.38793986398244673,0.03492960220142898
37,7044.0,Darijo Srna,Cagliari,3.0318587,0.9047938,2.127065,3682,2226,0.12258188636690673,0.036581959685868005,0.08599993353584064
38,7323.0,Emil Hallfredsson,Frosinone,0.22891997,0.22641812,0.002501808,414,557,0.036988862755054634,0.03658461442327585,0.00040424188441819304
39,7323.0,Emil Hallfredsson,Udinese,1.1690371,1.0949814,0.07405576,151,557,0.1888928918478947,0.17692698781751431,0.01196592200808294
42,8028.0,Salomon Kalou,Hertha Berlin,11.680798,10.811291,0.86950684,2312,2424,0.43369295730842616,0.40140931283680126,0.0322836696511448
43,8040.0,Cesc Fàbregas,Chelsea,0.7355999,0.5694667,0.16613312,465,1232,0.053737002533751646,0.04160065155524712,0.012136347882159344
44,8040.0,Cesc Fàbregas,Monaco,4.230599,3.4946253,0.7359736,1758,1232,0.3090534953327922,0.25528917684183494,0.05376430610557655
45,8157.0,Wes Morgan,Leicester,7.4936376,4.6357665,2.8578713,2521,2060,0.3273919262932342,0.20253349230127426,0.12485844880631826
46,8166.0,Ashley Young,Man Utd,9.060888,3.9956312,5.0652566,4357,2793,0.29197276026981517,0.12875288633134174,0.16321987393847343
47,8222.0,Leighton Baines,Everton,-0.8779465,0.16495705,-1.0429034,538,417,-0.18948485010819469,0.03560224025369548,-0.22508706291802497
48,8247.0,Mark Noble,West Ham,7.8889365,6.216073,1.6728631,3773,2416,0.2938759405881364,0.23155902079399057,0.062316919794145796
50,8786.0,Joe Hart,Burnley,11.330818,0.5072205,10.823597,1238,1845,0.55272282959646,0.024742463481458546,0.5279803351012026
51,8946.0,Per Skjelbred,Hertha Berlin,2.175259,1.2881557,0.8871035,1479,1060,0.18469180700913915,0.10937171072330115,0.07532011068092202
