,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2943.0,Christian Maggio,Benevento,0.025339936546515673,0.2584645100287162,-0.2331245734822005,211,329,0.0069318975355210045,0.0707045772115029,-0.0637726796759819
1,2987.0,Pepe Reina,Lazio,5.940509683918208,3.9901226572692394,1.9503870266489685,1826,2779,0.1923878630991863,0.12922311592451657,0.06316474717466972
2,3281.0,Zlatan Ibrahimovic,AC Milan,1.9792699944822754,2.6966215193982874,-0.7173515249160118,891,1584,0.11245852241376564,0.1532171317839936,-0.04075860937022795
3,3283.0,Joaquín,Real Betis,2.1437749253613876,2.389893893714063,-0.24611896835267544,1144,1371,0.14072920735413924,0.15688581359173281,-0.016156606237593574
4,3328.0,Gianluigi Buffon,Juventus,1.276803613116499,0.7737104898551479,0.5030931232613511,454,758,0.15159937358903022,0.09186536159229988,0.05973401199673035
5,4511.0,James Milner,Liverpool,1.5076675084868911,1.6699106132304296,-0.16224310474353842,1380,1191,0.11392953464636457,0.12618971888391156,-0.012260184237546984
6,5423.0,Rune Jarstein,Hertha Berlin,0.7935316072544083,0.7033212044043466,0.09021040285006166,450,765,0.09335665967698921,0.08274367110639372,0.01061298857059549
7,5583.0,Cristiano Ronaldo,Juventus,12.591613896102249,13.307490027449862,-0.7158761313476134,1920,2973,0.3811790281362941,0.40285035400958213,-0.021671325873287996
8,6093.0,Goran Pandev,Genoa,3.9042338498097173,4.283341043889269,-0.37910719407955185,773,1485,0.23662023332180107,0.25959642690237994,-0.0229761935805789
9,6105.0,Phil Jagielka,Sheff Utd,-0.01339127216488123,0.30046920716995373,-0.31386047933483496,325,570,-0.002114411394454931,0.04744250639525585,-0.04955691778971078
10,6683.0,Dante,Nice,2.6247417310951278,3.2855914825340733,-0.6608497514389455,1020,829,0.2849538670670223,0.35669871342348203,-0.07174484635645971
11,6743.0,Hilton,Montpellier,0.2847432886483148,2.3422795442165807,-2.057536255568266,1652,2271,0.011284410382363861,0.09282481681175353,-0.08154040642938967
12,6890.0,Jimmy Briand,Bordeaux,-3.1274996104457156,-2.2448266226838083,-0.8826729877619073,294,653,-0.4310489509036974,-0.3093941746424851,-0.12165477626121234
13,8013.0,Klaas Jan Huntelaar,Schalke,-0.4872038949670009,0.31977018536601964,-0.8069740803330205,222,616,-0.07118238725167221,0.04671966993984053,-0.11790205719151274
14,8040.0,Cesc Fàbregas,Monaco,1.2945403691222483,1.6955519724827783,-0.40101160336053,1117,935,0.12460816387272979,0.1632082112550268,-0.038600047382297005
17,8166.0,Ashley Young,Inter,1.6012667897962964,2.959488716406282,-1.3582219266099855,975,1500,0.09607600738777779,0.17756932298437694,-0.08149331559659913
18,8247.0,Mark Noble,West Ham,0.9213176240283064,0.9017521167825907,0.019565507245715708,633,793,0.10456316035630213,0.1023426109841528,0.0022205493721493236
20,9016.0,Franck Ribéry,Fiorentina,2.5460271324263886,2.9257144734147005,-0.3796873409883119,1646,2226,0.10293910238920709,0.11829034259089086,-0.01535124020168377
21,9446.0,Jesús Navas,Sevilla,6.546539598691044,7.441752051869873,-0.8952124531788286,2962,2995,0.19672406139639198,0.22362527033999618,-0.026901208943604198
22,9730.0,Fabio Quagliarella,Sampdoria,2.6403557805807183,3.1307838282428535,-0.4904280476621352,950,2303,0.10318368226324996,0.12234934630562605,-0.019165664042376105
23,9767.0,Robert Snodgrass,WBA,0.39385607227450237,0.4065352026373148,-0.01267913036281243,254,571,0.062078890551147486,0.06407735242969935,-0.0019984618785518714
24,9767.0,Robert Snodgrass,West Ham,0.0032423589727841318,0.003537046257406473,-0.0002946872846223414,5,571,0.0005110548293355023,0.0005575029127260641,-4.644808339056169e-05
25,9907.0,Rubén Martínez,Osasuna,0.2742702504619956,0.3628261180128902,-0.08855586755089462,80,197,0.12530112965268836,0.1657581249805082,-0.04045699532781988
26,9909.0,Sergio Ramos,Real Madrid,1.882265074997168,2.394467139562085,-0.5122020645649172,1654,1360,0.1245616593748126,0.15845738423572622,-0.03389572486091364
27,9972.0,Samir Handanovic,Inter,5.10773402050836,2.9947909879265353,2.112943032581825,1644,3438,0.1337103146729937,0.07839766984100878,0.05531264483198494
28,9991.0,Giorgio Chiellini,Juventus,0.5873785673466045,2.2322955246199854,-1.6449169572733808,1610,1475,0.03584004817708095,0.13620786251918554,-0.1003678143421046
29,10067.0,Pedro López,SD Huesca,2.0715002467040904,2.302184478205163,-0.23068423150107265,937,1149,0.16225850496376687,0.1803277659168535,-0.01806926095308663
30,10088.0,Oscar Wendt,Borussia M.Gladbach,1.6664481351617724,2.2242615523864515,-0.5578134172246791,960,1312,0.11431427756445085,0.152578917465534,-0.03826463990108317
32,10194.0,Hatem Ben Arfa,Bordeaux,3.2067258868729693,3.996073121404275,-0.7893472345313057,1601,1782,0.16195585287237219,0.20182187481839772,-0.039866021946025544
34,10447.0,Jota,Deportivo Alaves,1.0924840902504511,1.178560859064106,-0.08607676881365478,897,1482,0.06634518766703144,0.0715725218055125,-0.005227334138481059
35,10454.0,Djibril Sidibé,Monaco,4.34610302056442,5.9199161875285204,-1.5738131669641007,2630,2122,0.18433047683826476,0.2510803284060164,-0.06674985156775168
36,10839.0,Ragnar Klavan,Cagliari,-0.30244875769130886,0.5997464533429593,-0.9021952110342681,645,829,-0.032835208917029915,0.06511119517595457,-0.09794640409298448
37,11090.0,Lukasz Piszczek,Borussia Dortmund,0.8257907033839729,0.8600261299870908,-0.03423542660311796,464,490,0.1516758434786889,0.15796398305885342,-0.006288139580164523
38,11119.0,Lionel Messi,Barcelona,28.354840719205924,29.81509373494856,-1.4602530157426372,4222,3224,0.7915433203252273,0.8323072072411198,-0.04076388691589248
39,11269.0,Christian Gentner,Union Berlin,0.7405766028678045,0.7016635979525745,0.038913004915229976,732,1098,0.06070300023506594,0.05751340966824381,0.003189590566822129
40,11367.0,Mathieu Debuchy,Saint-Etienne,-0.7519612459582277,2.9027412282302976,-3.6547024741885252,1907,2226,-0.03040274579345934,0.11736150518451338,-0.14776425097797272
41,11386.0,Raúl García,Athletic Club,-1.1466531323330158,-0.8668260426729134,-0.2798270896601025,961,1858,-0.055542939671674604,-0.04198834437059322,-0.013554595301081392
42,11878.0,Alberto Cifuentes,Cadiz,0.22515693382592872,0.21948523161699995,0.005671702208928764,91,196,0.1033883879812938,0.10078403492617345,0.0026043530551203508
43,11895.0,Adama Soumaoro,Bologna,-0.3670851935457904,1.5865157772786915,-1.953600970824482,1396,2011,-0.016428477085589824,0.07100269515419305,-0.08743117223978288
44,11895.0,Adama Soumaoro,Lille,0.32216560473898426,0.3143591600237414,0.007806444715242833,170,2011,0.014418152375190743,0.014068783889675151,0.0003493684855155917
45,11981.0,Gary Cahill,Crystal Palace,0.8807088250177912,1.8196124588139355,-0.9389036337961443,1155,1924,0.04119739825966799,0.08511700690917577,-0.04391960864950779
46,12124.0,Scott Dann,Crystal Palace,1.7699477083515376,2.3355658397777006,-0.565618131426163,947,1448,0.11001056198317567,0.14516638506905596,-0.0351558230858803
47,12267.0,Aleksandar Kolarov,Inter,0.8930092625441031,1.569887335913256,-0.6768780733691528,541,424,0.18955385289851245,0.33323080243441755,-0.1436769495359051
48,12431.0,Christian Fuchs,Leicester,0.05697862119995989,1.1601098474347964,-1.1031312262348365,816,758,0.006765271646433232,0.13774391328381488,-0.13097864163738165
49,12462.0,Valon Behrami,Genoa,-0.184364911459852,0.1386046057450585,-0.3229695172049105,379,964,-0.01721249173380361,0.012940264021841561,-0.03015275575564517
50,12575.0,Raúl Albiol,Villarreal,4.094197692640591,4.799019186524674,-0.7048214938840829,3163,3318,0.11105418696131802,0.13017231066522625,-0.019118123703908217
51,12712.0,Gerard Piqué,Barcelona,2.5515022086910903,2.4281506601837464,0.12335154850734398,1868,1578,0.14552293965918767,0.1384876802386167,0.007035259420570949
52,13343.0,Daniel Congré,Montpellier,3.9264065149473026,4.839348712761421,-0.9129421978141181,2413,3500,0.10096473895578778,0.12444039547100796,-0.02347565651522018
53,13361.0,Fernando Llorente,Napoli,-0.4294934657518752,-0.3626192406518385,-0.06687422510003671,40,815,-0.04742872627934818,-0.040043842525969896,-0.007384883753378287
54,13361.0,Fernando Llorente,Udinese,-1.603449544054456,-1.2892514372360893,-0.3141981068183668,352,815,-0.17706804780969454,-0.14237132435735955,-0.03469672345233498
55,13399.0,Billy Sharp,Sheff Utd,-0.5525226849676519,-0.4646797880377098,-0.08784289692994207,233,815,-0.06101477502710266,-0.05131433242134219,-0.009700442605760475
56,13423.0,Gonzalo Castro,Stuttgart,4.491250545163406,4.962474901285954,-0.47122435612254776,1362,1789,0.22594329181928818,0.2496493801653079,-0.02370608834601973
57,13754.0,Manuel Neuer,Bayern,6.200308034021873,3.5847073146142066,2.6156007194076665,2045,3153,0.17698310277893073,0.10232275874255585,0.07466034403637488
58,13764.0,Sami Khedira,Hertha Berlin,0.19502074585761875,0.21701282472349703,-0.021992078865878284,337,421,0.04169089578903964,0.046392290320937606,-0.00470139453189797
59,13765.0,Michael Langer,Schalke,0.1351149670081213,0.18128282972611487,-0.04616786271799356,119,251,0.04844759773199569,0.06500181145557904,-0.016554213723583348
60,13796.0,Theo Walcott,Everton,0.03322254604427144,0.0334257110953331,-0.00020316505106166005,4,1728,0.001730340939805804,0.0017409224528819323,-1.0581513076128127e-05
61,13796.0,Theo Walcott,Southampton,0.07631765043735506,0.4637035737363622,-0.3873859232990071,830,1728,0.003974877626945576,0.02415122779876886,-0.020176350171823287
62,13798.0,Shane Long,Southampton,-0.3310284862527624,-0.2727903011254966,-0.05823818512726575,103,256,-0.11637720219823677,-0.09590284023943241,-0.020474361958804366
63,13812.0,Gareth Bale,Tottenham,8.529475921722595,8.729764555829577,-0.2002886341069825,788,993,0.7730642829355826,0.7912173313440705,-0.01815304840848784
64,13895.0,Domenico Criscito,Genoa,3.2322237760803922,4.034288574678104,-0.8020647985977121,1670,1834,0.1586151253256463,0.1979749027922734,-0.03935977746662709
65,14058.0,Dimitri Payet,Marseille,6.360147531043485,8.075563410894691,-1.7154158798512071,2192,2565,0.2231630712646837,0.2833531021366558,-0.06019003087197218
66,14063.0,Cristián Zapata,Genoa,-0.14851527655264363,0.5704912517685443,-0.7190065283211879,819,1023,-0.0130658601072707,0.050189846196646126,-0.06325570630391683
67,14085.0,Antonio Barragán,Elche,1.9176912457915023,3.1815355921862647,-1.2638443463947624,1913,2385,0.07236570738835858,0.12005794687495339,-0.04769223948659481
68,14089.0,Adrián López,Osasuna,-0.49380221468163654,-0.3418598575517535,-0.15194235712988302,337,527,-0.08433054899686393,-0.058382138860830775,-0.025948410136033155
69,14091.0,Javi Martínez,Bayern,0.5898442313191481,0.6454534195363522,-0.055609188217204064,601,518,0.10248258845313384,0.11214441652176002,-0.009661828068626189
70,14102.0,David Silva,Real Sociedad,2.785568045316264,3.647482478156686,-0.8619144328404218,1426,1450,0.17289732695066468,0.22639546416144946,-0.0534981372107848
71,14126.0,Luca Cigarini,Crotone,1.9958398346235044,2.3832326383590696,-0.3873928037355654,1096,977,0.18385423246275884,0.21954036586726333,-0.03568613340450449
72,14157.0,Andrea Masiello,Genoa,2.433991516008973,3.5511386556900106,-1.1171471396810375,2054,2705,0.08098308186351481,0.11815248762000036,-0.037169405756485537
73,14189.0,Nino,Elche,0.1597501501091756,0.22876207833178341,-0.06901192822260782,177,341,0.042162796216497954,0.060377088122758084,-0.01821429190626013
74,14199.0,Claudio Bravo,Real Betis,3.0745296486420557,1.6988173252902925,1.3757123233517632,1017,1941,0.14255933455836425,0.07877050967342933,0.06378882488493492
75,14255.0,Stefano Okaka,Udinese,-1.4989699175930582,-0.9710773817496374,-0.5278925358434208,614,1583,-0.08522254743106458,-0.05520970584805267,-0.030012841583011922
76,14260.0,Sergio Agüero,Man City,0.15014369617351897,0.2464587287432105,-0.09631503256969154,300,590,0.022903275687485944,0.037595399299811774,-0.014692123612325829
77,14296.0,Karim Benzema,Real Madrid,11.104986335375791,11.675301026283044,-0.570314690907253,1998,3043,0.3284419225053635,0.3453095932847433,-0.016867670779379812
