Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Appindangoyé,-0.015,-0.008,-0.007,0.0,1992,28.0,UEL,Sivasspor,Gabon,CB,,8.2,8.7,22.1,-3.1,1.3,0.9,0.9,53.3,12.9,0.0
Aaron Connolly,0.04,0.036,0.004,1.34,2000,20.0,Premier League,Brighton,Ireland,ST,"AM, LW",9.6,6.7,25.4,-11.1,0.8,0.8,0.7,34.0,12.8,0.0
Aaron Cresswell,0.067,0.027,0.04,6.02,1989,30.0,Premier League,West Ham,England,LB,CB,9.1,10.4,24.2,-7.9,1.1,0.6,7.3,53.0,16.6,0.0
Aaron Hickey,-0.037,-0.013,-0.025,0.83,2002,18.0,Serie A,Bologna,Scotland,LB,,7.3,10.1,21.2,-3.6,1.6,1.0,0.7,51.0,12.7,0.0
Aaron Leya Iseka,-0.012,-0.017,0.005,1.31,1997,22.0,Ligue 1,Metz,Belgium,ST,,10.4,7.0,27.3,-5.0,0.6,0.7,0.6,44.4,12.9,0.0
Aaron Meijers,-0.052,-0.033,-0.019,1.11,1987,32.0,Eredivisie,Sparta Rotterdam,Netherlands,LB,"RW, LM",9.4,10.0,26.3,-4.6,1.1,1.6,1.8,59.9,15.7,0.0
Aaron Ramsdale,-0.004,0.003,-0.006,4.64,1998,22.0,Premier League,Sheffield United,England,GK,,3.8,2.8,37.5,-3.1,0.4,0.3,0.6,55.2,14.4,6.9
Aaron Ramsey,0.104,0.091,0.013,2.29,1990,29.0,"Euros, UCL, Serie A","Juventus, Wales",Wales,CM,"AM, ST, LM, RM",14.1,11.2,20.0,-15.8,1.2,1.1,1.2,44.7,15.7,0.0
Aaron Wan-Bissaka,0.089,0.032,0.058,6.32,1997,22.0,"Premier League, UEL",Manchester United,England,RB,WB,7.0,9.4,17.8,2.0,1.9,1.6,0.5,49.6,12.1,0.0
Aarón Escandell,0.018,0.017,0.001,0.68,1995,24.0,"La Liga, UEL",Granada,Spain,GK,,7.0,6.9,27.5,-3.1,0.9,0.8,0.8,51.3,13.6,-2.3
Aarón Martín,-0.027,-0.01,-0.017,2.12,1997,23.0,La Liga,"Mainz 05, Celta Vigo",Spain,LB,WB,6.8,9.4,23.0,-4.1,1.0,1.1,1.3,47.3,13.2,0.0
Abbas Ibrahim,-0.02,-0.012,-0.008,0.34,1998,22.0,Primeira Liga,Paços de Ferreira,Nigeria,CM,"RM, LM",9.7,9.3,22.6,-3.1,1.2,1.1,0.9,48.8,13.6,0.0
Abdallah Sima,0.016,0.012,0.004,0.0,2001,19.0,UEL,Slavia Prague,Senegal,RW,"LW, ST, RM",11.7,8.9,26.5,4.1,1.0,1.0,0.7,42.0,13.8,0.0
Abdel Jalil Medioub,-0.042,-0.01,-0.032,1.1,1997,22.0,Primeira Liga,Tondela,Algeria,CB,,9.2,8.5,21.5,-5.1,1.6,0.8,0.6,59.0,12.1,0.0
Abdenasser El Khayati,-0.088,-0.064,-0.024,0.62,1989,31.0,Eredivisie,ADO Den Haag,Netherlands,CM,LM,11.8,12.6,25.0,-2.0,0.7,0.7,1.5,46.6,14.3,0.0
Abdou Diallo,0.036,0.021,0.015,2.47,1996,24.0,"UCL, Ligue 1",Paris Saint-Germain,Senegal,CB,LB,4.2,7.9,14.3,-4.1,1.5,1.0,0.4,55.7,9.7,0.0
Abdou Harroui,-0.011,-0.008,-0.003,3.6,1998,22.0,Eredivisie,Sparta Rotterdam,Netherlands,DM,"RM, CM",14.9,16.4,25.2,-0.4,1.1,1.7,2.2,52.1,17.9,0.0
Abdoul Kader Bamba,-0.01,-0.01,0.0,1.2,1994,26.0,Ligue 1,Nantes,France,LW,"RW, LM, ST, RM",15.5,11.8,26.1,3.8,1.0,0.7,2.4,44.1,17.5,0.0
Abdoul-Fessal Tapsoba,-0.013,-0.007,-0.006,0.74,2001,18.0,"Belgian Pro League, UEL",Standard Liège,Burkina Faso,ST,"AM, RW, LW, CM",9.1,7.2,26.7,-5.5,0.9,1.2,0.6,46.0,13.5,0.0
Abdoulay Diaby,-0.001,-0.001,0.0,0.35,1991,29.0,Belgian Pro League,"Anderlecht, Getafe",Mali,ST,AM,10.7,9.2,24.4,-4.4,1.2,1.0,0.9,44.3,14.4,0.0
Abdoulaye Ba,-0.024,-0.013,-0.011,1.18,1991,29.0,Primeira Liga,Moreirense,Senegal,CB,,6.4,7.0,20.9,-5.1,1.4,1.0,1.6,62.7,10.6,0.0
Abdoulaye Bamba,-0.016,-0.013,-0.003,1.71,1990,30.0,Ligue 1,Angers,Côte d'Ivoire,RB,,8.4,9.0,23.9,-3.6,1.3,1.1,0.9,50.9,13.9,0.0
Abdoulaye Doucouré,0.047,0.035,0.012,4.25,1993,27.0,Premier League,Everton,Mali,CM,"DM, RM",10.6,10.2,19.4,-4.2,1.5,1.3,0.6,60.1,12.6,0.0
Abdoulaye Seck,0.028,0.029,-0.002,4.35,1992,28.0,"Belgian Pro League, UEL",Antwerp,Senegal,CB,,6.3,9.6,22.4,-4.6,1.5,1.3,0.7,69.2,15.0,0.0
Abdoulaye Sissako,-0.039,-0.02,-0.019,0.7,1998,22.0,Belgian Pro League,Zulte Waregem,France,CM,"DM, RB, ST, RM",9.0,10.3,23.3,-4.6,1.6,1.1,0.7,46.1,14.1,0.0
Abdoulaye Touré,0.005,0.007,-0.002,2.39,1994,26.0,Ligue 1,Nantes,Guinea,CM,"DM, LM",12.2,11.0,19.7,-6.6,1.3,0.8,0.5,56.0,13.1,0.0
Abdoulie Sanyang,-0.01,-0.006,-0.003,0.94,1999,21.0,Belgian Pro League,Beerschot Wilrijk,Gambia,RW,"ST, LM, CM, WB",13.5,11.3,30.0,-7.9,0.8,1.7,0.7,44.3,17.0,0.0
Abdu Conté,-0.04,-0.027,-0.013,1.99,1998,22.0,Primeira Liga,Moreirense,Portugal,LB,"LM, WB",9.7,12.0,24.9,-4.6,0.9,1.1,1.3,47.0,14.5,0.0
Abdul Majeed Waris,-0.034,-0.024,-0.009,0.62,1991,28.0,Ligue 1,Strasbourg,Ghana,RW,"AM, ST, RM",9.4,9.1,25.4,-8.3,1.0,0.7,0.8,45.7,14.0,0.0
Abdul Mumin,-0.05,-0.015,-0.035,2.05,1998,22.0,Primeira Liga,Vitória,Ghana,CB,,4.5,6.7,18.5,-4.1,1.1,0.8,0.5,50.9,10.3,0.0
Abdulla Yusuf Helal,0.003,0.011,-0.008,0.0,1993,27.0,UEL,Slovan Liberec,Bahrain,ST,,10.4,9.2,26.2,-10.4,0.9,0.9,1.1,51.0,15.4,0.0
Abdullahi Ibrahim Alhassan,-0.02,-0.015,-0.005,1.38,1996,23.0,Primeira Liga,Nacional,Nigeria,CM,DM,9.9,7.9,20.0,-8.3,1.9,1.2,0.7,50.6,12.0,0.0
Abel Ruiz,0.018,0.02,-0.002,1.96,2000,20.0,"Primeira Liga, UEL",Braga,Spain,ST,AM,11.9,6.8,25.9,-11.8,0.7,0.6,0.5,43.7,12.5,0.0
Abner,-0.066,-0.038,-0.028,1.09,1996,24.0,Primeira Liga,Farense,Brazil,LB,,6.6,8.7,27.9,-3.1,2.1,1.0,1.6,45.1,14.7,0.0
