Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aboubakar Kamara,-0.037,-0.029,-0.009,0.96,1995,25.0,Ligue 1,"Fulham, Dijon",Mauritania,ST,"AM, RW, CB, LW, WB",13.4,8.3,28.4,-6.2,0.8,0.7,0.7,48.4,15.5,0.0
Aboubakary Koita,-0.064,-0.058,-0.006,1.6,1998,21.0,Belgian Pro League,Waasland-Beveren,Mauritania,CM,"AM, CB, LW, ST, LM",16.1,11.5,29.9,12.7,0.9,1.1,6.0,41.7,17.7,0.0
Achraf Hakimi,0.162,0.14,0.022,6.96,1998,21.0,"UCL, Serie A",Inter Milan,Morocco,WB,,11.7,10.3,21.8,6.6,1.2,1.3,1.1,43.9,16.0,0.0
Adam Gnezda Čerin,-0.043,-0.016,-0.027,0.0,1999,21.0,UEL,Rijeka,Slovenia,CM,,8.4,8.7,22.6,-3.1,1.2,0.8,1.0,44.3,13.0,0.0
Adam Jakubech,-0.018,-0.005,-0.013,1.34,1997,23.0,Belgian Pro League,Kortrijk,Slovakia,GK,,4.7,4.6,25.7,-3.1,0.6,0.5,0.6,50.0,10.9,1.9
Adam Lallana,0.041,0.028,0.013,2.71,1988,32.0,Premier League,Brighton,England,CM,"AM, ST, LM, RM",13.7,11.9,20.0,-5.7,1.1,0.9,0.5,39.0,14.2,0.0
Adam Maher,-0.021,-0.025,0.005,2.66,1993,27.0,Eredivisie,Utrecht,Netherlands,CM,"DM, LM, RM",11.8,14.2,25.8,-3.9,1.8,1.6,8.0,55.2,20.4,0.0
Adam Marušić,0.048,-0.002,0.05,5.21,1992,27.0,"UCL, Serie A",Lazio,Montenegro,WB,"CB, RB",8.2,7.0,19.4,-4.2,1.4,0.7,0.8,50.0,11.7,0.0
Adam Ounas,0.034,0.026,0.008,2.47,1996,23.0,Serie A,"Cagliari, Crotone",Algeria,ST,"AM, RW, LM, RM, CM",16.6,14.2,27.6,0.9,0.8,0.7,1.3,45.5,17.2,0.0
Adam Webster,0.068,0.021,0.047,4.92,1995,25.0,Premier League,Brighton,England,CB,,6.4,10.1,19.5,-7.5,1.7,0.8,0.4,57.5,13.8,0.0
Adama Soumaoro,0.037,0.015,0.022,3.16,1992,28.0,"Serie A, UEL","Bologna, Lille",France,CB,,5.4,6.7,14.0,-5.7,1.3,0.8,0.4,72.0,8.8,0.0
Adama Traoré,0.022,0.002,0.02,4.12,1996,24.0,"Premier League, Euros","Spain, Wolves",Spain,RW,"AM, LW, ST, RM, WB",17.0,14.4,35.3,-2.8,0.6,0.8,0.4,49.2,20.4,0.0
Adel Taarabt,0.014,0.028,-0.014,2.44,1989,31.0,"Primeira Liga, UEL",Benfica,Morocco,CM,"DM, LM",13.8,14.1,19.9,-6.5,1.4,1.0,1.3,45.5,15.3,0.0
Ademola Lookman,-0.001,-0.017,0.016,3.78,1997,22.0,Premier League,Fulham,Nigeria,LW,"AM, RW, ST, LM",16.8,11.9,30.3,-8.4,0.9,0.6,4.0,38.6,19.4,0.0
Aderlan Santos,0.018,0.004,0.014,4.25,1989,31.0,Primeira Liga,Rio Ave,Brazil,CB,,5.2,6.6,15.1,-1.4,1.9,1.2,0.6,60.2,10.0,0.0
Adil Aouchiche,-0.022,-0.02,-0.002,2.11,2002,18.0,Ligue 1,Saint-Étienne,France,LW,"AM, RW, ST, LM, RM, CM",15.6,12.6,29.7,-8.8,0.8,1.1,6.1,40.4,17.9,0.0
Adil Auassar,-0.061,-0.039,-0.021,2.22,1986,33.0,Eredivisie,Sparta Rotterdam,Netherlands,DM,"CB, LM, CM",8.5,9.8,27.3,-7.4,1.7,1.4,0.9,62.2,14.9,0.0
Adil Rami,-0.066,-0.014,-0.052,1.59,1985,34.0,Primeira Liga,Boavista,France,CB,,5.1,7.5,18.7,-4.1,1.7,0.8,0.7,58.1,9.7,0.0
Admir Mehmedi,-0.002,-0.003,0.001,1.12,1991,29.0,"Bundesliga, Euros","Wolfsburg, Switzerland",Switzerland,AM,"RW, DM, LW, ST",14.1,12.1,24.6,-6.5,0.9,1.0,0.9,38.5,15.5,0.0
Adnan Januzaj,0.055,0.047,0.008,1.83,1995,25.0,"La Liga, UEL",Real Sociedad,Belgium,RW,"LW, LM, RM, CM",15.4,13.2,30.9,-11.6,0.9,0.9,4.5,49.1,21.2,0.0
Adolfo Gaich,-0.01,-0.016,0.006,1.0,1999,21.0,"Serie A, UEL","CSKA Moscow, Benevento",Argentina,ST,AM,9.4,6.9,29.1,-2.2,0.8,0.8,0.6,30.5,14.6,0.0
Adrian Fein,-0.053,-0.045,-0.008,0.41,1999,21.0,"UEL, Eredivisie",PSV,Germany,CM,"LB, AM, DM, LW, ST, RM",11.1,10.3,20.6,-1.5,1.3,0.8,1.1,46.9,13.9,0.0
Adrian Grbić,-0.008,-0.009,0.001,1.27,1996,23.0,Ligue 1,Lorient,Austria,ST,"LW, CM",9.4,7.3,28.1,-15.8,0.9,0.7,1.5,43.9,14.0,0.0
Adrian Jusino,-0.052,-0.014,-0.038,0.0,1992,28.0,Copa America,Bolivia,Bolivia,CB,,8.3,7.6,21.4,-3.1,1.1,0.9,0.9,47.8,11.8,0.0
Adrian Szöke,-0.067,-0.047,-0.02,0.56,1998,22.0,Eredivisie,Heracles Almelo,Hungary,ST,LW,9.8,7.5,26.6,-7.9,0.8,0.7,1.0,40.7,13.1,0.0
Adriano,-0.009,-0.021,0.012,2.34,1984,35.0,Belgian Pro League,Eupen,Brazil,WB,"LB, RB",12.3,13.8,21.5,-6.5,1.6,1.1,1.3,44.2,14.9,0.0
Adriano Castanheira,-0.013,-0.017,0.004,0.44,1993,27.0,Primeira Liga,Paços de Ferreira,Portugal,LW,"RW, LM",10.1,10.5,25.4,-4.1,1.1,1.0,0.9,46.7,14.6,0.0
Adrien Hunou,0.061,0.056,0.005,1.08,1994,26.0,"UCL, Ligue 1",Rennes,France,ST,"LM, CM",9.8,7.3,23.6,-5.8,0.9,0.8,0.7,42.3,13.5,0.0
Adrien Rabiot,0.103,0.033,0.071,5.01,1995,25.0,"Euros, UCL, Serie A","Juventus, France",France,CM,"DM, LM",8.6,10.6,15.1,6.3,2.0,1.7,0.3,61.5,12.1,0.0
Adrien Silva,-0.001,-0.011,0.01,2.21,1989,31.0,Serie A,Sampdoria,Portugal,CM,,9.9,10.2,18.3,-0.5,1.6,1.2,0.8,52.8,11.9,0.0
Adrien Tameze,-0.013,-0.015,0.002,2.97,1994,26.0,Serie A,Hellas Verona,Cameroon,CM,AM,9.1,9.4,22.7,-3.9,1.3,1.0,0.4,48.5,12.4,0.0
Adrien Thomasson,0.026,0.018,0.008,4.18,1993,26.0,Ligue 1,Strasbourg,France,AM,"ST, RM, CM",16.8,9.4,26.7,-7.0,1.0,0.8,0.5,33.7,15.9,0.0
Adrien Trebel,-0.008,-0.013,0.005,1.14,1991,29.0,Belgian Pro League,Anderlecht,France,CM,"DM, RM, LM",11.9,11.5,22.7,4.0,1.5,1.7,4.2,48.0,16.1,0.0
Adrien Truffert,0.009,0.006,0.003,2.84,2001,18.0,"UCL, Ligue 1",Rennes,France,LB,LM,8.5,8.7,20.1,-3.9,1.2,1.1,0.4,47.0,13.9,0.0
Adrián,0.016,0.026,-0.01,0.41,1987,33.0,"Premier League, UCL",Liverpool,Spain,GK,,6.8,6.5,22.7,-3.1,0.9,0.8,0.9,53.8,12.0,4.8
Adrián Dalmau,0.016,0.022,-0.006,1.01,1994,26.0,Eredivisie,Utrecht,Spain,ST,"LW, LM",8.5,6.5,27.3,-7.3,0.8,0.8,0.7,43.7,13.6,0.0
Adrián López,0.008,0.004,0.004,0.69,1988,32.0,La Liga,Osasuna,Spain,ST,LM,12.8,10.7,26.7,-4.8,0.9,0.9,0.8,42.8,15.5,0.0
Adrián Martínez,-0.051,-0.009,-0.042,0.0,1993,27.0,Copa America,Venezuela,Venezuela,CB,,8.8,8.6,21.9,-3.1,1.6,0.9,0.9,52.3,12.6,0.0
Adrián Marín,-0.013,0.013,-0.026,0.46,1997,23.0,La Liga,"Granada, Deportivo Alavés",Spain,LB,"LW, LM",10.0,10.9,24.5,-4.1,1.4,1.0,0.9,54.3,14.4,0.0
Afonso Figueiredo,-0.038,-0.016,-0.022,0.76,1993,27.0,Primeira Liga,Moreirense,Portugal,LB,LM,9.5,9.9,24.1,-3.1,1.3,0.7,1.6,47.3,14.2,0.0
Afonso Sousa,-0.044,-0.041,-0.003,2.02,2000,20.0,Primeira Liga,Belenenses SAD,Portugal,CM,"AM, CB, LW, LM",16.0,10.6,25.1,-1.0,1.3,0.9,1.7,47.2,16.2,0.0
Afonso Taira,-0.031,-0.04,0.009,2.1,1992,28.0,Primeira Liga,Belenenses SAD,Portugal,CM,"DM, LM",11.6,12.8,23.8,-6.9,1.4,2.2,0.4,55.9,15.7,0.0
Agustín Marchesín,0.027,-0.004,0.031,4.72,1988,32.0,"UCL, Primeira Liga",Porto,Argentina,GK,,2.4,2.0,26.6,-3.1,0.3,0.3,0.3,57.0,9.7,-4.8
Ahmad Benali,-0.03,-0.008,-0.021,1.4,1992,28.0,Serie A,Crotone,Libya,CM,,11.6,11.5,20.6,-6.0,0.9,1.0,1.3,55.9,13.9,0.0
Ahmed El Messaoudi,-0.034,-0.023,-0.011,2.52,1995,24.0,Eredivisie,Groningen,Morocco,CM,"AM, RW, DM, ST, RM",13.3,9.7,27.8,11.7,1.4,1.0,1.0,54.3,14.6,0.0
Ahmed Elmohamady,0.03,0.038,-0.007,1.35,1987,32.0,Premier League,Aston Villa,Egypt,RB,,11.0,9.9,22.9,-5.1,1.7,1.3,1.1,57.0,15.2,0.0
Ahmed Kutucu,-0.053,-0.05,-0.003,0.5,2000,20.0,Eredivisie,"Heracles Almelo, Schalke 04",Turkey,ST,"LW, LM, CM",11.3,8.6,27.0,-8.3,0.8,1.0,0.8,47.3,14.8,0.0
Ahmed Touba,-0.103,-0.037,-0.066,1.73,1998,22.0,Eredivisie,RKC Waalwijk,Algeria,CB,,5.9,8.6,19.6,3.8,1.9,0.7,0.3,56.7,10.7,0.0
Aihen Muñoz,0.02,0.009,0.011,1.85,1997,22.0,"La Liga, UEL",Real Sociedad,Spain,LB,"AM, RB, WB",8.0,9.1,27.4,-4.6,1.1,1.2,0.7,47.2,16.2,0.0
Aimen Moueffek,-0.032,-0.021,-0.011,0.85,2001,19.0,Ligue 1,Saint-Étienne,France,RB,"DM, ST, RM, CM",9.9,10.3,24.9,-3.6,1.2,1.4,0.7,56.6,14.5,0.0
Ainsley Maitland-Niles,0.052,0.039,0.013,3.06,1997,22.0,"Premier League, UEL","West Bromwich Albion, Arsenal",England,CM,"LB, RW, DM, RB, LM, RM",10.7,10.7,23.8,-9.6,1.7,1.0,0.6,40.4,14.5,0.0
Aitor Fernández,0.04,0.022,0.018,4.41,1991,29.0,La Liga,Levante,Spain,GK,,3.5,2.8,22.5,-3.1,0.4,0.3,0.4,52.4,8.9,8.0
Aitor Ruibal,0.01,0.007,0.003,2.34,1996,24.0,La Liga,Real Betis,Spain,RW,"LW, RM",14.2,9.3,27.9,-6.7,1.0,1.1,0.5,49.2,15.7,0.0
Ajdin Hrustic,0.006,0.006,-0.0,0.5,1996,24.0,Bundesliga,"Groningen, Eintracht Frankfurt",Australia,AM,CM,10.8,11.7,22.9,-2.5,1.2,1.2,2.1,51.2,15.5,0.0
Alan Czerwiński,0.002,0.021,-0.019,0.0,1993,27.0,UEL,Lech Poznań,Poland,RB,RM,11.3,10.8,23.1,-3.6,1.2,0.9,0.9,46.7,13.9,0.0
Alan Empereur,-0.003,0.003,-0.007,0.3,1994,26.0,Serie A,Hellas Verona,Brazil,CB,,9.1,9.6,22.0,-3.6,1.5,0.8,0.9,48.8,12.9,0.0
Alan Franco,-0.014,-0.0,-0.014,0.0,1998,22.0,Copa America,Ecuador,Ecuador,CM,RM,9.8,7.8,21.8,-3.1,1.5,1.0,0.9,43.0,12.2,0.0
Alan Patrick,-0.014,-0.001,-0.012,0.0,1991,29.0,UEL,Shakhtar Donetsk,Brazil,CM,"AM, LM, RM",10.6,10.9,20.8,-0.5,1.2,1.0,1.1,44.8,14.6,0.0
Alassane Pléa,0.048,0.046,0.003,3.16,1993,27.0,"Bundesliga, UCL",Borussia Mönchengladbach,France,ST,"RW, LW",17.1,10.6,28.7,3.5,0.6,0.6,0.7,43.7,16.3,0.0
Alban Lafont,0.012,-0.008,0.02,5.05,1999,21.0,Ligue 1,Nantes,France,GK,,2.7,2.4,32.3,-3.1,0.3,0.2,0.3,61.0,11.0,4.3
Albert Guðmundsson,0.059,0.063,-0.004,3.6,1997,23.0,"UEL, Eredivisie",AZ Alkmaar,Iceland,ST,"AM, RW, LW, CM",11.8,9.1,26.9,-18.3,0.9,0.6,0.5,40.2,14.9,0.0
Albert Sambi Lokonga,-0.018,-0.018,0.001,2.97,1999,20.0,Belgian Pro League,Anderlecht,Belgium,CM,"DM, LM, RM",11.6,13.1,19.2,4.3,2.0,1.3,1.5,49.5,15.2,0.0
Albert Vallci,-0.01,0.004,-0.014,0.0,1995,25.0,UEL,RB Salzburg,Austria,CB,RB,8.4,9.1,21.5,-4.1,1.4,0.9,0.9,47.8,12.8,0.0
Alberth Elis,-0.007,-0.002,-0.005,3.4,1996,24.0,Primeira Liga,Boavista,Honduras,ST,"RW, LW",14.4,8.4,32.6,-10.1,0.7,0.6,0.3,40.0,15.0,0.0
Alberto Cerri,0.05,0.048,0.002,0.65,1996,24.0,Serie A,Cagliari,Italy,ST,"DM, WB",14.7,8.5,27.0,-11.6,1.1,0.9,0.9,55.9,17.2,0.0
Alberto Espínola,0.015,0.001,0.014,0.0,1991,29.0,Copa America,Paraguay,Paraguay,RB,,9.6,9.2,20.9,-3.6,2.0,1.6,0.9,52.2,13.1,0.0
Alberto Grassi,-0.033,-0.015,-0.018,1.34,1995,25.0,Serie A,Parma,Italy,CM,"RB, LM, RM",8.5,8.1,22.0,-5.5,1.8,1.0,0.6,53.4,13.1,0.0
Alberto Moreno,0.011,0.014,-0.003,0.28,1992,28.0,"La Liga, UEL",Villarreal,Spain,LB,"LW, LM",9.6,9.7,21.6,-4.6,1.4,1.1,1.3,48.7,13.4,0.0
Alberto Paleari,-0.012,0.009,-0.022,0.27,1992,27.0,Serie A,Genoa,Italy,GK,,8.5,8.0,23.5,-3.1,1.1,0.8,1.0,48.7,13.0,0.0
Alberto Perea,-0.015,-0.003,-0.012,1.98,1990,29.0,La Liga,Cádiz,Spain,CM,"LW, ST, RM, LM",15.7,13.5,27.2,-1.9,1.4,1.1,1.5,45.0,16.0,0.0
Alberto Soro,0.023,0.028,-0.005,0.62,1999,21.0,"La Liga, UEL",Granada,Spain,RW,"AM, RM, LW, ST, LM, WB",11.3,9.6,25.5,1.0,0.9,0.8,0.7,37.5,14.1,0.0
Albin Ekdal,-0.018,-0.023,0.005,2.86,1989,31.0,"Euros, Serie A","Sweden, Sampdoria",Sweden,CM,DM,7.4,8.9,18.3,2.0,1.9,1.2,0.3,54.1,11.0,0.0
Aldo Corzo,-0.023,-0.001,-0.023,0.0,1989,31.0,Copa America,Peru,Peru,RB,,7.8,7.7,22.4,-6.5,1.2,1.2,0.8,47.2,12.3,0.0
Aleix García,-0.014,0.0,-0.015,0.56,1997,23.0,La Liga,Eibar,Spain,CM,DM,9.6,10.0,21.5,-3.6,1.4,1.0,3.1,55.7,13.4,0.0
Aleix Vidal,0.036,0.015,0.022,0.98,1989,30.0,La Liga,Sevilla,Spain,RB,"LB, RW",10.5,11.1,20.4,-3.1,1.6,1.0,0.8,54.2,14.6,0.0
Alejandro Gómez,-0.043,-0.017,-0.027,0.32,2002,18.0,Primeira Liga,Boavista,Mexico,CB,,8.0,7.9,22.9,-3.1,1.7,0.9,1.2,47.9,12.5,0.0
Alejandro Pozo Pozo,-0.034,-0.019,-0.015,2.48,1999,21.0,La Liga,Eibar,Spain,RB,"RW, RM",9.4,9.5,26.0,-5.1,1.2,1.0,0.8,36.3,14.6,0.0
Aleksandar Boljević,-0.036,-0.036,0.0,0.9,1995,24.0,"Belgian Pro League, UEL","Standard Liège, Eupen",Montenegro,RW,"RB, ST, LM, RM, CM",10.1,8.7,29.8,-8.3,1.0,0.8,1.5,43.8,15.9,0.0
Aleksandar Dragović,0.064,0.023,0.041,2.12,1991,29.0,"Bundesliga, Euros, UEL","Bayer Leverkusen, Austria",Austria,CB,RB,7.2,11.8,14.2,5.1,1.4,1.0,0.7,60.1,11.1,0.0
Aleksandar Katai,-0.006,-0.007,0.001,0.0,1991,29.0,UEL,Red Star,Serbia,LW,AM,12.9,11.4,25.3,5.1,1.3,1.1,1.8,52.4,15.5,0.0
Aleksandar Kolarov,0.029,0.06,-0.031,0.62,1985,34.0,"UCL, Serie A",Inter Milan,Serbia,CB,WB,10.7,12.2,19.7,-4.1,1.4,1.0,2.0,56.3,14.6,0.0
Aleksandar Mitrović,0.027,0.024,0.003,2.23,1994,25.0,Premier League,Fulham,Serbia,ST,,13.8,6.5,26.8,-13.3,0.7,0.6,1.1,49.4,15.4,0.0
Aleksandar Pešić,-0.005,0.003,-0.008,0.0,1992,28.0,UEL,Maccabi Tel Aviv,Serbia,ST,,8.5,8.6,24.4,-3.4,0.9,0.7,0.8,45.7,12.6,0.0
Aleksandar Radovanović,-0.02,-0.017,-0.003,0.84,1993,26.0,Belgian Pro League,"Kortrijk, Lens",Serbia,CB,,7.0,6.9,21.7,-4.6,1.4,1.0,0.7,60.1,11.6,0.0
Aleksandar Vukotić,-0.034,-0.015,-0.019,2.43,1995,25.0,Belgian Pro League,Waasland-Beveren,Serbia,CB,,6.3,8.0,23.6,-0.5,1.7,1.3,0.4,62.5,13.2,0.0
Aleksandr Erokhin,-0.003,-0.001,-0.002,0.0,1989,30.0,UCL,Zenit,Russia,RW,,8.8,8.6,23.2,-1.5,1.3,1.0,1.0,45.0,12.8,0.0
Aleksandr Golovin,0.045,0.044,0.001,1.86,1996,24.0,"Euros, Ligue 1","Monaco, Russia",Russia,AM,"RW, LW, ST, LM, RM",12.3,9.8,28.5,5.3,1.1,1.3,5.5,44.2,18.1,0.0
Aleksei Miranchuk,0.025,0.021,0.004,1.06,1995,24.0,"Euros, Serie A, UCL","Atalanta, Russia",Russia,AM,"LW, ST, CM",13.2,10.9,25.0,19.2,0.9,1.3,1.8,45.2,16.1,0.0
Aleksei Sutormin,-0.003,-0.006,0.003,0.0,1994,26.0,UCL,Zenit,Russia,RB,,10.4,9.9,21.7,-3.6,1.2,1.1,1.0,48.7,14.0,0.0
Alessandro Albanese,-0.055,-0.036,-0.019,1.2,2000,20.0,Belgian Pro League,Waasland-Beveren,Belgium,CM,"LB, AM, RW, LW, LM, RM",13.4,11.2,26.4,-5.7,1.1,1.0,1.2,41.7,15.2,0.0
Alessandro Bastoni,0.089,0.035,0.054,6.04,1999,21.0,"Euros, UCL, Serie A","Italy, Inter Milan",Italy,CB,,6.3,10.7,13.4,-8.3,1.5,0.9,0.3,59.1,11.1,0.0
Alessandro Buongiorno,-0.014,0.001,-0.015,1.09,1999,21.0,Serie A,Torino,Italy,CB,,6.0,9.0,20.0,-4.6,1.3,0.8,0.6,58.7,11.9,0.0
Alessandro Ciranni,-0.095,-0.053,-0.042,1.84,1996,24.0,Belgian Pro League,Excel Mouscron,Belgium,RB,"LB, WB",10.0,11.9,27.6,-1.5,2.0,1.7,5.2,54.3,16.9,0.0
Alessandro Deiola,-0.023,-0.019,-0.005,1.18,1995,24.0,Serie A,"Cagliari, Spezia",Italy,CM,"LM, RM",10.6,7.9,21.9,-5.1,1.4,0.9,1.4,52.8,12.6,0.0
Alessandro Florenzi,0.061,0.036,0.025,2.84,1991,29.0,"Euros, UCL, Ligue 1","Paris Saint-Germain, Italy",Italy,RB,"RW, RM, WB",7.3,7.8,20.6,-4.2,1.3,1.0,0.9,43.5,13.0,0.0
Alessandro Schöpf,-0.051,-0.034,-0.017,0.94,1994,26.0,"Bundesliga, Euros","Austria, Schalke 04",Austria,RW,"LW, RM, CM, WB",10.6,9.1,25.5,-5.5,0.9,0.9,1.0,44.0,13.8,0.0
Alessandro Tripaldelli,-0.016,-0.003,-0.013,0.38,1999,21.0,Serie A,Cagliari,Italy,LB,WB,7.8,9.3,24.3,-3.1,1.2,1.2,1.5,47.2,13.9,0.0
