Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Abdoulaye Diallo,0.007,-0.003,0.01,0.72,1992,26.0,"UEL, Ligue 1",Rennes,Senegal,GK,,5.8,5.5,23.8,-4.3,0.7,0.7,0.8,52.2,10.4,4.0
Abdoulaye Doucouré,0.062,0.071,-0.009,5.68,1993,25.0,Premier League,Watford,Mali,DM,"LM, CM",13.1,13.4,20.9,-8.0,1.1,1.2,0.6,51.7,14.3,0.0
Abdoulaye Touré,-0.021,-0.018,-0.002,3.36,1994,24.0,Ligue 1,Nantes,Guinea,CM,"DM, LM, RM",11.7,10.2,23.1,-0.1,1.5,1.1,0.4,48.2,13.9,0.0
Abdul Jeleel Ajagun,-0.023,-0.022,-0.002,0.49,1993,25.0,Belgian Pro League,Kortrijk,Nigeria,AM,RW,10.4,9.9,24.7,-5.3,1.0,0.9,0.9,48.0,13.6,0.0
Abdul Majeed Waris,-0.039,-0.044,0.006,2.45,1991,26.0,Ligue 1,Nantes,Ghana,RW,"LW, ST, LM, RM",13.2,8.9,32.3,-7.2,0.6,0.8,1.0,37.9,15.5,0.0
Abdullah Otayf,0.003,0.004,-0.002,0.0,1992,25.0,World Cup,Saudi Arabia,Saudi Arabia,DM,,10.5,9.5,19.7,-4.3,1.5,1.1,1.0,48.9,13.7,0.0
Abdullahi Ibrahim Alhassan,-0.031,-0.004,-0.027,0.81,1996,21.0,Primeira Liga,Nacional,Nigeria,CM,RM,9.2,9.0,20.5,-3.1,1.5,1.5,0.7,59.1,12.2,0.0
Aboubakar Kamara,0.0,0.002,-0.002,0.96,1995,23.0,Premier League,Fulham,Mauritania,RW,"LW, ST",11.7,8.4,27.2,-4.4,0.8,0.9,0.9,48.5,15.1,0.0
Aboubakary Koita,-0.016,-0.015,-0.001,0.74,1998,19.0,Belgian Pro League,"Kortrijk, Gent",Mauritania,LW,"RW, LM",15.0,9.2,25.0,-4.6,1.2,1.3,1.3,38.4,15.7,0.0
Aboud Omar,-0.021,-0.017,-0.003,0.86,1992,25.0,Belgian Pro League,Cercle Brugge,Kenya,LB,,9.7,9.7,23.3,-4.8,1.3,1.8,1.7,49.1,13.2,0.0
Achraf Hakimi,0.057,0.048,0.009,3.17,1998,19.0,"Bundesliga, UCL, World Cup","Borussia Dortmund, Morocco",Morocco,LB,RB,11.0,11.6,19.3,-3.5,1.4,1.3,0.6,51.7,15.7,0.0
Acorán,-0.023,-0.021,-0.003,0.0,1983,35.0,UEL,AÉK Lárnaka,Spain,RW,RM,14.1,11.1,24.9,-5.3,1.2,1.1,1.1,49.0,14.8,0.0
Adam Bodzek,-0.025,-0.016,-0.01,1.91,1985,32.0,Bundesliga,Fortuna Düsseldorf,Germany,DM,"CB, CM",8.2,7.8,19.1,-4.8,1.5,1.5,0.9,56.6,11.2,0.0
Adam Lallana,0.044,0.037,0.007,0.81,1988,30.0,"Premier League, UCL",Liverpool,England,CM,"AM, RW, DM, LW, ST, RM, LM",12.2,9.9,23.6,-8.6,1.2,1.3,1.6,46.4,15.2,0.0
Adam Maher,-0.021,-0.031,0.01,2.43,1993,25.0,Eredivisie,AZ Alkmaar,Netherlands,DM,LM,12.7,14.1,22.3,-4.1,2.0,1.6,3.4,43.2,18.8,0.0
Adam Marušić,-0.01,-0.015,0.005,2.77,1992,25.0,"Serie A, UEL",Lazio,Montenegro,WB,"RW, RB",8.3,8.3,22.0,0.4,1.1,0.9,0.6,51.9,12.2,0.0
Adam Masina,-0.007,0.015,-0.022,1.34,1994,24.0,Premier League,Watford,Morocco,LB,"CB, WB",7.1,9.0,22.5,-4.8,1.4,1.4,0.9,54.4,13.1,0.0
Adam Ounas,0.041,0.035,0.006,0.92,1996,21.0,"Serie A, UEL",Napoli,Algeria,RW,"AM, RM, ST",14.4,12.1,26.2,3.1,0.9,0.9,1.0,47.4,17.4,0.0
Adam Smith,0.027,0.014,0.013,3.29,1991,27.0,Premier League,Bournemouth,England,LB,"RB, RM",9.4,12.2,21.4,-1.7,1.5,1.5,1.2,49.0,13.2,0.0
Adam Zreľák,0.002,0.002,-0.0,1.32,1994,24.0,Bundesliga,Nürnberg,Slovakia,ST,,9.2,6.5,29.0,-11.1,0.8,1.1,0.7,40.5,13.5,0.0
Adama Diakhaby,-0.028,-0.008,-0.02,0.65,1996,22.0,Premier League,Huddersfield Town,France,RW,"LW, ST, RM",11.4,9.1,27.9,-7.2,0.9,0.9,0.9,43.0,14.6,0.0
Adama Mbengue,-0.053,-0.017,-0.036,0.73,1993,24.0,Ligue 1,Caen,Senegal,LB,,10.2,9.8,28.0,-5.3,1.1,2.4,1.5,44.9,16.2,0.0
Adama Niane,-0.018,-0.019,0.001,1.05,1993,25.0,Belgian Pro League,Charleroi,Mali,ST,"RW, LW",11.1,8.1,29.9,-9.9,0.8,1.0,0.7,40.1,14.6,0.0
Adama Soumaoro,-0.037,-0.004,-0.034,1.89,1992,26.0,Ligue 1,Lille,France,CB,,4.6,5.6,13.1,-6.8,1.3,0.9,0.5,56.0,8.0,0.0
Adama Traoré,-0.016,-0.026,0.01,0.71,1995,23.0,"UCL, Belgian Pro League","Cercle Brugge, Monaco",Mali,CM,"AM, RW, ST, RM",11.4,9.7,24.8,-6.8,1.6,1.0,1.6,54.6,14.4,0.0
Adama Traoré,0.037,0.037,-0.0,1.5,1996,22.0,Premier League,Wolves,Spain,ST,"AM, RW, RM, WB",15.3,13.7,30.0,-5.5,1.0,1.2,0.8,43.5,17.7,0.0
Aday,0.011,0.009,0.002,0.95,1987,30.0,La Liga,Girona,Spain,WB,"RB, LM",12.8,10.1,25.3,-5.8,1.2,1.2,2.8,47.0,15.0,0.0
Adem Ljajić,-0.016,-0.01,-0.007,0.03,1991,26.0,"World Cup, Serie A, UEL","Beşiktaş, Torino, Serbia",Serbia,LW,"AM, LM, CM",12.3,11.4,24.5,-8.2,0.9,0.8,2.8,45.7,15.4,0.0
Ademola Lookman,0.042,0.042,-0.0,1.06,1997,20.0,Premier League,Everton,Nigeria,LW,"AM, RW, LM, RM",13.4,10.8,25.2,-10.8,1.2,1.1,0.8,50.9,15.3,0.0
Adil Rami,-0.01,0.006,-0.016,1.85,1985,32.0,"UEL, Ligue 1",Marseille,France,CB,,6.1,7.3,18.3,-8.2,1.3,0.8,0.5,63.6,11.1,0.0
Admir Mehmedi,0.058,0.044,0.014,3.08,1991,27.0,Bundesliga,Wolfsburg,Switzerland,LW,"AM, RW, ST, CM",14.6,9.8,27.8,5.1,0.9,1.4,3.2,42.9,17.2,0.0
Adnan Januzaj,0.012,0.008,0.003,1.85,1995,23.0,"La Liga, World Cup","Real Sociedad, Belgium",Belgium,RW,"AM, RM",15.7,12.6,33.4,-6.6,0.9,0.9,4.8,40.1,20.0,0.0
Adri Embarba,0.003,0.011,-0.008,3.23,1992,26.0,La Liga,Rayo Vallecano,Spain,CM,"AM, RW, LW, ST, LM, RM",12.4,9.8,35.2,-13.3,1.2,1.1,5.0,38.1,18.9,0.0
Adrian Mariappa,0.012,0.014,-0.002,2.85,1986,31.0,Premier League,Watford,Jamaica,CB,,6.1,6.3,18.5,-7.7,1.3,1.1,0.7,51.9,9.8,0.0
Adrian Winter,-0.01,-0.007,-0.003,0.0,1986,32.0,UEL,Zürich,Switzerland,RB,RM,9.7,8.6,25.0,-4.8,1.3,0.9,1.0,46.2,13.9,0.0
Adrian Šemper,0.006,0.006,0.001,0.77,1998,20.0,Serie A,Chievo Verona,Croatia,GK,,7.0,6.8,26.8,-4.3,0.9,0.8,0.9,51.1,13.1,0.5
Adrien Bongiovanni,-0.05,-0.047,-0.002,0.75,1999,18.0,Belgian Pro League,Cercle Brugge,Belgium,LW,"DM, ST, LM, CM",12.0,10.5,26.7,-3.1,1.1,1.1,2.2,44.7,15.6,0.0
Adrien Hunou,0.062,0.068,-0.005,2.3,1994,24.0,"UEL, Ligue 1",Rennes,France,ST,"AM, RW, LM, RM",8.9,6.0,25.1,-3.6,0.7,0.8,0.6,40.3,11.9,0.0
Adrien Rabiot,0.115,0.049,0.066,2.4,1995,23.0,"UCL, Ligue 1",Paris Saint-Germain,France,CM,"DM, LM, RM",9.4,12.9,14.7,-4.4,1.1,1.5,0.9,63.1,12.4,0.0
Adrien Regattin,-0.018,-0.017,-0.001,0.0,1991,26.0,UEL,Akhisarspor,Morocco,RW,RM,10.4,9.8,24.9,-7.2,1.1,1.0,1.0,43.7,14.1,0.0
Adrien Silva,-0.025,-0.023,-0.002,1.53,1989,29.0,"World Cup, Ligue 1","Leicester City, Monaco, Portugal",Portugal,DM,"AM, CM",9.9,12.2,20.0,-6.3,1.3,1.9,1.3,52.4,13.6,0.0
Adrien Tameze,-0.038,-0.026,-0.012,3.24,1994,24.0,Ligue 1,Nice,Cameroon,CM,"DM, RM",9.8,9.7,16.2,-9.1,1.7,1.4,0.5,46.9,11.6,0.0
Adrien Thomasson,0.008,0.004,0.004,3.58,1993,24.0,Ligue 1,Strasbourg,France,CM,"AM, RW, LW, ST, LM, RM",17.0,9.5,26.6,-1.0,0.9,1.1,1.2,34.8,16.8,0.0
Adrien Trebel,-0.031,-0.027,-0.004,2.26,1991,27.0,"Belgian Pro League, UEL",Anderlecht,France,CM,"AM, DM, LM",13.8,14.8,24.3,-0.6,1.9,2.1,5.1,44.4,18.4,0.0
Adrià Pedrosa,0.016,0.016,-0.0,1.16,1998,20.0,La Liga,Espanyol,Spain,LB,,8.6,8.8,24.0,-1.7,1.2,1.2,1.0,43.2,13.2,0.0
Adrián Dalmau,0.02,0.038,-0.018,3.66,1994,24.0,Eredivisie,Heracles Almelo,Spain,ST,,10.6,5.5,33.0,5.9,0.5,0.5,0.5,36.8,13.2,0.0
Adrián Diéguez,-0.012,-0.007,-0.004,0.97,1996,22.0,La Liga,Huesca,Spain,CB,,6.5,6.9,23.2,-4.8,1.4,1.2,1.3,52.7,11.5,0.0
Adrián López,0.015,0.022,-0.007,0.46,1988,30.0,"UCL, Primeira Liga",Porto,Spain,LW,"AM, RW, LM, ST, RM",12.9,8.9,24.2,-3.9,1.0,1.0,1.4,52.4,14.4,0.0
Adrián Marín,-0.007,0.01,-0.017,0.38,1997,21.0,La Liga,Deportivo Alavés,Spain,LB,LM,8.1,9.0,24.6,-5.8,1.5,1.5,1.0,52.0,13.6,0.0
Adrián Sardinero,-0.015,-0.01,-0.005,0.0,1990,27.0,UEL,Apollon,Spain,RW,,9.2,9.2,24.4,-7.7,1.2,1.1,1.3,49.0,13.2,0.0
Afonso Figueiredo,0.003,0.012,-0.009,0.95,1993,25.0,Primeira Liga,Rio Ave,Portugal,LB,,9.6,11.5,24.1,-4.3,1.2,1.5,1.1,54.8,15.2,0.0
Afriyie Acquah,-0.027,-0.033,0.006,1.78,1992,26.0,Serie A,Empoli,Ghana,CM,"DM, RM",12.3,12.0,24.0,-1.1,1.0,0.9,0.6,46.8,14.8,0.0
Agil Etemadi,-0.045,-0.036,-0.008,0.24,1987,31.0,Eredivisie,De Graafschap,Netherlands,GK,,8.3,7.9,26.4,-4.3,1.0,0.9,1.1,50.0,13.9,4.6
Ahmad Mendes Moreira,-0.03,-0.029,-0.0,0.31,1995,23.0,Eredivisie,Groningen,Guinea,LW,"DM, ST, LM, WB",10.6,9.6,27.5,-1.7,1.0,1.0,1.4,47.3,15.3,0.0
Ahmed El Messaoudi,-0.08,-0.036,-0.045,1.48,1995,22.0,Eredivisie,Fortuna Sittard,Morocco,DM,"AM, LM, RM, CM",14.0,12.3,24.0,5.3,1.3,1.2,0.5,52.5,14.0,0.0
Ahmed Fathy,-0.021,-0.007,-0.014,0.0,1984,33.0,World Cup,Egypt,Egypt,RB,,9.4,10.0,22.6,-4.3,1.5,1.3,1.1,45.2,13.3,0.0
Ahmed Hegazi,-0.029,-0.008,-0.021,0.0,1991,27.0,World Cup,Egypt,Egypt,CB,,8.4,8.0,22.9,-4.3,1.7,1.0,1.1,53.6,12.7,0.0
Ahmed Kutucu,-0.004,-0.001,-0.003,0.57,2000,18.0,"Bundesliga, UCL",Schalke 04,Turkey,ST,"RW, DM, LM, CM",10.6,8.9,27.2,-1.6,0.9,1.0,1.5,40.7,14.4,0.0
Ahmed Musa,-0.005,-0.007,0.002,0.0,1992,25.0,World Cup,Nigeria,Nigeria,ST,,11.3,9.0,25.7,4.0,1.0,1.0,1.1,47.0,14.5,0.0
Aihen Muñoz,0.015,0.009,0.007,1.43,1997,20.0,La Liga,Real Sociedad,Spain,LB,,9.4,9.0,25.5,-4.8,1.0,1.0,0.7,48.0,14.1,0.0
Ainsley Maitland-Niles,0.028,0.034,-0.006,1.58,1997,20.0,"Premier League, UEL",Arsenal,England,WB,"LB, RW, RB, RM",9.4,10.6,23.3,-2.5,1.6,1.7,0.6,45.9,14.4,0.0
Aitor Fernández,0.02,0.012,0.009,2.21,1991,27.0,La Liga,Levante,Spain,GK,,5.0,4.4,28.7,-4.3,0.6,0.5,0.6,52.2,11.4,-3.2
Ajdin Hrustic,-0.058,-0.056,-0.002,0.96,1996,22.0,Eredivisie,Groningen,Australia,CM,"AM, DM, ST, RM",11.0,10.8,25.3,-10.4,0.9,1.3,4.8,47.1,16.2,0.0
Alain Nef,-0.01,-0.01,0.0,0.0,1982,36.0,UEL,Zürich,Switzerland,CB,ST,9.1,10.1,23.9,-4.8,1.3,1.1,1.9,54.3,14.2,0.0
Alaixys Romao,-0.026,-0.034,0.008,3.76,1984,34.0,Ligue 1,Reims,Togo,DM,"RM, CM",7.2,10.1,21.6,-12.1,1.7,2.0,0.4,51.9,12.4,0.0
Alan Dzagoev,-0.002,-0.002,0.0,0.0,1990,28.0,"World Cup, UCL","CSKA Moscow, Russia",Russia,AM,,10.5,10.0,23.0,-5.8,1.1,1.0,2.4,51.0,14.1,0.0
Alan Eduardo Schons,-0.02,-0.012,-0.008,0.28,1993,25.0,Primeira Liga,Moreirense,Brazil,DM,CM,9.8,9.5,23.9,-4.3,1.1,1.2,2.5,52.0,14.0,0.0
Alan Patrick,-0.008,0.004,-0.012,0.0,1991,27.0,UCL,Shakhtar Donetsk,Brazil,DM,"AM, CM",13.2,11.0,20.8,-4.8,1.2,1.0,1.2,49.0,13.6,0.0
Alassane Pléa,0.023,0.024,-0.001,3.89,1993,25.0,Bundesliga,Borussia Mönchengladbach,France,ST,"RW, LW, LM",13.1,7.5,30.8,3.0,0.5,0.7,0.4,34.8,15.5,0.0
Alban Lafont,0.068,0.007,0.061,5.73,1999,19.0,Serie A,Fiorentina,France,GK,,3.2,2.6,27.3,-4.3,0.4,0.3,0.3,53.3,10.0,5.6
Albert Guðmundsson,-0.018,0.0,-0.018,1.62,1997,21.0,"World Cup, Eredivisie","AZ Alkmaar, Iceland",Iceland,RW,"AM, LW, ST, RM, CM",11.3,10.4,27.3,5.5,0.9,1.0,0.6,41.5,15.3,0.0
Albert Sambi Lokonga,-0.029,-0.024,-0.005,0.51,1999,18.0,"Belgian Pro League, UEL",Anderlecht,Belgium,CM,"DM, RM",10.8,10.6,21.5,-5.3,1.7,1.4,0.9,50.0,14.6,0.0
Alberto Bueno,-0.025,-0.008,-0.016,1.07,1988,30.0,Primeira Liga,Boavista,Spain,ST,"AM, CM",13.7,10.6,27.6,1.4,1.1,1.0,3.1,43.6,16.2,0.0
Alberto Cerri,0.016,0.009,0.007,1.01,1996,22.0,Serie A,Cagliari,Italy,ST,,11.7,7.7,28.9,-13.4,0.9,0.8,0.8,49.6,15.9,0.0
Alberto García,-0.029,0.016,-0.046,1.78,1985,33.0,La Liga,Rayo Vallecano,Spain,GK,,4.4,4.1,25.6,-4.3,0.6,0.5,0.5,51.1,10.6,1.8
Alberto Grassi,0.008,0.006,0.002,0.66,1995,23.0,Serie A,Parma,Italy,CM,"DM, RM",9.2,8.2,23.1,-8.6,1.4,1.6,0.9,50.0,12.7,0.0
Alberto Paloschi,0.005,0.012,-0.007,1.23,1990,28.0,Serie A,SPAL,Italy,ST,,8.0,6.4,26.9,-7.4,0.8,1.1,0.7,41.5,12.4,0.0
Albin Ekdal,-0.002,-0.017,0.015,3.62,1989,29.0,"World Cup, Serie A","Sweden, Sampdoria",Sweden,CM,DM,9.5,9.7,17.6,-10.8,1.7,1.3,0.5,54.5,12.4,0.0
Alef,-0.006,-0.008,0.002,0.0,1995,23.0,UCL,AEK Athens,Brazil,DM,CM,9.3,8.6,23.7,-4.8,1.5,1.1,1.1,52.0,13.4,0.0
Aleix García,-0.001,-0.012,0.011,2.29,1997,21.0,La Liga,Girona,Spain,CM,"AM, DM, LM, RM",11.0,13.3,21.2,-1.6,1.3,1.2,6.2,43.1,15.1,0.0
Aleix Vidal,0.022,0.018,0.005,0.83,1989,28.0,"La Liga, UEL",Sevilla,Spain,WB,"LB, AM, RW, RB, LW, LM",13.1,10.2,25.3,-7.7,1.3,1.5,1.6,50.9,16.2,0.0
Alejandro Pozuelo,0.059,0.051,0.008,4.36,1991,26.0,"Belgian Pro League, UEL",Genk,Spain,AM,"ST, RM, CM",22.1,16.4,25.8,-4.4,0.6,0.7,5.1,43.7,22.0,0.0
Aleksandar Bjelica,-0.042,-0.037,-0.005,0.69,1994,24.0,Belgian Pro League,Oostende,Serbia,LM,,10.2,10.4,25.9,-1.7,1.4,1.4,2.3,46.2,14.5,0.0
Aleksandar Boljević,-0.074,-0.072,-0.002,1.82,1995,22.0,Belgian Pro League,Waasland-Beveren,Montenegro,RW,"RB, ST, RM, WB",16.2,11.9,33.3,-2.9,1.0,0.7,1.7,42.7,18.1,0.0
Aleksandar Dragović,0.026,0.023,0.003,2.12,1991,27.0,"Bundesliga, UEL",Bayer Leverkusen,Austria,CB,DM,5.1,7.7,13.7,0.9,1.7,0.9,0.5,55.2,9.4,0.0
Aleksandar Filipović,-0.039,-0.015,-0.024,0.0,1994,23.0,UEL,BATE Borisov,Serbia,LB,,7.8,8.4,23.0,-4.3,1.6,1.2,1.3,43.9,12.6,0.0
Aleksandar Jovanović,0.022,0.005,0.017,1.68,1992,25.0,La Liga,Huesca,Serbia,GK,,6.0,5.2,32.1,-4.3,0.7,0.6,0.9,52.2,13.1,1.9
Aleksandar Kolarov,0.045,0.031,0.014,5.04,1985,32.0,"World Cup, UCL, Serie A","Roma, Serbia",Serbia,LB,WB,10.4,12.1,23.5,8.3,1.3,0.8,4.9,60.4,17.4,0.0
Aleksandar Mitrović,0.0,0.012,-0.012,4.55,1994,23.0,"Premier League, World Cup","Fulham, Serbia",Serbia,ST,,13.8,5.6,32.0,-14.6,0.4,0.6,0.6,50.2,17.0,0.0
Aleksandar Paločević,-0.068,-0.032,-0.036,1.26,1993,24.0,Primeira Liga,Nacional,Serbia,CM,"AM, ST, LM, RM",11.1,12.8,27.8,-8.2,1.4,1.1,3.2,45.3,16.3,0.0
Aleksandar Prijović,0.011,0.012,-0.001,0.0,1990,28.0,UEL,PAOK,Serbia,ST,,9.0,7.5,26.6,-2.5,0.9,0.9,0.9,48.6,13.6,0.0
Aleksandar Vukotić,-0.068,-0.033,-0.036,2.26,1995,23.0,Belgian Pro League,Waasland-Beveren,Serbia,CB,,6.4,6.8,23.1,-2.7,2.4,1.9,0.4,62.3,12.4,0.0
Aleksandr Anyukov,-0.032,-0.012,-0.02,0.0,1982,35.0,UEL,Zenit,Russia,LB,RB,8.5,8.4,24.4,-4.3,1.3,1.2,0.9,50.0,13.2,0.0
Aleksandr Erokhin,-0.034,-0.022,-0.013,0.0,1989,28.0,"World Cup, UEL","Zenit, Russia",Russia,LW,"RM, CM",11.4,9.4,24.5,-6.3,1.3,1.0,0.9,47.7,13.8,0.0
Aleksandr Golovin,-0.052,-0.047,-0.005,2.26,1996,22.0,"World Cup, UCL, Ligue 1","Monaco, Russia",Russia,AM,"DM, LW, ST, CM",15.3,11.6,25.5,-6.0,1.2,1.1,1.2,42.1,15.4,0.0
Aleksandr Lomovitskiy,-0.006,-0.003,-0.002,0.0,1998,20.0,UEL,Spartak Moscow,Russia,RW,,10.4,9.0,25.5,-5.3,1.1,1.2,1.0,49.0,13.8,0.0
Aleksandr Maksimenko,0.003,0.0,0.003,0.0,1998,20.0,UEL,Spartak Moscow,Russia,GK,,7.2,6.7,25.3,-4.3,0.9,0.8,0.8,51.1,11.9,2.7
Aleksandr Samedov,-0.027,-0.025,-0.002,0.0,1984,33.0,"World Cup, UEL","Spartak Moscow, Russia",Russia,RW,,9.2,9.4,24.8,-4.8,1.1,1.2,1.8,47.2,14.0,0.0
Aleksandr Vasyutin,-0.049,-0.006,-0.043,0.0,1995,23.0,UEL,Sarpsborg 08,Russia,GK,,7.1,7.2,30.9,-4.3,0.8,0.8,1.4,50.0,14.4,9.6
Aleksei Miranchuk,-0.001,-0.001,0.0,0.0,1995,22.0,"World Cup, UCL","Russia, Lokomotiv Moscow",Russia,AM,"RW, RM",13.9,11.2,26.3,-9.5,1.4,1.1,2.7,45.1,16.7,0.0
Alen Halilović,-0.031,-0.022,-0.008,0.74,1996,22.0,"Belgian Pro League, UEL","Standard Liège, AC Milan",Croatia,AM,"RW, LW, ST, RM",13.0,10.6,24.8,-11.3,0.8,1.0,1.0,48.0,14.2,0.0
Alessandro Bastoni,-0.014,-0.007,-0.007,2.16,1999,19.0,Serie A,Parma,Italy,CB,,5.6,7.3,19.4,-2.2,1.3,0.9,0.6,47.9,10.0,0.0
Alessandro Ciranni,-0.102,-0.043,-0.06,0.82,1996,22.0,Eredivisie,Fortuna Sittard,Belgium,RB,WB,8.7,11.3,25.1,-5.8,1.2,1.8,1.3,44.7,15.1,0.0
Alessandro Damen,-0.176,-0.025,-0.151,0.08,1990,28.0,Eredivisie,Excelsior,Netherlands,GK,,4.4,3.7,27.5,-4.3,0.5,0.5,1.2,54.1,11.1,4.3
Alessandro Deiola,-0.028,-0.019,-0.009,1.18,1995,22.0,Serie A,"Cagliari, Parma",Italy,CM,"LM, RM",9.5,8.3,25.2,-9.1,1.5,1.1,0.7,47.1,13.4,0.0
Alessandro Florenzi,0.072,0.04,0.032,4.21,1991,27.0,"UCL, Serie A",Roma,Italy,RB,"RW, RM, WB",12.0,12.0,23.1,-5.0,1.8,1.1,2.8,44.3,16.3,0.0
Alessandro Matri,0.041,0.041,-0.0,1.03,1984,33.0,Serie A,Sassuolo,Italy,ST,,11.3,7.2,26.4,-9.1,1.1,0.8,0.8,39.6,14.1,0.0
Alessandro Murgia,-0.02,-0.03,0.01,1.33,1996,21.0,"Serie A, UEL","Lazio, SPAL",Italy,CM,"DM, RM",9.1,7.8,21.2,-9.5,1.4,1.2,2.9,45.0,13.4,0.0
Alessandro Schöpf,0.024,0.007,0.017,1.58,1994,24.0,"Bundesliga, UCL",Schalke 04,Austria,WB,"RW, LW, RM, CM",11.5,11.2,24.5,-5.7,1.1,1.2,0.8,44.2,14.4,0.0
Alessio Castro-Montes,-0.018,-0.023,0.005,1.37,1997,21.0,Belgian Pro League,Eupen,Belgium,RB,,9.6,11.5,26.1,-0.7,2.1,1.9,0.8,45.6,15.6,0.0
Alessio Cragno,-0.033,0.016,-0.049,3.88,1994,24.0,Serie A,Cagliari,Italy,GK,,3.2,2.8,28.4,-4.3,0.4,0.3,0.5,60.6,10.8,-8.2
Alessio Romagnoli,0.072,0.025,0.047,5.5,1995,23.0,"Serie A, UEL",AC Milan,Italy,CB,,3.9,5.9,11.9,1.4,1.3,0.9,0.3,63.7,7.9,0.0
Alex,-0.003,-0.01,0.006,2.02,1991,26.0,Primeira Liga,Vitória Setúbal,Portugal,ST,"LB, RW, LM",9.8,10.5,28.0,-5.3,1.1,1.6,1.6,50.0,16.3,0.0
Alex Ferrari,-0.0,0.011,-0.011,0.75,1994,24.0,Serie A,Sampdoria,Italy,CB,,7.3,7.4,19.9,-4.3,1.4,1.2,0.8,56.8,11.8,0.0
Alex Gersbach,-0.084,-0.052,-0.031,0.44,1997,21.0,"UEL, Eredivisie","NAC Breda, Rosenborg",Australia,LB,LM,9.1,9.2,28.0,-4.3,1.3,1.2,0.8,47.0,15.1,0.0
