Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,-0.019,-0.003,-0.016,1.98,1989,28.0,Premier League,West Ham,England,LB,,9.4,11.0,21.6,-6.8,1.3,1.0,1.9,54.1,14.0,0.0
Aaron Lennon,-0.012,-0.001,-0.011,1.58,1987,31.0,Premier League,Burnley,England,RM,LM,10.0,8.5,24.9,-3.1,1.0,1.3,0.7,40.2,12.0,0.0
Aaron Leya Iseka,-0.02,-0.011,-0.009,1.78,1997,20.0,Ligue 1,Toulouse,Belgium,ST,RW,9.7,6.3,27.8,-3.2,0.6,0.7,0.6,43.4,11.9,0.0
Aaron Meijers,-0.068,-0.019,-0.049,2.37,1987,30.0,Eredivisie,ADO Den Haag,Netherlands,LB,,10.0,13.7,24.6,3.4,1.6,1.8,1.4,62.5,16.1,0.0
Aaron Mooy,-0.028,-0.047,0.019,2.75,1990,27.0,"Premier League, World Cup","Australia, Huddersfield Town",Australia,CM,"AM, RW, DM, LM, RM",12.6,13.6,25.3,-4.8,0.8,1.5,6.4,42.9,16.7,0.0
Aaron Ramsey,0.086,0.07,0.016,3.77,1990,27.0,"Premier League, UEL",Arsenal,Wales,AM,"RW, DM, CM",14.6,11.9,22.6,-3.0,1.0,1.3,0.6,44.8,16.0,0.0
Aaron Wan-Bissaka,0.006,-0.018,0.024,4.49,1997,20.0,Premier League,Crystal Palace,England,RB,,7.1,11.7,24.4,-6.8,2.3,2.4,0.8,55.6,13.6,0.0
Aarón Martín,0.008,0.015,-0.006,4.16,1997,21.0,Bundesliga,Mainz 05,Spain,LB,,10.9,11.4,24.7,-8.2,1.3,1.1,3.5,43.6,15.5,0.0
Abdallah N'dour,-0.011,-0.004,-0.008,0.37,1993,24.0,Ligue 1,Strasbourg,Senegal,CB,WB,9.3,8.6,23.5,-4.3,1.3,1.2,1.0,51.0,13.9,0.0
Abdallah Said,-0.028,-0.017,-0.011,0.0,1985,32.0,World Cup,Egypt,Egypt,AM,,12.0,9.9,23.7,-4.8,1.3,1.1,1.5,43.7,14.2,0.0
Abdenasser El Khayati,-0.037,-0.019,-0.019,3.22,1989,29.0,Eredivisie,ADO Den Haag,Netherlands,CM,"AM, ST, RM, LM",17.6,13.4,31.5,14.3,0.6,0.8,8.4,41.4,20.1,0.0
Abdou Diallo,0.06,0.024,0.036,4.38,1996,22.0,"Bundesliga, UCL",Borussia Dortmund,Senegal,CB,LB,5.4,9.0,15.0,-9.9,1.2,1.0,0.4,54.3,10.9,0.0
Abdoul Sissoko,-0.016,-0.013,-0.003,0.0,1990,28.0,UEL,Akhisarspor,France,CB,DM,7.9,7.8,22.4,-6.3,1.8,1.1,0.9,49.0,12.1,0.0
Abdoulay Diaby,0.038,0.039,-0.0,2.9,1991,27.0,"Primeira Liga, UEL",Sporting CP,Mali,RW,"AM, LW, ST, RM",12.6,9.2,26.8,-11.6,0.9,1.0,0.7,41.6,13.7,0.0
Abdoulaye Ba,0.041,0.014,0.027,3.58,1991,27.0,La Liga,Rayo Vallecano,Senegal,CB,,4.4,5.7,18.1,-5.5,1.3,1.4,0.4,63.5,10.1,0.0
Abdoulaye Bamba,-0.03,-0.024,-0.005,2.97,1990,28.0,Ligue 1,Angers,Côte d'Ivoire,RB,"LB, WB",6.8,9.6,23.4,-5.3,1.4,1.2,0.8,46.8,12.4,0.0
