Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Maxime Lopez,-0.02,-0.022,0.002,1.37,1997,21.0,Ligue 1,Marseille,France,RW,"AM, RM, DM, LW, LM",13.2,15.0,18.7,-8.7,1.0,1.0,1.4,39.4,13.8,0.0
Maximilian Arnold,0.007,-0.008,0.015,4.07,1994,25.0,"Bundesliga, UEL",Wolfsburg,Germany,CM,"LM, RM",12.0,9.9,23.8,1.8,0.9,1.0,8.9,52.5,16.3,0.0
Maximilian Eggestein,-0.035,-0.011,-0.024,3.2,1996,22.0,Bundesliga,Werder Bremen,Germany,CM,"CB, LM, RM",12.7,13.4,23.7,-12.6,1.2,1.0,0.3,42.7,14.5,0.0
Maximilian Mittelstädt,0.014,-0.009,0.023,2.81,1997,22.0,Bundesliga,Hertha Berlin,Germany,LB,"CB, LW, LM, WB",11.0,13.8,26.4,-5.0,2.2,1.7,1.9,61.5,17.5,0.0
Maximilian Rossmann,-0.027,-0.031,0.004,0.46,1995,24.0,Eredivisie,Heracles Almelo,Germany,CB,,8.0,9.1,22.0,4.3,1.4,1.0,0.9,60.5,12.9,0.0
Maximilian Wöber,-0.01,0.013,-0.022,0.0,1998,21.0,UCL,RB Salzburg,Austria,CB,,7.4,9.5,20.0,-6.8,1.7,1.0,1.1,54.5,11.5,0.0
Maximiliano Caufriez,-0.132,-0.039,-0.092,1.01,1997,22.0,Belgian Pro League,Waasland-Beveren,Belgium,CB,RB,6.1,6.9,18.4,-7.8,2.3,1.0,0.4,46.3,9.4,0.0
Maxwel Cornet,-0.008,-0.006,-0.002,1.76,1996,22.0,"UCL, Ligue 1",Lyon,Côte d'Ivoire,RW,"LB, LW, LM, WB",11.3,10.4,27.7,5.1,1.4,1.3,2.6,46.6,17.0,0.0
Maya Yoshida,-0.003,-0.002,-0.001,2.39,1988,30.0,Serie A,"Southampton, Sampdoria",Japan,CB,,4.7,5.5,17.9,-10.5,1.6,0.7,0.7,61.3,10.0,0.0
Mbaye Diagne,0.068,0.073,-0.005,0.34,1991,27.0,"UCL, Belgian Pro League",Club Brugge,Senegal,ST,"AM, RW",11.0,8.1,24.9,-8.8,0.9,0.9,1.0,52.8,14.9,0.0
