Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Abdoulaye Ba,-0.032,-0.006,-0.026,1.64,1991,30.0,Primeira Liga,"Arouca, Moreirense",Senegal,CB,,6.5,7.0,19.4,-7.4,1.7,1.0,0.7,62.7,11.2,0.0
Abdoulaye Bakayoko,-0.007,-0.007,0.0,0.41,2002,18.0,Ligue 1,Saint-Étienne,France,CB,,8.7,8.1,24.0,-3.1,1.7,1.4,1.0,50.0,13.7,0.0
Abdoulaye Bamba,-0.028,-0.014,-0.014,0.54,1990,31.0,Ligue 1,Angers,Côte d'Ivoire,RB,"RW, WB",9.5,8.7,23.2,-4.1,1.3,1.0,0.9,51.0,12.9,0.0
Abdoulaye Doucouré,0.009,-0.009,0.018,3.69,1993,28.0,Premier League,Everton,Mali,CM,"DM, RM",11.3,11.0,23.0,-3.8,1.1,1.5,0.4,49.1,13.3,0.0
Abdoulaye Seck,-0.004,-0.011,0.007,1.83,1992,29.0,Belgian Pro League,Antwerp,Senegal,CB,,5.8,7.4,21.0,-4.4,1.3,1.0,0.6,58.2,12.6,0.0
Abdoulaye Sissako,-0.043,-0.021,-0.022,1.35,1998,23.0,Belgian Pro League,Zulte Waregem,France,CM,DM,9.4,10.3,22.8,1.4,1.1,1.2,0.6,54.5,13.0,0.0
Abdoulaye Touré,-0.02,-0.007,-0.013,0.53,1994,27.0,Serie A,Genoa,Guinea,CM,"DM, RM",8.7,9.1,23.4,-3.6,1.0,1.0,0.9,51.1,13.1,0.0
Abdoulie Sanyang,-0.029,-0.03,0.001,0.47,1999,22.0,Belgian Pro League,Beerschot Wilrijk,Gambia,RW,"AM, RM, CM",9.9,10.7,27.1,-1.5,1.0,1.3,0.9,42.3,15.5,0.0
Abdourahmane Barry,-0.026,-0.013,-0.013,0.25,2000,21.0,Bundesliga,Greuther Fürth,Guinea,RB,,9.6,9.4,23.9,-3.1,1.2,1.1,1.0,53.6,14.1,0.0
Abdu Conté,-0.025,-0.035,0.01,3.27,1998,23.0,Primeira Liga,"Troyes, Moreirense",Portugal,LB,"CB, LM, WB",9.1,11.5,26.2,-5.6,0.6,0.9,0.6,50.0,14.1,0.0
Abdul Majeed Waris,0.036,0.032,0.004,0.54,1991,29.0,Ligue 1,Strasbourg,Ghana,ST,"CB, CM, WB",11.2,10.1,25.0,0.9,0.9,1.0,1.0,46.6,15.0,0.0
Abdul Mumin,-0.026,-0.011,-0.015,2.64,1998,23.0,Primeira Liga,Vitória,Ghana,CB,,4.5,7.1,17.8,-7.4,1.5,1.2,0.4,52.5,10.3,0.0
Abdón Prats,-0.007,-0.006,-0.001,0.85,1992,28.0,La Liga,Mallorca,Spain,ST,"AM, DM",11.5,8.4,27.4,4.3,0.8,0.8,1.5,50.5,14.8,0.0
Abel Camará,-0.017,-0.002,-0.015,1.95,1990,31.0,Primeira Liga,Belenenses SAD,Guinea-Bissau,ST,"RW, RM",12.2,8.2,28.9,-6.3,0.9,1.0,0.5,40.0,16.0,0.0
Abel Ruiz,0.011,0.016,-0.005,2.03,2000,21.0,"Primeira Liga, UEL",Braga,Spain,ST,AM,10.1,7.5,26.5,0.8,0.6,0.6,0.5,30.7,11.7,0.0
Ablie Jallow,-0.05,-0.034,-0.016,1.88,1998,22.0,Belgian Pro League,R.F.C. Seraing,Gambia,RW,"AM, LM, RM, CM",14.0,13.9,25.4,0.8,0.7,1.1,0.9,32.0,15.3,0.0
Aboubakary Koita,-0.038,-0.027,-0.011,1.27,1998,22.0,Belgian Pro League,Sint-Truiden,Mauritania,WB,"LB, AM, LW, ST, CM",14.7,11.0,26.9,0.4,1.2,1.2,2.3,44.5,15.5,0.0
Achraf El Bouchataoui,-0.052,-0.043,-0.009,0.36,2000,21.0,Eredivisie,RKC Waalwijk,Netherlands,CM,"AM, DM",11.0,11.3,24.8,-5.6,1.0,1.0,1.6,47.6,16.0,0.0
Achraf Hakimi,0.113,0.058,0.055,5.56,1998,22.0,"UCL, Ligue 1",Paris Saint-Germain,Morocco,RB,"RM, WB",8.0,8.1,15.6,4.1,1.2,1.8,0.4,39.5,11.9,0.0
Achraf Lazaar,-0.032,-0.008,-0.023,0.28,1992,29.0,Primeira Liga,Portimonense,Morocco,LB,,8.5,8.4,24.5,-4.6,1.3,1.3,1.3,57.0,13.6,0.0
Adam Armstrong,0.022,0.025,-0.003,2.2,1997,24.0,Premier League,Southampton,England,ST,"AM, LM",11.7,8.6,28.5,-13.0,0.6,0.6,0.6,43.1,13.9,0.0
Adam Forshaw,-0.012,0.002,-0.014,1.99,1991,29.0,Premier League,Leeds United,England,DM,CM,10.3,9.8,20.8,-5.6,1.1,1.2,0.8,50.0,12.7,0.0
Adam Hložek,-0.013,-0.014,0.0,0.0,2002,19.0,UEL,Sparta Prague,Czechia,ST,AM,11.4,9.4,27.0,-0.0,0.8,0.7,0.9,48.2,14.0,0.0
Adam Idah,0.033,0.028,0.005,1.01,2001,20.0,Premier League,Norwich City,Ireland,ST,"AM, RW, LW",11.8,8.6,27.9,-8.8,0.9,1.0,1.1,43.1,14.9,0.0
Adam Lallana,0.019,0.008,0.011,2.39,1988,33.0,Premier League,Brighton,England,CM,"AM, DM, ST",8.9,9.2,18.6,-8.4,1.1,1.1,0.6,55.9,12.4,0.0
Adam Maher,-0.032,-0.034,0.002,3.15,1993,28.0,Eredivisie,Utrecht,Netherlands,DM,"CB, CM",8.6,13.7,25.5,-3.0,1.7,1.6,8.2,52.6,18.1,0.0
Adam Marušić,-0.016,-0.006,-0.01,3.44,1992,28.0,"Serie A, UEL",Lazio,Montenegro,LB,RB,6.0,9.0,15.8,1.0,1.5,0.8,0.6,57.2,10.8,0.0
Adam Masina,-0.033,0.013,-0.046,1.22,1994,27.0,Premier League,Watford,Morocco,LB,CB,7.9,9.0,25.3,-4.6,1.3,1.1,1.2,57.3,13.8,0.0
Adam Montgomery,-0.021,-0.01,-0.011,0.0,2002,19.0,UEL,Celtic,Scotland,LB,LW,9.5,9.4,22.8,-3.6,0.9,1.2,1.3,50.0,13.9,0.0
Adam Obert,0.006,0.002,0.004,0.39,2002,18.0,Serie A,Cagliari,Slovakia,CB,LM,8.0,8.4,25.0,-3.1,1.2,1.2,1.0,45.7,13.7,0.0
Adam Ounas,0.026,0.025,0.001,0.51,1996,24.0,"Serie A, UEL",Napoli,Algeria,RW,"AM, LW, ST, LM",16.8,13.3,26.1,0.9,0.9,1.1,2.3,45.5,18.5,0.0
Adam Webster,0.041,0.03,0.011,2.43,1995,26.0,Premier League,Brighton,England,CB,RB,7.4,11.7,19.9,2.4,1.2,0.8,0.6,69.0,13.8,0.0
Adama Soumaoro,0.023,-0.013,0.036,3.53,1992,29.0,Serie A,Bologna,France,CB,,5.1,7.4,15.4,-7.4,1.4,0.5,0.4,64.9,8.5,0.0
Adama Traoré,-0.05,-0.031,-0.019,0.0,1995,26.0,UCL,Sheriff Tiraspol,Mali,RW,"ST, RM, CM",9.5,8.8,28.0,6.3,1.0,0.9,0.8,47.1,14.5,0.0
Adama Traoré,0.059,0.048,0.011,2.66,1996,25.0,"Premier League, UEL","Barcelona, Wolves",Spain,RW,"LW, ST, RM, WB",18.0,12.6,31.3,-15.8,0.6,0.6,0.5,51.3,17.8,0.0
Adel Taarabt,-0.018,0.004,-0.022,1.08,1989,32.0,"UCL, Primeira Liga",Benfica,Morocco,CM,"DM, LW, RM",11.0,11.1,22.6,-1.5,1.0,1.0,1.1,54.5,14.4,0.0
Adem Zorgane,0.021,0.011,0.01,3.71,2000,21.0,Belgian Pro League,Charleroi,Algeria,CM,DM,15.5,12.5,21.2,-9.2,1.1,1.4,0.6,44.9,15.2,0.0
Ademola Lookman,0.048,0.046,0.002,2.54,1997,23.0,"Premier League, UEL",Leicester City,Nigeria,RW,"LW, ST, LM, RM",13.4,10.6,28.6,2.9,1.0,1.0,0.7,41.3,16.6,0.0
Adil Aouchiche,-0.028,-0.023,-0.006,1.27,2002,19.0,Ligue 1,Saint-Étienne,France,AM,"RW, LW, ST, LM, RM, CM, WB",11.7,13.2,26.5,-8.8,1.3,0.8,2.7,44.5,16.6,0.0
Adil Auassar,-0.087,-0.049,-0.037,1.79,1986,34.0,Eredivisie,Sparta Rotterdam,Netherlands,CB,"DM, CM",7.1,8.2,26.4,5.3,1.6,1.0,0.9,54.4,13.1,0.0
Adil Rami,-0.009,0.007,-0.016,1.55,1985,35.0,Ligue 1,Troyes,France,CB,,6.5,7.1,19.7,7.9,1.3,0.9,0.6,55.3,10.6,0.0
Adnan Januzaj,-0.013,-0.023,0.009,2.1,1995,26.0,"La Liga, UEL",Real Sociedad,Belgium,RW,"LW, ST, LM, RM",16.1,13.1,34.9,-11.2,1.0,0.8,7.5,42.9,22.9,0.0
Adri Embarba,-0.047,-0.048,0.002,2.06,1992,29.0,La Liga,Espanyol,Spain,RW,"RM, LW, LM",15.3,10.9,33.3,-15.4,1.1,1.4,6.2,41.7,20.6,0.0
Adrian Grbić,-0.086,-0.064,-0.022,0.94,1996,24.0,Eredivisie,"Vitesse, Lorient",Austria,ST,"CB, CM",8.9,5.8,28.5,-11.7,0.7,0.7,1.8,44.3,12.6,0.0
Adrien Rabiot,0.022,0.002,0.02,3.56,1995,26.0,"UCL, Serie A",Juventus,France,CM,"DM, LM",8.6,10.6,20.3,-13.8,1.1,1.8,0.4,57.2,12.7,0.0
Adrien Silva,0.003,-0.002,0.005,1.52,1989,32.0,Serie A,Sampdoria,Portugal,CM,"DM, LM",10.6,10.9,20.1,-4.6,1.6,1.1,0.8,50.0,13.0,0.0
Adrien Tameze,0.017,-0.008,0.025,3.89,1994,27.0,Serie A,Hellas Verona,Cameroon,CM,"CB, WB",11.1,10.5,22.9,10.6,1.7,1.1,0.5,52.0,13.6,0.0
Adrien Thomasson,0.088,0.074,0.013,4.9,1993,27.0,Ligue 1,Strasbourg,France,CM,,15.3,11.6,25.1,4.7,1.2,1.2,1.0,41.5,17.4,0.0
Adrien Truffert,0.046,0.041,0.005,2.84,2001,19.0,Ligue 1,Rennes,France,LB,"LM, RM",9.4,11.4,21.5,2.8,1.2,1.3,0.5,43.1,15.6,0.0
Adrià Pedrosa,-0.001,-0.013,0.012,3.74,1998,23.0,La Liga,Espanyol,Spain,LB,,9.6,10.3,26.1,-3.0,1.1,1.2,0.8,48.0,15.9,0.0
Adrián Butzke,-0.01,-0.002,-0.008,0.76,1999,22.0,Primeira Liga,Paços de Ferreira,Spain,ST,,11.1,8.3,24.2,1.4,0.8,0.7,0.8,50.7,13.2,0.0
Adrián Dalmau,-0.054,-0.045,-0.008,0.81,1994,27.0,Eredivisie,"Sparta Rotterdam, Utrecht",Spain,ST,LW,11.0,7.0,27.9,-8.0,0.7,0.6,0.8,44.1,13.7,0.0
Adrián Marín,0.015,0.021,-0.006,3.44,1997,24.0,Primeira Liga,Famalicão,Spain,LB,"CB, LM, WB",10.3,10.2,23.6,9.6,1.6,1.0,1.2,51.8,13.5,0.0
Afonso Sousa,-0.048,-0.022,-0.026,2.31,2000,21.0,Primeira Liga,Belenenses SAD,Portugal,CM,"AM, RW, LW, ST, LM",15.9,13.5,22.6,-11.7,1.3,1.3,0.9,51.0,15.8,0.0
Aguibou Camara,-0.029,-0.024,-0.004,0.0,2001,20.0,UEL,Olympiacos,Guinea,AM,CM,11.6,9.7,22.9,-7.4,1.3,1.6,1.3,48.0,13.5,0.0
Ahmed Touba,-0.153,-0.043,-0.11,0.55,1998,23.0,Eredivisie,RKC Waalwijk,Algeria,CB,,7.4,8.9,20.3,-7.9,1.8,1.1,0.6,63.2,10.9,0.0
Aihen Muñoz,0.016,0.0,0.015,2.03,1997,23.0,"La Liga, UEL",Real Sociedad,Spain,LB,,8.0,9.7,25.0,-4.1,1.1,1.3,1.3,52.5,14.9,0.0
Aimen Moueffek,-0.003,-0.001,-0.002,0.59,2001,20.0,Ligue 1,Saint-Étienne,France,CM,LM,10.0,11.0,22.5,-3.6,0.9,1.0,0.9,48.2,13.5,0.0
Ainsley Maitland-Niles,0.03,0.029,0.002,1.22,1997,23.0,Serie A,"Roma, Arsenal",England,WB,"RW, DM, RB, CM",9.9,9.6,23.9,-5.1,1.2,1.2,1.0,56.8,14.9,0.0
Aitor Fernández,0.023,0.009,0.014,1.82,1991,30.0,La Liga,Levante,Spain,GK,,5.4,4.9,24.8,-3.1,0.6,0.6,1.1,51.3,10.8,9.5
Aitor Ruibal,-0.027,-0.021,-0.006,1.01,1996,25.0,"La Liga, UEL",Real Betis,Spain,RW,"LB, RB, LW",12.4,8.8,26.8,-12.2,1.1,1.6,0.5,41.7,15.9,0.0
Ajdin Hrustic,-0.024,-0.025,0.002,1.16,1996,25.0,"Bundesliga, UEL",Eintracht Frankfurt,Australia,CM,"AM, DM",10.6,10.3,23.1,0.9,1.0,1.0,2.5,53.1,15.0,0.0
Akim Zedadka,-0.009,-0.01,0.001,4.41,1995,26.0,Ligue 1,Clermont Foot,Algeria,RB,,12.9,12.1,22.8,-10.5,1.6,1.3,0.8,51.1,15.8,0.0
Alan Patrick,-0.002,0.0,-0.003,0.0,1991,30.0,UCL,Shakhtar Donetsk,Brazil,AM,CM,11.6,10.0,22.9,-4.6,1.0,0.9,1.3,47.4,14.5,0.0
Alan Ruiz,-0.026,-0.022,-0.004,0.56,1993,27.0,Primeira Liga,Arouca,Argentina,AM,"LM, RM",13.4,11.0,24.1,-0.0,0.8,0.9,3.5,50.0,15.2,0.0
Alassane Pléa,0.05,0.053,-0.003,3.66,1993,28.0,Bundesliga,Borussia Mönchengladbach,France,AM,"LW, ST",17.6,12.8,27.5,2.8,0.5,0.8,0.6,37.7,15.5,0.0
Alban Lafont,0.019,-0.009,0.027,5.24,1999,22.0,Ligue 1,Nantes,France,GK,,3.1,2.5,30.5,-3.1,0.3,0.3,0.5,66.5,10.7,-3.7
Albert Guðmundsson,-0.059,-0.059,0.0,1.58,1997,24.0,Eredivisie,"AZ Alkmaar, Genoa",Iceland,RW,"AM, LW, ST",13.7,10.6,28.8,0.4,0.8,0.6,1.6,42.4,15.9,0.0
Albert Sambi Lokonga,0.029,0.032,-0.003,1.83,1999,21.0,Premier League,Arsenal,Belgium,DM,CM,11.5,11.7,17.5,-6.1,1.2,1.4,0.7,46.5,13.7,0.0
Alberth Elis,0.018,0.021,-0.003,2.15,1996,25.0,Ligue 1,Bordeaux,Honduras,ST,"AM, RW, RM",12.2,9.0,32.6,10.7,0.7,0.8,0.6,42.8,15.4,0.0
Alberto Grassi,0.03,-0.01,0.039,3.51,1995,26.0,Serie A,Cagliari,Italy,CM,DM,9.8,9.0,20.6,-8.4,2.3,1.2,0.7,61.0,13.4,0.0
Alberto Moreno,0.064,0.068,-0.004,2.28,1992,29.0,"La Liga, UCL",Villarreal,Spain,CM,"LB, LW, ST, LM",12.7,10.0,23.5,-1.3,1.7,0.8,1.4,43.4,14.7,0.0
Alberto Perea,-0.014,-0.016,0.002,0.99,1990,30.0,La Liga,Cádiz,Spain,LW,LM,13.3,13.6,27.5,-7.4,1.1,1.1,1.9,42.6,17.3,0.0
Alberto Soro,0.002,0.008,-0.006,0.81,1999,22.0,La Liga,Granada,Spain,LM,"LB, RW, RM, WB",10.6,9.7,26.3,-7.0,0.9,1.3,1.1,43.1,14.3,0.0
Albin Ekdal,-0.042,-0.031,-0.011,1.75,1989,32.0,Serie A,Sampdoria,Sweden,CM,DM,8.1,9.1,21.6,-2.5,1.5,1.4,0.5,54.5,12.7,0.0
Alec Van Hoorenbeeck,-0.071,-0.019,-0.052,0.83,1998,22.0,Belgian Pro League,Mechelen,Belgium,LB,CB,7.7,9.0,24.5,-3.1,1.3,1.2,0.9,48.9,14.4,0.0
Aleix Vidal,-0.009,0.0,-0.009,2.51,1989,31.0,La Liga,Espanyol,Spain,RB,"RW, RM, WB",12.7,10.8,22.1,3.4,1.3,1.3,1.5,50.9,14.9,0.0
Alejandro Balde,-0.009,0.01,-0.018,0.25,2003,17.0,"La Liga, UCL",Barcelona,Spain,LB,"LW, LM",9.4,9.8,21.4,-3.1,1.0,0.9,1.0,47.4,13.7,0.0
Aleksa Terzić,0.036,0.021,0.015,0.45,1999,21.0,Serie A,Fiorentina,Serbia,LB,,9.6,9.8,22.2,-3.1,1.2,1.2,1.6,56.2,14.5,0.0
Aleksandar Dragović,0.002,-0.012,0.014,0.0,1991,30.0,UEL,Red Star,Austria,CB,,7.5,8.2,20.1,-4.1,1.9,0.8,0.8,60.9,11.8,0.0
Aleksandar Katai,-0.016,-0.02,0.005,0.0,1991,30.0,UEL,Red Star,Serbia,AM,LW,10.9,10.3,27.1,-6.5,1.0,1.0,1.2,53.0,15.6,0.0
Aleksandar Radovanović,-0.053,-0.025,-0.028,2.3,1993,27.0,Belgian Pro League,Kortrijk,Serbia,CB,,4.5,5.4,19.6,-6.5,1.2,0.8,0.4,68.9,9.5,0.0
Aleksandar Sedlar,-0.008,0.0,-0.008,0.54,1991,29.0,La Liga,Mallorca,Serbia,CB,"RM, CM",7.9,8.6,21.8,-3.1,1.1,1.0,0.9,53.0,12.4,0.0
Aleksandr Golovin,0.04,0.027,0.014,2.54,1996,25.0,"UEL, Ligue 1",Monaco,Russia,LW,"RW, LM, RM, CM",13.2,11.3,26.5,-2.7,1.0,1.4,4.9,42.9,15.7,0.0
Aleksandr Maksimenko,-0.023,0.006,-0.029,0.0,1998,23.0,UEL,Spartak Moscow,Russia,GK,,7.8,7.5,24.1,-3.1,0.9,0.8,1.0,52.6,12.8,4.3
Aleksandr Selikhov,-0.012,0.001,-0.013,0.0,1994,27.0,UEL,Spartak Moscow,Russia,GK,,7.8,7.5,25.0,-3.1,0.9,0.8,1.0,52.5,13.4,-3.2
Aleksandr Sobolev,0.042,0.054,-0.012,0.0,1997,24.0,UEL,Spartak Moscow,Russia,ST,,11.0,8.9,26.8,1.4,0.9,0.9,1.0,50.7,15.5,0.0
Aleksei Miranchuk,0.037,0.037,0.0,1.29,1995,25.0,"Serie A, UEL",Atalanta,Russia,AM,"RW, ST, CM",13.5,10.0,25.0,-0.0,0.7,0.9,1.3,45.9,15.6,0.0
Aleksei Sutormin,-0.005,0.003,-0.008,0.0,1994,27.0,UCL,Zenit,Russia,RB,"RM, WB",8.5,9.0,22.1,1.5,1.0,1.0,1.5,45.1,13.4,0.0
Alessandro Albanese,-0.032,-0.029,-0.003,0.37,2000,21.0,Belgian Pro League,Oostende,Belgium,ST,WB,11.6,10.0,26.5,1.5,0.9,1.4,1.6,48.7,14.8,0.0
Alessandro Bastoni,0.086,0.035,0.051,4.73,1999,22.0,"UCL, Serie A",Inter Milan,Italy,CB,,6.7,9.3,14.8,0.5,1.4,1.1,0.5,56.6,12.1,0.0
Alessandro Buongiorno,-0.017,0.004,-0.022,1.48,1999,22.0,Serie A,Torino,Italy,CB,,6.7,7.5,20.8,-7.4,1.9,0.9,0.6,61.1,12.2,0.0
Alessandro Ciranni,-0.032,-0.031,-0.001,2.14,1996,25.0,Belgian Pro League,Zulte Waregem,Belgium,RB,"RM, WB",9.6,10.7,27.4,-0.6,1.3,1.3,1.8,55.3,15.7,0.0
Alessandro Deiola,-0.016,-0.003,-0.014,2.7,1995,25.0,Serie A,Cagliari,Italy,CM,DM,9.6,8.7,22.9,4.1,1.2,1.1,0.4,49.2,12.2,0.0
Alessandro Florenzi,0.014,0.013,0.0,1.72,1991,30.0,"UCL, Serie A",AC Milan,Italy,RB,"LB, RW",9.5,11.1,21.2,2.9,1.7,1.1,2.3,45.9,14.5,0.0
Alessandro Schöpf,-0.043,-0.05,0.007,2.53,1994,27.0,Bundesliga,Arminia Bielefeld,Austria,DM,"AM, LW, LM, RM, CM",16.4,12.6,25.6,-7.5,1.2,0.9,2.4,44.5,15.4,0.0
Alessandro Zanoli,-0.001,0.007,-0.008,0.63,2000,20.0,"Serie A, UEL",Napoli,Italy,RB,"LB, RW, ST, WB",8.4,9.0,22.2,-3.1,1.1,1.2,0.9,52.2,13.5,0.0
Alessio Castro-Montes,0.043,0.018,0.024,3.4,1997,24.0,Belgian Pro League,Gent,Belgium,WB,"AM, CM",11.7,11.4,25.9,-4.4,1.3,1.6,0.9,58.9,16.0,0.0
Alessio Cragno,-0.006,0.009,-0.015,4.23,1994,27.0,Serie A,Cagliari,Italy,GK,,3.0,3.1,30.1,-3.1,0.3,0.4,0.7,50.0,11.8,10.8
Alessio Romagnoli,0.089,0.018,0.071,2.92,1995,26.0,"UCL, Serie A",AC Milan,Italy,CB,,5.3,7.9,14.8,-1.0,1.4,1.0,0.5,66.0,9.9,0.0
Alex,0.002,0.002,0.0,0.23,1999,22.0,Primeira Liga,Famalicão,Brazil,CB,,7.8,7.0,16.8,-4.1,1.2,1.3,0.5,60.2,9.9,0.0
Alex Bangura,-0.07,-0.028,-0.042,2.06,1999,22.0,Eredivisie,Cambuur,Sierra Leone,LB,LW,9.3,9.8,20.1,6.3,1.2,1.3,0.4,46.9,12.6,0.0
Alex Ferrari,-0.005,-0.004,-0.001,2.21,1994,27.0,Serie A,Sampdoria,Italy,CB,RB,6.1,7.4,18.9,-1.0,1.8,1.2,0.7,51.2,11.1,0.0
Alex Iwobi,0.021,0.016,0.005,3.14,1996,25.0,Premier League,Everton,Nigeria,RW,"RM, RB, ST, LM",13.9,12.6,25.2,-4.2,1.0,1.0,1.0,41.0,14.1,0.0
Alex McCarthy,-0.036,0.005,-0.041,1.7,1989,31.0,Premier League,Southampton,England,GK,,4.3,4.1,28.4,-3.1,0.5,0.4,0.7,57.0,11.3,9.7
Alex Meret,-0.007,0.012,-0.019,0.83,1997,24.0,"Serie A, UEL",Napoli,Italy,GK,,4.0,4.1,19.1,-3.1,0.6,0.5,0.6,51.3,8.5,7.0
Alex Oxlade-Chamberlain,0.041,0.036,0.005,1.33,1993,27.0,"Premier League, UCL",Liverpool,England,RW,"RM, ST, LM",10.7,11.6,23.5,-4.2,1.0,1.5,1.4,42.7,14.9,0.0
Alex Petxa,0.001,0.0,0.0,0.57,1997,24.0,La Liga,Athletic Bilbao,Spain,RB,CM,9.6,9.9,24.8,-3.6,1.1,1.3,0.9,48.0,15.2,0.0
Alex Sandro,0.045,0.011,0.035,3.09,1991,30.0,"UCL, Serie A",Juventus,Brazil,LB,"CB, WB",9.3,12.0,19.3,-6.2,1.4,1.1,0.6,56.0,13.8,0.0
Alex Telles,0.038,0.014,0.024,2.78,1992,28.0,"Premier League, UCL",Manchester United,Brazil,LB,"LM, WB",9.0,9.4,23.9,-0.0,1.4,1.3,4.5,53.4,16.9,0.0
Alexander Büttner,-0.088,-0.077,-0.01,1.36,1989,32.0,Eredivisie,RKC Waalwijk,Netherlands,WB,"LB, DM",9.8,11.1,29.0,1.4,1.5,1.3,6.0,50.0,17.5,0.0
Alexander Corryn,-0.032,-0.027,-0.005,0.61,1994,27.0,Belgian Pro League,Cercle Brugge,Belgium,LB,"CB, WB",8.3,9.1,24.7,-3.1,1.2,1.1,1.1,48.1,13.4,0.0
Alexander Djiku,0.039,0.019,0.02,4.51,1994,26.0,Ligue 1,Strasbourg,Ghana,CB,,7.1,9.8,18.6,-8.0,1.9,1.3,0.5,65.4,12.1,0.0
Alexander Hack,0.05,0.013,0.036,3.66,1993,27.0,Bundesliga,Mainz 05,Germany,CB,,7.5,8.0,20.0,-1.8,1.9,1.1,0.6,56.6,12.0,0.0
Alexander Isak,0.037,0.033,0.004,3.57,1999,21.0,"La Liga, UEL",Real Sociedad,Sweden,ST,RW,14.5,7.9,30.4,-15.5,0.5,0.5,0.9,46.9,14.4,0.0
Alexander Nübel,0.068,-0.004,0.072,6.5,1996,24.0,"UEL, Ligue 1",Monaco,Germany,GK,,2.5,1.9,24.8,-3.1,0.2,0.2,0.3,54.7,8.2,-2.6
Alexander Prass,-0.002,0.002,-0.005,0.0,2001,20.0,UEL,Sturm Graz,Austria,LM,,11.9,9.5,25.0,-4.1,1.1,0.9,1.0,50.0,14.6,0.0
Alexander Schwolow,-0.074,-0.006,-0.069,1.79,1992,29.0,Bundesliga,Hertha Berlin,Germany,GK,,3.9,3.9,24.6,-3.1,0.4,0.4,0.6,57.0,9.8,11.1
