Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,0.088,0.019,0.069,5.61,1989,31.0,"Premier League, UEL",West Ham,England,LB,CB,6.9,12.9,21.0,0.9,1.3,0.8,5.5,54.4,16.0,0.0
Aaron Hickey,-0.001,-0.029,0.029,3.88,2002,19.0,Serie A,Bologna,Scotland,WB,"LB, CB, LW",8.3,7.9,22.4,17.2,1.1,1.1,0.4,42.2,13.3,0.0
Aaron Lennon,-0.028,-0.023,-0.005,1.82,1987,34.0,Premier League,Burnley,England,ST,"RM, LM",11.3,9.2,27.9,1.4,0.8,1.1,0.6,39.2,13.1,0.0
Aaron Meijers,-0.061,-0.043,-0.017,0.68,1987,33.0,Eredivisie,Sparta Rotterdam,Netherlands,LB,"RM, WB",10.4,10.7,26.5,-3.6,0.9,1.4,1.1,48.3,15.2,0.0
Aaron Ramsdale,0.078,0.014,0.064,6.05,1998,23.0,Premier League,Arsenal,England,GK,,2.2,2.4,27.8,-3.1,0.3,0.3,0.6,54.5,11.3,1.6
Aaron Ramsey,0.029,0.031,-0.002,1.75,1990,30.0,"Serie A, UEL","Juventus, Rangers",Wales,CM,"ST, LM",11.2,9.4,22.0,-7.9,1.0,0.9,1.4,48.7,13.9,0.0
Aaron Wan-Bissaka,0.055,0.008,0.046,3.22,1997,23.0,"Premier League, UCL",Manchester United,England,RB,WB,8.3,9.7,20.8,-5.1,1.8,1.7,0.5,41.8,13.7,0.0
Aarón Escandell,0.029,0.019,0.01,0.46,1995,25.0,La Liga,Granada,Spain,GK,,8.0,7.8,26.0,-3.1,0.9,0.8,1.0,50.0,14.0,6.1
Aarón Martín,0.002,-0.004,0.006,3.21,1997,24.0,Bundesliga,Mainz 05,Spain,WB,LB,8.9,8.6,28.5,-3.0,0.9,1.2,4.8,47.6,14.8,0.0
Abdel Jalil Medioub,-0.035,-0.006,-0.028,0.7,1997,23.0,Ligue 1,Bordeaux,Algeria,CB,,6.8,7.6,21.0,-3.6,1.4,0.9,0.8,57.1,11.6,0.0
Abdelhamid Sabiri,-0.015,-0.016,0.001,1.14,1996,24.0,Serie A,Sampdoria,Morocco,ST,"AM, LM",12.7,9.8,26.4,4.8,1.0,1.4,1.8,50.0,16.0,0.0
Abdelkahar Kadri,-0.054,-0.049,-0.005,1.41,2000,21.0,Belgian Pro League,Kortrijk,Algeria,AM,"DM, LM, RM, CM",11.0,10.6,27.5,-8.4,1.2,1.4,4.6,40.1,16.5,0.0
Abdessamad Ezzalzouli,0.027,0.022,0.005,0.92,2001,19.0,La Liga,Barcelona,Morocco,LW,RW,10.7,9.8,27.5,-4.4,1.3,1.2,0.8,45.7,16.0,0.0
Abdou Diallo,0.053,0.036,0.016,1.56,1996,25.0,"UCL, Ligue 1",Paris Saint-Germain,Senegal,LB,"CB, WB",5.9,8.6,17.7,-3.6,1.3,1.3,0.7,58.2,12.2,0.0
Abdou Harroui,0.012,0.006,0.006,0.8,1998,23.0,Serie A,"Sparta Rotterdam, Sassuolo",Netherlands,DM,"LW, LM, RM, CM",10.3,10.6,21.0,-5.6,1.0,1.1,0.8,45.3,13.8,0.0
Abdoul-Fessal Tapsoba,-0.015,-0.009,-0.006,0.91,2001,19.0,Belgian Pro League,Standard Liège,Burkina Faso,ST,"AM, LW, LM, RM",11.9,7.7,28.4,-8.4,0.8,1.4,0.8,47.3,14.6,0.0
