Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,0.026,0.02,0.006,0.69,1989,33.0,"Premier League, UEL",West Ham,England,LB,"RW, CB, LW",8.4,10.0,21.2,3.3,0.9,0.9,2.0,54.9,14.0,0.0
Aaron Hickey,-0.0,-0.001,0.001,0.99,2002,21.0,Premier League,Brentford,Scotland,RB,"LB, WB",7.5,8.6,21.0,-2.2,0.8,1.3,0.7,40.5,13.5,0.0
Aaron Meijers,-0.084,-0.07,-0.015,1.72,1987,35.0,Eredivisie,RKC Waalwijk,Netherlands,LB,LM,8.6,12.1,26.5,-2.7,1.3,1.3,3.2,54.4,18.0,0.0
Aaron Ramsdale,0.01,0.023,-0.014,0.79,1998,25.0,"Premier League, UCL",Arsenal,England,GK,,5.2,5.4,24.3,-1.2,0.7,0.8,0.7,50.0,13.2,2.2
Aaron Ramsey,0.025,0.015,0.01,2.5,2003,20.0,Premier League,Burnley,England,CM,"LW, ST, RM",7.9,8.0,24.1,-2.7,0.8,1.9,0.8,48.8,14.0,0.0
Aaron Seydel,-0.03,-0.017,-0.013,0.72,1996,27.0,Bundesliga,Darmstadt 98,Germany,ST,,9.0,7.8,30.0,-0.2,0.7,0.9,0.8,56.0,17.0,0.0
Aaron Wan-Bissaka,0.005,-0.002,0.008,2.53,1997,25.0,"Premier League, UCL",Manchester United,England,RB,LB,5.9,8.8,20.7,-1.7,2.1,1.6,0.6,48.5,12.3,0.0
Aarón Martín,-0.021,-0.021,0.0,1.68,1997,26.0,Serie A,Genoa,Spain,WB,"LB, RB",7.4,8.6,30.9,-1.7,0.9,0.9,2.3,46.6,15.8,0.0
Abakar Sylla,0.028,0.01,0.019,2.87,2002,20.0,Ligue 1,Strasbourg,Côte d'Ivoire,CB,,5.4,8.3,18.3,1.2,1.4,1.4,0.5,50.7,12.0,0.0
Abass Issah,-0.002,0.01,-0.012,0.42,1998,24.0,Primeira Liga,Chaves,Ghana,LW,LM,9.9,9.4,25.3,-5.0,0.8,0.9,0.9,48.6,14.9,0.0
Abdallah Sima,0.015,0.012,0.003,0.0,2001,22.0,UEL,Rangers,Senegal,LW,RW,10.3,9.3,27.8,3.5,0.9,1.3,0.8,49.2,16.1,0.0
Abdel Abqar,-0.039,-0.035,-0.004,2.52,1999,24.0,La Liga,Deportivo Alavés,Morocco,CB,,4.5,6.1,24.5,-2.7,1.0,1.0,0.4,52.8,11.9,0.0
Abdelkahar Kadri,-0.089,-0.057,-0.031,1.63,2000,23.0,Belgian Pro League,Kortrijk,Algeria,CM,"AM, LW, LM",19.5,15.1,28.2,-6.8,1.1,1.2,4.2,42.7,20.1,0.0
Abdenego Nankishi,-0.023,-0.006,-0.017,0.43,2002,21.0,Eredivisie,Heracles Almelo,Germany,RW,,9.3,7.9,25.8,5.0,0.8,1.5,0.9,42.9,15.0,0.0
Abderrahman Rebbach,0.012,-0.003,0.015,1.06,1998,24.0,La Liga,Deportivo Alavés,Algeria,LW,"RW, LM",11.1,10.0,30.9,-0.2,0.8,1.0,2.7,44.3,18.7,0.0
Abdessamad Ezzalzouli,-0.008,-0.007,-0.001,1.24,2001,21.0,"La Liga, UEL","Barcelona, Real Betis",Morocco,LW,,9.3,10.4,32.7,-1.1,0.7,1.2,0.8,48.4,19.4,0.0
Abdou Harroui,-0.001,0.002,-0.003,1.4,1998,25.0,Serie A,Frosinone,Netherlands,AM,"LW, LM, CM",11.5,10.2,24.9,2.2,0.7,1.0,0.6,52.1,14.6,0.0
Abdoul Kader Bamba,-0.021,-0.003,-0.018,0.75,1994,29.0,Ligue 1,Nantes,France,RW,"AM, LW, ST, LM, RM",14.2,11.9,25.1,-1.1,0.9,1.2,1.6,50.0,18.3,0.0
Abdoul Koné,-0.012,-0.005,-0.006,0.25,2005,18.0,Ligue 1,Reims,France,RB,,7.6,8.1,28.0,-1.2,0.8,1.0,1.0,50.0,14.5,0.0
Abdoulaye Doucouré,0.046,0.027,0.019,4.56,1993,30.0,Premier League,Everton,Mali,ST,CM,10.4,10.7,27.9,-4.3,0.8,1.2,0.4,42.6,14.7,0.0
Abdoulaye Seck,-0.016,-0.0,-0.016,0.0,1992,31.0,UEL,Maccabi Haifa,Senegal,CB,,8.4,8.3,21.0,0.3,0.8,1.1,0.8,61.3,13.3,0.0
Abdoulaye Sissako,-0.067,-0.056,-0.011,1.66,1998,25.0,Belgian Pro League,Kortrijk,France,CM,DM,8.5,10.5,24.6,-6.0,1.3,1.4,0.4,52.9,14.0,0.0
Abdoulaye Touré,-0.049,-0.038,-0.011,2.31,1994,29.0,Ligue 1,Le Havre,Guinea,CM,DM,9.0,11.4,21.9,-6.9,1.2,1.3,0.4,51.6,14.5,0.0
Abdul Awudu,-0.028,-0.02,-0.008,0.22,2001,22.0,Primeira Liga,Vizela,Ghana,LW,,9.7,8.5,24.8,-1.7,0.8,1.2,1.0,48.8,14.9,0.0
Abdul Mumin,-0.018,-0.011,-0.007,2.11,1998,25.0,La Liga,Rayo Vallecano,Ghana,CB,,4.4,6.7,23.4,1.8,1.0,0.8,0.5,53.9,11.1,0.0
Abdul-Aziz Yakubu,-0.042,-0.04,-0.002,1.19,1998,24.0,Primeira Liga,Rio Ave,Ghana,ST,,9.9,7.2,28.2,3.7,0.5,0.7,0.6,44.3,13.2,0.0
Abdulrazaq Ishaq,0.005,0.006,-0.001,0.0,2002,21.0,UEL,Häcken,Nigeria,RB,,10.2,10.3,22.3,-1.7,0.8,1.5,1.4,45.8,15.1,0.0
Abduqodir Xusanov,-0.017,-0.0,-0.017,1.02,2004,19.0,"UEL, Ligue 1",Lens,Uzbekistan,CB,,6.2,6.8,19.3,-2.2,1.2,1.3,0.6,47.1,11.9,0.0
Abdón Prats,0.02,0.021,-0.001,1.95,1992,30.0,La Liga,Mallorca,Spain,ST,"RM, CM",9.3,7.4,31.5,12.1,0.6,0.8,1.2,43.5,15.1,0.0
Abdülkerim Bardakcı,0.008,0.008,0.0,0.0,1994,28.0,UCL,Galatasaray,Turkey,CB,LB,6.3,9.7,20.5,-0.2,1.3,1.3,0.7,50.0,13.3,0.0
Abel Ruiz,-0.001,0.003,-0.005,2.62,2000,23.0,"UCL, Primeira Liga",Braga,Spain,ST,"AM, RW",10.1,5.8,25.3,-6.0,0.5,0.6,0.4,29.2,12.4,0.0
Ablie Jallow,-0.019,-0.015,-0.004,1.14,1998,24.0,Ligue 1,Metz,Gambia,AM,RW,10.9,11.5,26.8,2.7,0.9,0.9,2.3,38.8,15.4,0.0
Abner,-0.103,-0.053,-0.05,1.11,1996,27.0,Belgian Pro League,RWD Molenbeek,Brazil,WB,"LB, LM",7.7,10.6,24.9,-4.1,1.2,0.8,0.7,51.3,14.1,0.0
Abner,0.017,0.015,0.002,2.12,2000,23.0,"La Liga, UEL",Real Betis,Brazil,LB,,6.8,7.6,23.9,-2.7,1.1,1.3,0.6,52.6,14.3,0.0
Abou Lô,-0.053,-0.001,-0.052,0.2,2000,23.0,Ligue 1,Metz,Senegal,CB,CM,8.5,8.4,22.0,-1.7,1.1,1.0,1.0,50.0,13.5,0.0
Aboubakary Koita,-0.054,-0.045,-0.009,2.23,1998,24.0,Belgian Pro League,Sint-Truiden,Mauritania,AM,"LW, ST",19.7,12.7,28.0,14.5,1.0,1.3,4.1,46.5,20.6,0.0
Achraf Dari,-0.052,-0.026,-0.026,0.43,1999,24.0,Belgian Pro League,"Charleroi, Stade Brestois",Morocco,CB,,7.4,7.8,23.2,1.3,1.5,1.2,0.8,61.3,14.9,0.0
Achraf Douiri,-0.054,-0.044,-0.011,0.33,1999,23.0,Eredivisie,Volendam,Netherlands,RB,"LB, LW",9.5,10.3,26.5,-2.2,1.2,1.6,1.6,45.8,16.3,0.0
Achraf Hakimi,0.139,0.069,0.07,4.73,1998,24.0,"UCL, Ligue 1",Paris Saint-Germain,Morocco,RB,WB,13.1,13.8,19.1,-2.6,1.0,1.1,1.6,45.2,19.2,0.0
Adam Gnezda Čerin,-0.003,-0.002,-0.001,0.0,1999,24.0,UEL,Panathinaikos,Slovenia,DM,RM,9.9,8.6,21.1,-3.2,0.9,1.3,1.2,50.0,13.7,0.0
Adam Hložek,0.068,0.062,0.006,0.87,2002,21.0,"Bundesliga, UEL",Bayer Leverkusen,Czechia,AM,ST,8.8,7.6,24.8,-2.6,0.8,1.0,1.1,49.2,14.8,0.0
Adam Karabec,-0.005,-0.005,-0.0,0.0,2003,20.0,UEL,Sparta Prague,Czechia,AM,RW,10.5,9.4,25.3,-4.6,0.8,1.1,1.7,51.5,15.3,0.0
Adam Lallana,0.055,0.049,0.005,1.52,1988,35.0,"Premier League, UEL",Brighton,England,AM,"RW, DM, ST",10.6,8.2,20.8,-3.6,0.8,0.9,0.6,47.5,15.1,0.0
Adam Marušić,0.006,-0.019,0.024,4.44,1992,30.0,"UCL, Serie A",Lazio,Montenegro,LB,"RB, WB",5.5,7.8,20.1,1.8,1.2,1.2,0.5,47.1,12.6,0.0
Adam Masina,0.024,-0.001,0.025,1.71,1994,29.0,Serie A,"Torino, Udinese",Morocco,CB,WB,6.7,8.3,22.1,-2.7,1.0,1.2,0.6,58.5,13.3,0.0
Adam Obert,0.001,0.006,-0.005,1.31,2002,20.0,Serie A,Cagliari,Slovakia,CB,LB,7.8,9.3,23.9,-1.7,1.4,1.1,0.6,50.9,13.7,0.0
Adam Ounas,0.04,0.046,-0.006,0.7,1996,26.0,Ligue 1,Lille,Algeria,RW,LW,14.2,10.2,26.8,0.8,1.2,1.1,1.4,50.0,18.0,0.0
Adam Smith,0.007,0.001,0.006,3.11,1991,32.0,Premier League,Bournemouth,England,RB,,6.2,8.7,23.8,-1.2,1.1,1.2,1.0,48.5,13.5,0.0
Adam Webster,0.058,0.027,0.032,2.08,1995,28.0,"Premier League, UEL",Brighton,England,CB,"LB, RB, LM",5.8,9.6,16.6,-2.7,1.0,1.2,0.6,59.7,12.3,0.0
Adam Wharton,0.018,0.018,-0.0,1.97,2004,19.0,Premier League,Crystal Palace,England,CM,DM,8.3,11.4,25.7,-2.7,1.2,1.8,2.0,44.5,14.0,0.0
Adama Traoré,0.061,0.065,-0.004,0.7,1996,27.0,Premier League,Fulham,Spain,RW,"AM, DM, LW",10.2,10.2,27.4,-3.0,0.8,1.1,0.9,52.5,16.0,0.0
Adem Zorgane,0.009,0.022,-0.013,2.69,2000,23.0,Belgian Pro League,Charleroi,Algeria,CM,DM,19.0,18.5,23.3,0.3,1.2,1.4,1.9,49.3,20.1,0.0
Ademola Lookman,0.05,0.042,0.008,3.34,1997,25.0,"Serie A, UEL",Atalanta,Nigeria,ST,"AM, LW",13.6,10.5,32.9,-1.5,0.6,0.8,1.7,48.0,18.9,0.0
Aderlan Santos,0.024,-0.005,0.029,4.46,1989,34.0,Primeira Liga,Rio Ave,Brazil,CB,,6.4,6.5,15.4,6.9,1.6,1.6,0.4,58.4,10.9,0.0
Adi Nalic,-0.061,-0.056,-0.005,0.2,1997,25.0,Eredivisie,Almere City,Bosnia and Herzegovina,ST,,10.4,9.4,27.0,1.3,0.8,0.9,1.0,44.9,16.3,0.0
Adnan Januzaj,0.005,0.009,-0.004,0.27,1995,28.0,La Liga,Sevilla,Belgium,RW,LW,9.1,8.8,24.0,-4.1,0.9,1.3,1.7,52.8,16.0,0.0
Adnan Kovačević,-0.037,-0.009,-0.029,0.0,1993,29.0,UEL,RKS Raków,Bosnia and Herzegovina,CB,,7.5,7.4,21.3,-1.2,1.1,1.3,0.9,64.9,12.7,0.0
Adri Embarba,-0.041,-0.035,-0.006,2.67,1992,31.0,La Liga,Almería,Spain,LW,"RW, LM",11.8,10.3,35.3,-4.2,0.8,1.4,4.0,42.2,19.7,0.0
Adrian Beck,-0.023,-0.017,-0.006,1.18,1997,26.0,Bundesliga,Heidenheim,Germany,AM,"DM, ST, CM",12.2,9.2,26.9,-4.4,0.8,1.4,0.7,44.8,16.3,0.0
Adrien Rabiot,0.064,0.026,0.038,4.96,1995,28.0,Serie A,Juventus,France,CM,"DM, LM",9.2,10.1,22.4,4.7,1.1,1.5,0.4,58.7,15.3,0.0
Adrien Silva,-0.038,-0.028,-0.009,0.38,1989,34.0,Primeira Liga,Rio Ave,Portugal,CM,,8.1,10.1,23.5,-1.7,1.1,1.2,2.7,47.8,15.6,0.0
Adrien Tameze,-0.01,-0.007,-0.002,2.81,1994,29.0,Serie A,Torino,Cameroon,CB,CM,7.8,8.5,18.2,-3.2,2.2,1.1,0.4,45.1,12.8,0.0
Adrien Thomasson,0.072,0.078,-0.006,2.31,1993,29.0,"UCL, Ligue 1",Lens,France,AM,CM,15.7,9.7,26.4,-9.4,0.9,1.2,2.4,41.6,18.9,0.0
Adrien Truffert,0.041,0.006,0.036,3.64,2001,21.0,"UEL, Ligue 1",Rennes,France,LB,"LM, WB",7.7,9.5,24.8,-0.2,0.8,1.1,0.5,42.9,16.9,0.0
Adrià Altimira,-0.048,-0.01,-0.038,0.79,2001,22.0,"La Liga, UEL",Villarreal,Spain,RB,"LB, RW, CB, RM",7.6,9.4,19.7,-1.2,1.0,1.4,0.6,41.4,13.5,0.0
Adrià Pedrosa,-0.01,-0.019,0.009,2.3,1998,25.0,"La Liga, UCL",Sevilla,Spain,LB,"ST, WB",9.6,9.0,28.0,0.8,1.0,1.5,0.7,41.6,18.0,0.0
Adrián Butzke,-0.046,-0.036,-0.01,0.38,1999,24.0,Primeira Liga,Vitória,Spain,ST,"LW, CM",8.2,7.5,28.4,-3.6,0.7,1.1,0.8,51.9,16.0,0.0
Adrián Marín,-0.012,-0.006,-0.006,0.42,1997,26.0,"UCL, Primeira Liga",Braga,Spain,LB,"RB, LW",7.5,9.5,23.4,-2.2,1.2,1.1,0.9,58.8,14.9,0.0
Adson,-0.016,-0.006,-0.01,0.3,2000,22.0,Ligue 1,Nantes,Brazil,AM,,10.4,11.1,22.0,-2.2,1.0,1.4,1.0,47.1,14.7,0.0
Adu Ares,-0.007,-0.004,-0.003,0.35,2001,21.0,La Liga,Athletic Bilbao,Spain,RW,LW,8.2,8.3,25.2,-1.7,0.9,1.3,0.9,47.1,14.8,0.0
Afonso Rodrigues,-0.026,-0.013,-0.013,0.28,2002,20.0,Primeira Liga,Famalicão,Portugal,RW,"LM, RM",9.2,8.7,25.3,0.8,1.0,1.0,0.9,54.8,15.2,0.0
Afonso freitas,-0.022,-0.018,-0.004,0.89,2000,23.0,Primeira Liga,Vitória,Portugal,LM,"LB, WB",8.1,7.8,25.9,-2.2,0.8,1.4,0.7,54.9,14.3,0.0
Agustín Martegani,-0.031,-0.018,-0.013,0.84,2000,23.0,Serie A,Salernitana,Argentina,CM,"AM, LM, RM",10.7,9.8,22.1,0.8,0.9,1.2,0.9,51.2,14.3,0.0
Ahmed Touba,-0.005,-0.001,-0.004,0.38,1998,25.0,Serie A,Lecce,Algeria,CB,,7.4,7.7,21.3,-1.2,1.4,1.3,0.9,48.9,13.5,0.0
