Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,-0.03,-0.011,-0.019,3.55,1989,27.0,Premier League,West Ham,England,CB,"LB, LM, WB",8.6,10.1,27.0,1.3,1.4,0.8,4.1,53.5,15.0,0.0
Aaron Hunt,-0.04,-0.041,0.001,2.24,1986,30.0,Bundesliga,Hamburger SV,Germany,AM,"RW, ST, LM, RM, CM",14.1,12.2,27.7,0.3,0.9,1.2,7.6,44.5,17.5,0.0
Aaron Lennon,-0.014,-0.002,-0.012,2.44,1987,30.0,"Premier League, UEL","Everton, Burnley",England,RW,"RM, LM",10.6,9.3,29.1,-3.5,1.1,1.2,0.5,41.3,12.6,0.0
Aaron Leya Iseka,-0.026,-0.016,-0.011,1.6,1997,19.0,"Belgian Pro League, UEL",Zulte Waregem,Belgium,ST,"AM, RW, LW",10.5,6.4,26.1,7.0,0.7,0.7,0.5,40.3,12.3,0.0
Aaron Mooy,-0.031,-0.021,-0.009,3.55,1990,26.0,Premier League,Huddersfield Town,Australia,DM,"AM, CM",12.6,14.9,25.9,3.9,1.2,1.7,3.0,47.2,16.7,0.0
Aaron Ramsey,0.138,0.132,0.006,0.66,1990,26.0,"Premier League, UEL",Arsenal,Wales,CM,"AM, DM, LM, RM",11.6,10.8,21.6,1.6,1.4,1.4,0.4,48.6,16.1,0.0
Aaron Wan-Bissaka,0.044,0.035,0.009,1.08,1997,19.0,Premier League,Crystal Palace,England,RB,,8.2,9.9,25.1,0.4,1.6,1.8,0.8,49.1,13.4,0.0
Aarón Martín,-0.018,-0.009,-0.008,3.51,1997,20.0,La Liga,Espanyol,Spain,LB,,9.1,9.7,24.6,-0.1,1.5,1.2,1.5,38.3,12.8,0.0
Abdallah N'dour,-0.015,0.006,-0.021,0.32,1993,23.0,Ligue 1,Strasbourg,Senegal,LB,,10.2,9.4,23.9,0.4,1.1,1.3,1.0,48.8,13.4,0.0
Abdelhamid Sabiri,-0.004,0.008,-0.012,0.29,1996,20.0,Premier League,Huddersfield Town,Morocco,AM,,11.2,9.4,25.1,-1.1,1.1,1.3,1.0,51.5,14.2,0.0
