Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Abdelkarim Hassan,-0.02,-0.017,-0.003,1.1,1993,23.0,Belgian Pro League,Eupen,Qatar,LB,,9.4,10.1,26.8,3.3,1.6,1.5,1.8,55.5,15.4,0.0
Abdou Diallo,0.019,0.021,-0.002,3.7,1996,21.0,Bundesliga,Mainz 05,Senegal,CB,LB,6.2,9.8,23.5,-1.0,1.9,1.9,0.5,62.2,12.3,0.0
Abdoul Camara,-0.008,-0.006,-0.001,1.18,1990,27.0,Ligue 1,Guingamp,Guinea,RW,"LW, LM, RM",10.4,10.1,27.4,2.2,1.0,0.9,1.3,50.0,13.7,0.0
Abdoulay Diaby,0.116,0.116,0.0,4.83,1991,26.0,Belgian Pro League,Club Brugge,Mali,ST,LW,15.3,7.7,27.2,5.2,0.6,0.8,0.4,36.1,14.8,0.0
Abdoulaye Bamba,-0.013,-0.011,-0.002,1.97,1990,27.0,Ligue 1,Angers,Côte d'Ivoire,LB,RB,7.2,9.9,22.9,-0.1,0.9,1.3,0.9,52.9,12.2,0.0
Abdoulaye Diallo,0.004,0.002,0.002,0.38,1992,25.0,Ligue 1,Rennes,Senegal,GK,,7.8,7.4,23.7,0.4,1.0,1.0,0.9,48.8,11.7,-1.2
Abdoulaye Doucouré,0.013,0.027,-0.014,4.94,1993,24.0,Premier League,Watford,Mali,CM,"DM, LM",13.8,12.9,20.1,15.2,1.5,1.4,0.4,46.6,14.0,0.0
Abdoulaye Touré,-0.014,-0.029,0.015,3.59,1994,23.0,Ligue 1,Nantes,Guinea,CM,DM,12.0,11.6,23.1,-2.0,1.8,1.6,0.6,60.1,13.9,0.0
Abdul Jeleel Ajagun,-0.043,-0.012,-0.031,3.01,1993,24.0,Belgian Pro League,Kortrijk,Nigeria,CM,"AM, ST, LM",9.8,8.2,26.0,4.4,1.0,0.8,0.4,39.9,10.5,0.0
Abdul Kadiri Mohammed,-0.028,0.001,-0.03,0.0,1996,21.0,UEL,Austria Wien,Ghana,CB,,9.1,8.3,19.1,-0.1,1.4,1.4,0.8,52.6,11.7,0.0
Abdullahi Ibrahim Alhassan,-0.031,-0.021,-0.01,0.0,1996,20.0,UEL,Austria Wien,Nigeria,AM,CM,9.2,9.2,23.9,0.4,1.2,1.1,0.9,44.5,13.3,0.0
Abzal Beisebekov,-0.035,-0.018,-0.018,0.0,1992,24.0,UEL,FC Astana,Kazakhstan,CM,,11.3,8.8,24.2,-0.1,1.2,1.1,0.8,40.2,12.5,0.0
Achraf Hakimi,0.036,0.035,0.001,1.25,1998,18.0,"La Liga, UCL",Real Madrid,Morocco,RB,WB,7.8,8.4,23.0,8.7,1.2,1.5,0.8,49.2,13.9,0.0
Achraf Lazaar,-0.021,-0.006,-0.015,0.58,1992,25.0,Serie A,Benevento,Morocco,LW,"LM, WB",8.8,8.1,27.4,3.8,1.2,1.3,0.8,49.0,14.2,0.0
Adalberto Peñaranda,-0.043,-0.037,-0.007,0.85,1997,20.0,La Liga,Málaga,Venezuela,ST,AM,15.5,9.4,27.6,-3.0,0.7,1.0,0.7,35.8,15.2,0.0
Adam Lallana,0.032,0.027,0.005,0.5,1988,29.0,"Premier League, UCL",Liverpool,England,LW,"AM, RW, LM, RM, CM",12.3,10.2,23.5,-7.0,1.0,1.0,0.9,47.0,14.5,0.0
Adam Marušić,0.065,0.041,0.024,4.73,1992,24.0,"Serie A, UEL",Lazio,Montenegro,WB,RB,10.6,8.8,24.7,-1.0,1.1,0.9,0.9,58.1,13.3,0.0
Adam Masina,0.007,-0.01,0.017,4.08,1994,23.0,Serie A,Bologna,Morocco,LB,WB,11.4,12.1,23.2,-8.3,1.7,1.8,0.5,66.6,14.4,0.0
Adam Ounas,-0.004,-0.003,-0.0,0.13,1996,20.0,"Serie A, UEL",Napoli,Algeria,RW,"LW, RM, CM",11.3,8.9,25.3,4.3,1.1,1.4,1.0,47.7,14.4,0.0
Adam Smith,-0.016,-0.0,-0.015,2.62,1991,26.0,Premier League,Bournemouth,England,RB,"LB, RM, WB",10.8,10.1,21.3,2.8,1.4,1.6,0.8,41.1,12.7,0.0
Adama Diakhaby,0.005,0.006,-0.001,1.2,1996,21.0,"UCL, Ligue 1",Monaco,France,ST,"RW, LW, LM, RM",9.0,7.5,29.0,-1.9,1.3,1.4,0.6,46.8,13.4,0.0
Adama Mbengue,-0.019,-0.03,0.011,1.98,1993,23.0,Ligue 1,Caen,Senegal,LB,,10.0,12.6,31.0,-1.6,1.4,2.1,1.4,51.4,16.9,0.0
Adama Niane,-0.021,-0.013,-0.008,2.64,1993,24.0,Ligue 1,Troyes,Mali,ST,AM,12.4,6.1,32.4,-12.5,0.7,0.8,0.6,31.0,14.8,0.0
Adama Soumaoro,0.012,-0.006,0.019,1.76,1992,25.0,Ligue 1,Lille,France,CB,,5.4,5.6,16.4,-0.1,1.2,0.8,0.8,57.5,8.8,0.0
Adama Traoré,0.011,0.012,-0.002,0.28,1995,22.0,Ligue 1,Monaco,Mali,AM,,11.4,8.6,23.5,10.4,1.3,1.3,1.0,51.2,13.6,0.0
Aday,-0.006,-0.007,0.001,2.47,1987,29.0,La Liga,Girona,Spain,WB,"LB, AM, RB",12.4,12.1,27.4,-1.0,1.3,1.0,2.1,61.4,16.6,0.0
Adel Taarabt,-0.009,-0.009,0.0,2.13,1989,28.0,Serie A,Genoa,Morocco,ST,"AM, DM, LW, WB",18.9,12.3,28.2,2.7,1.0,0.9,0.7,38.9,16.9,0.0
Adem Ljajić,0.037,0.03,0.007,3.62,1991,25.0,Serie A,Torino,Serbia,AM,"RW, LW, CM",19.3,14.4,24.7,7.7,0.7,0.7,6.1,45.6,16.5,0.0
Ademola Lookman,0.023,0.038,-0.014,1.15,1997,19.0,"Bundesliga, UEL","RB Leipzig, Everton",Nigeria,AM,"RW, LW, LM, RM",14.7,11.4,26.8,11.4,1.0,0.9,1.5,42.2,15.1,0.0
Adil Rami,0.031,0.015,0.016,4.79,1985,31.0,"UEL, Ligue 1",Marseille,France,CB,,3.9,5.6,15.4,-1.0,1.5,0.9,0.5,65.8,9.0,0.0
Admir Mehmedi,0.023,0.003,0.021,1.54,1991,26.0,Bundesliga,"Bayer Leverkusen, Wolfsburg",Switzerland,WB,"AM, RW, LW, RM",12.4,10.4,24.9,9.3,1.4,1.6,1.8,53.9,15.7,0.0
Adnan Januzaj,0.053,0.049,0.004,2.82,1995,22.0,"La Liga, UEL",Real Sociedad,Belgium,RW,"LW, ST",18.7,13.3,31.9,-16.4,0.9,0.9,2.4,43.0,19.8,0.0
Adrian Mariappa,0.013,-0.002,0.015,3.3,1986,30.0,Premier League,Watford,Jamaica,CB,RB,4.5,6.5,21.4,-3.0,1.7,1.2,0.4,53.6,10.7,0.0
Adrian Stoian,-0.04,-0.038,-0.001,2.3,1991,26.0,Serie A,Crotone,Romania,CM,"AM, LW, RM, LM",13.0,14.7,35.4,5.1,1.1,1.0,1.0,34.0,18.7,0.0
Adriano,-0.03,-0.011,-0.018,0.0,1984,32.0,UCL,Beşiktaş,Brazil,RB,LB,8.6,10.3,24.1,0.4,1.4,1.5,1.1,47.9,13.1,0.0
Adrien Hunou,-0.008,-0.013,0.006,1.93,1994,23.0,Ligue 1,Rennes,France,RW,"AM, LW, ST, LM, RM",10.7,7.2,25.0,4.9,0.9,1.1,0.7,37.6,12.8,0.0
Adrien Rabiot,0.08,0.059,0.021,4.69,1995,22.0,"UCL, Ligue 1",Paris Saint-Germain,France,CM,"DM, LM",9.4,12.0,13.3,1.3,1.5,1.5,0.4,59.7,11.4,0.0
Adrien Silva,0.011,0.019,-0.008,1.12,1989,28.0,Premier League,Leicester City,Portugal,CM,"DM, ST",10.3,11.3,23.5,-1.1,1.4,1.4,1.5,44.2,13.7,0.0
Adrien Tameze,-0.008,-0.0,-0.007,2.23,1994,23.0,"UEL, Ligue 1",Nice,Cameroon,CM,"CB, DM, RM",7.7,9.3,15.3,3.3,2.1,1.8,0.6,50.0,11.7,0.0
Adrien Thomasson,0.008,-0.003,0.011,3.72,1993,23.0,Ligue 1,Nantes,France,CM,"AM, LW, RM, LM",14.1,11.4,26.0,3.6,0.8,1.7,0.6,37.8,15.5,0.0
Adrien Trebel,-0.009,-0.001,-0.008,3.42,1991,26.0,"UCL, Belgian Pro League",Anderlecht,France,CM,"AM, DM, LM",11.8,13.5,23.2,0.3,1.6,1.9,2.7,55.6,16.6,0.0
Adrián,-0.014,0.01,-0.024,2.18,1987,30.0,Premier League,West Ham,Spain,GK,,4.6,4.3,34.8,0.4,0.5,0.5,0.7,51.2,13.1,0.4
Adrián Diéguez,-0.003,0.007,-0.011,0.59,1996,21.0,La Liga,Deportivo Alavés,Spain,LB,CB,8.0,9.4,22.6,-0.1,1.6,1.2,0.9,47.9,11.8,0.0
Adrián González,-0.044,-0.023,-0.021,2.47,1988,29.0,La Liga,Málaga,Spain,CM,"AM, DM, ST",10.9,10.1,22.9,-3.2,1.4,1.1,0.7,43.2,12.4,0.0
Adrián López,0.028,0.039,-0.011,3.76,1988,29.0,La Liga,Deportivo de La Coruña,Spain,LW,"AM, ST, LM, RM",14.6,11.5,31.6,5.0,0.7,0.8,0.5,49.7,16.3,0.0
Adrián Marín,0.014,0.011,0.003,0.35,1997,20.0,"La Liga, UEL",Villarreal,Spain,LB,,9.5,9.3,22.6,0.4,1.1,1.3,1.1,50.0,13.0,0.0
Adrián Sardinero,-0.028,-0.014,-0.014,0.0,1990,26.0,UEL,Apollon Limassol,Spain,RW,LW,9.4,7.9,25.2,7.7,1.7,1.2,0.9,45.7,12.6,0.0
Afonso Figueiredo,-0.02,-0.008,-0.012,0.28,1993,24.0,Ligue 1,Rennes,Portugal,LB,LW,9.0,9.5,24.9,0.4,1.0,1.2,1.0,50.0,13.7,0.0
Afrim Taku,-0.032,-0.023,-0.009,0.0,1989,27.0,UEL,Skënderbeu Korçë,Albania,RW,,9.1,9.0,25.1,0.4,1.0,1.1,1.2,48.9,12.7,0.0
Afriyie Acquah,-0.018,-0.01,-0.008,1.19,1992,25.0,Serie A,Torino,Ghana,CM,"DM, RM",9.2,11.2,21.7,3.3,1.4,0.9,0.6,46.3,12.0,0.0
Ahmad Benali,-0.009,0.003,-0.012,1.07,1992,25.0,Serie A,Crotone,Libya,CM,"DM, RM, LM",10.9,11.5,23.6,0.8,1.1,1.2,1.9,46.0,13.4,0.0
Ahmed El Messaoudi,-0.037,-0.023,-0.014,1.7,1995,21.0,Belgian Pro League,Mechelen,Morocco,DM,"CB, CM",8.3,10.3,19.6,-0.6,1.7,1.5,0.4,55.3,11.2,0.0
Ahmed Hegazi,0.0,0.014,-0.014,4.7,1991,26.0,Premier League,West Bromwich Albion,Egypt,CB,,5.1,6.1,22.0,1.7,1.6,1.1,0.4,54.1,10.2,0.0
Ahmed Musa,0.008,0.009,-0.001,0.0,1992,24.0,UEL,CSKA Moscow,Nigeria,ST,,9.9,7.5,27.7,-3.7,0.8,0.9,0.8,33.0,13.4,0.0
Ainsley Maitland-Niles,0.057,0.04,0.017,1.67,1997,19.0,"Premier League, UEL",Arsenal,England,WB,"LB, DM, RB, RM, CM",8.0,9.6,19.5,-2.5,1.4,1.6,0.5,46.1,13.1,0.0
Akram Afif,-0.029,-0.012,-0.016,1.35,1996,20.0,Belgian Pro League,Eupen,Qatar,CM,"AM, LW, LM",14.3,11.7,25.0,-2.9,1.2,1.1,0.5,41.8,13.1,0.0
Alaixys Romao,-0.047,-0.02,-0.027,0.0,1984,33.0,UCL,Olympiacos,Togo,CM,,9.0,8.9,21.0,0.4,1.2,1.5,0.8,45.3,11.6,0.0
Alan Dzagoev,0.002,0.009,-0.007,0.0,1990,27.0,UEL,CSKA Moscow,Russia,CM,"AM, RW, LW",14.6,10.8,26.2,-1.4,1.0,0.9,0.7,43.7,15.9,0.0
Alassane Pléa,0.033,0.039,-0.006,4.97,1993,24.0,"UEL, Ligue 1",Nice,France,ST,LW,16.5,9.6,26.1,14.2,0.5,0.5,0.3,35.3,15.2,0.0
Alban Lafont,-0.012,0.009,-0.021,4.45,1999,18.0,Ligue 1,Toulouse,France,GK,,2.7,2.5,30.0,-0.1,0.4,0.3,0.5,54.7,10.3,-0.1
Albano Bizzarri,0.07,0.011,0.059,5.54,1977,39.0,Serie A,Udinese,Argentina,GK,,3.3,2.9,29.3,0.4,0.4,0.4,0.5,57.6,10.8,3.7
Albert Sambi Lokonga,-0.018,-0.009,-0.009,0.44,1999,17.0,Belgian Pro League,Anderlecht,Belgium,CM,AM,9.1,10.1,21.5,-3.0,1.1,1.4,0.9,52.2,13.3,0.0
Alberto Aquilani,-0.022,0.002,-0.024,1.58,1984,33.0,La Liga,Las Palmas,Italy,DM,CM,10.3,10.1,19.6,-3.0,1.5,1.3,0.8,48.4,12.9,0.0
Alberto Botía,-0.021,-0.014,-0.007,0.0,1989,28.0,UCL,Olympiacos,Spain,CB,,8.4,8.1,21.4,0.4,1.3,1.1,1.0,44.3,11.3,0.0
Alberto Brignoli,0.004,0.014,-0.01,1.59,1991,25.0,Serie A,Benevento,Italy,GK,,4.8,4.9,28.8,4.8,0.6,0.6,0.6,58.2,13.0,6.7
Alberto Bueno,0.018,0.017,0.001,0.34,1988,29.0,La Liga,Málaga,Spain,CM,"AM, ST",11.1,8.8,24.7,-4.8,1.1,1.1,1.0,39.1,13.9,0.0
Alberto Grassi,-0.041,-0.015,-0.026,2.43,1995,22.0,Serie A,SPAL,Italy,CM,"DM, RM",10.7,8.9,21.3,0.8,1.8,1.4,0.4,53.2,12.3,0.0
Alberto Moreno,0.099,0.079,0.019,2.71,1992,25.0,"Premier League, UCL",Liverpool,Spain,LB,LW,9.6,9.2,18.8,-3.5,1.2,1.7,1.1,46.7,13.8,0.0
Alberto Paloschi,0.009,0.017,-0.008,3.18,1990,27.0,Serie A,SPAL,Italy,ST,,10.4,5.5,29.8,-0.5,0.6,0.6,0.4,36.3,11.2,0.0
Alberto de la Bella,0.067,0.047,0.02,2.91,1985,31.0,"La Liga, UEL",Real Sociedad,Spain,LB,,8.3,8.9,20.3,6.6,1.4,1.5,0.9,54.4,13.3,0.0
Albin Ekdal,0.0,-0.01,0.01,1.54,1989,28.0,Bundesliga,Hamburger SV,Sweden,DM,CM,10.2,10.4,24.1,-2.1,1.5,1.8,0.6,49.0,14.0,0.0
Aleandro Rosi,-0.027,-0.024,-0.003,2.0,1987,30.0,Serie A,Genoa,Italy,WB,,6.9,8.5,27.2,-4.8,1.2,1.1,0.7,49.6,14.2,0.0
Alef,-0.04,-0.009,-0.032,0.0,1995,22.0,UEL,Apollon Limassol,Brazil,DM,,9.1,8.9,22.8,-0.1,1.3,1.2,0.8,50.0,12.7,0.0
Aleix García,0.001,0.015,-0.014,1.19,1997,20.0,La Liga,Girona,Spain,CM,AM,9.3,9.5,22.0,3.8,1.5,1.4,3.8,57.9,14.0,0.0
Aleix Vidal,0.043,0.042,0.001,0.79,1989,27.0,"La Liga, UCL",Barcelona,Spain,RW,"RM, RB",8.7,9.2,25.3,-1.5,1.6,1.3,1.0,45.9,14.7,0.0
Alejandro Arribas,-0.01,0.009,-0.019,0.35,1989,28.0,La Liga,Deportivo de La Coruña,Spain,CB,,7.8,8.5,22.4,-0.6,1.4,1.1,1.0,47.8,12.0,0.0
Alejandro Pozuelo,-0.001,-0.009,0.007,4.27,1991,25.0,Belgian Pro League,Genk,Spain,AM,"DM, ST",20.9,16.6,27.1,6.2,0.7,1.1,3.4,43.4,19.8,0.0
Aleks Pihler,-0.024,-0.013,-0.011,0.0,1994,23.0,UCL,NK Maribor,Slovenia,CM,,10.7,9.9,22.5,-1.1,1.1,1.2,0.9,50.0,12.4,0.0
Aleksandar Bjelica,-0.058,-0.047,-0.011,2.31,1994,23.0,Belgian Pro League,Oostende,Serbia,WB,LB,3.2,3.3,23.7,15.3,0.4,0.4,0.4,50.0,4.4,0.0
Aleksandar Boljević,-0.026,-0.014,-0.012,2.6,1995,21.0,Belgian Pro League,Waasland-Beveren,Montenegro,RW,LW,11.5,8.8,32.3,-5.6,0.8,0.9,0.5,37.3,13.7,0.0
Aleksandar Dragović,0.009,0.012,-0.003,1.18,1991,26.0,Premier League,"Leicester City, Bayer Leverkusen",Austria,CB,RB,6.0,7.8,19.8,-0.1,1.5,1.2,0.9,52.4,10.6,0.0
Aleksandar Kolarov,0.013,0.014,-0.001,4.56,1985,31.0,"UCL, Serie A",Roma,Serbia,LB,"CB, WB",12.6,12.2,24.9,-1.0,1.6,1.4,7.0,61.6,20.1,0.0
Aleksandar Pešić,-0.016,-0.01,-0.006,0.0,1992,25.0,UEL,Red Star,Serbia,ST,LW,9.1,8.7,28.6,-4.4,1.1,1.0,1.0,48.7,14.8,0.0
Aleksandar Tonev,-0.03,-0.009,-0.021,0.47,1990,27.0,Serie A,Crotone,Bulgaria,ST,"RW, RM",9.9,9.0,26.6,-2.5,1.0,1.1,1.2,41.5,13.5,0.0
Aleksander Rajčević,-0.062,-0.011,-0.051,0.0,1986,30.0,UCL,NK Maribor,Slovenia,CB,,7.6,7.6,21.5,-0.1,1.4,0.9,1.0,51.2,11.0,0.0
Aleksandr Erokhin,-0.037,-0.011,-0.026,0.0,1989,27.0,UEL,Zenit,Russia,CM,RM,8.2,8.8,22.6,2.3,1.5,1.2,0.9,53.4,12.3,0.0
Aleksandr Golovin,-0.035,-0.02,-0.016,0.0,1996,21.0,UCL,CSKA Moscow,Russia,CM,"RW, LM, RM, WB",13.7,13.8,23.8,6.1,1.4,1.3,1.1,49.0,15.1,0.0
Aleksandr Kokorin,0.038,0.038,0.0,0.0,1991,26.0,UEL,Zenit,Russia,ST,"RW, LW",12.4,8.4,27.6,10.9,0.9,0.8,1.0,48.7,14.2,0.0
Aleksandr Kolomeytsev,-0.011,-0.012,0.001,0.0,1989,28.0,UEL,Lokomotiv Moscow,Russia,CM,"DM, ST",10.5,9.6,21.9,-0.1,1.5,1.5,0.9,50.0,12.4,0.0
Aleksandr Samedov,-0.009,-0.005,-0.005,0.0,1984,33.0,UCL,Spartak Moscow,Russia,RW,,10.5,8.7,23.7,2.3,1.2,1.0,1.0,47.6,13.2,0.0
Aleksandr Selikhov,-0.007,0.004,-0.011,0.0,1994,23.0,UCL,Spartak Moscow,Russia,GK,,6.8,6.4,25.0,0.4,0.9,0.9,0.9,50.0,11.8,1.8
Aleksei Berezutski,-0.032,-0.009,-0.023,0.0,1982,35.0,UEL,CSKA Moscow,Russia,CB,,7.9,8.6,21.5,-0.1,2.0,1.2,0.8,58.5,12.4,0.0
Aleksei Miranchuk,-0.006,-0.005,-0.0,0.0,1995,21.0,UEL,Lokomotiv Moscow,Russia,ST,"RM, CM",14.2,10.1,24.2,-1.0,0.9,1.3,0.9,41.2,15.1,0.0
Alen Halilović,-0.03,-0.027,-0.003,1.51,1996,21.0,La Liga,Las Palmas,Croatia,RW,"AM, LW, RM",13.8,12.1,27.3,2.2,0.8,0.8,2.7,40.2,14.7,0.0
Alessandro Cordaro,-0.021,-0.02,-0.001,0.37,1986,31.0,"Belgian Pro League, UEL",Zulte Waregem,Belgium,RW,"ST, RM",12.1,8.7,23.2,-1.6,1.1,1.2,0.9,50.0,14.2,0.0
Alessandro Deiola,0.01,0.004,0.006,0.66,1995,21.0,Serie A,Cagliari,Italy,CM,"DM, RM",9.7,8.3,25.8,-3.9,1.1,1.3,0.8,43.9,13.6,0.0
Alessandro Florenzi,0.04,0.023,0.016,4.03,1991,26.0,"UCL, Serie A",Roma,Italy,RB,"RW, WB",10.2,12.2,24.1,-9.5,1.7,1.2,1.2,43.8,16.0,0.0
Alessandro Gamberini,-0.027,0.003,-0.03,2.14,1981,35.0,Serie A,Chievo Verona,Italy,CB,,5.3,5.2,16.8,-4.4,1.0,0.8,0.5,56.7,8.3,0.0
Alessandro Matri,-0.005,0.005,-0.01,1.23,1984,32.0,Serie A,Sassuolo,Italy,ST,"RW, DM, LW",11.0,7.2,28.1,-10.2,0.7,0.7,0.6,42.6,13.6,0.0
Alessandro Murgia,-0.018,-0.013,-0.005,0.96,1996,20.0,"Serie A, UEL",Lazio,Italy,DM,"CM, WB",9.7,8.5,22.1,-2.0,1.7,1.2,2.0,41.9,13.8,0.0
Alessandro Schöpf,-0.015,-0.023,0.008,1.04,1994,23.0,Bundesliga,Schalke 04,Austria,WB,"AM, LW, CM",9.4,10.9,25.1,-1.6,1.4,1.5,0.7,45.8,14.3,0.0
Alessio Castro-Montes,-0.04,-0.03,-0.009,0.41,1997,20.0,Belgian Pro League,Eupen,Belgium,AM,RM,7.8,7.4,25.7,-1.1,0.9,1.0,0.8,46.4,11.5,0.0
Alessio Cerci,-0.025,-0.035,0.01,1.97,1987,30.0,Serie A,Hellas Verona,Italy,ST,"RW, RM",15.3,11.7,32.5,-1.9,0.6,0.8,2.4,36.4,15.7,0.0
Alessio Cragno,0.043,0.011,0.033,4.34,1994,23.0,Serie A,Cagliari,Italy,GK,,3.8,3.3,28.9,0.4,0.4,0.4,0.6,53.4,10.2,2.6
Alessio Romagnoli,0.111,0.029,0.082,5.25,1995,22.0,"Serie A, UEL",AC Milan,Italy,CB,,5.0,6.4,12.1,3.6,1.1,0.9,0.3,62.2,8.4,0.0
Alex Cordaz,-0.023,-0.007,-0.016,4.14,1983,34.0,Serie A,Crotone,Italy,GK,,3.5,3.0,39.9,0.4,0.3,0.3,0.9,55.5,13.2,2.1
Alex Ferrari,-0.035,-0.015,-0.02,2.39,1994,23.0,Serie A,Hellas Verona,Italy,RB,CB,7.3,9.2,23.8,1.3,1.8,2.0,1.1,54.2,13.0,0.0
Alex Iwobi,0.105,0.085,0.019,4.0,1996,21.0,"Premier League, UEL",Arsenal,Nigeria,AM,"RW, LW, LM, RM",15.1,12.9,20.7,-6.9,0.7,0.9,0.6,39.8,15.0,0.0
Alex McCarthy,0.028,0.004,0.024,2.59,1989,27.0,Premier League,Southampton,England,GK,,4.2,3.8,34.5,0.4,0.5,0.5,0.7,60.2,12.2,8.0
Alex Meret,-0.036,0.005,-0.041,1.29,1997,20.0,Serie A,SPAL,Italy,GK,,5.6,4.9,28.6,0.4,0.6,0.6,0.5,52.3,11.9,-7.8
Alex Oxlade-Chamberlain,0.089,0.062,0.027,3.59,1993,23.0,"Premier League, UCL","Arsenal, Liverpool",England,RW,"AM, LW, LM, RM",14.0,12.3,25.3,5.8,1.3,1.3,1.5,39.2,16.0,0.0
Alex Pritchard,-0.025,-0.022,-0.003,1.2,1993,24.0,Premier League,Huddersfield Town,England,AM,ST,14.0,10.4,29.2,-0.6,0.9,1.0,2.6,35.8,16.0,0.0
Alex Sandro,0.102,0.076,0.026,4.56,1991,26.0,"UCL, Serie A",Juventus,Brazil,LB,"LW, LM",10.8,12.5,19.9,10.4,1.3,1.6,0.6,58.1,15.3,0.0
Alex Telles,-0.038,-0.01,-0.029,0.0,1992,24.0,UCL,Porto,Brazil,LB,,8.4,9.4,25.5,5.4,1.8,1.3,3.8,50.0,13.9,0.0
Alex da Silva,-0.033,-0.018,-0.015,0.0,1983,33.0,UEL,Apollon Limassol,Brazil,AM,RM,10.2,10.0,23.2,-0.6,1.1,1.1,2.2,48.8,13.6,0.0
Alexander,0.006,0.009,-0.003,1.52,1988,28.0,La Liga,Leganés,Argentina,LW,LM,13.1,8.7,28.5,-1.5,1.6,1.1,1.6,47.8,14.1,0.0
Alexander Büttner,-0.012,-0.009,-0.003,0.0,1989,28.0,UEL,Vitesse,Netherlands,LB,,8.9,8.6,24.5,-0.1,1.3,1.4,2.5,54.7,14.7,0.0
Alexander Corryn,-0.02,-0.024,0.004,2.72,1994,23.0,Belgian Pro League,Antwerp,Belgium,DM,"LB, LW, CM, WB",6.1,7.2,25.8,-2.1,1.2,1.4,0.7,41.7,10.8,0.0
Alexander Djiku,-0.008,-0.019,0.011,3.33,1994,22.0,Ligue 1,Caen,Ghana,CB,,5.3,9.1,18.8,-7.0,1.8,1.4,0.7,59.8,10.4,0.0
Alexander Esswein,0.019,0.007,0.012,0.95,1990,27.0,"Bundesliga, UEL",Hertha Berlin,Germany,ST,"RW, LW, RM",12.5,9.0,25.2,0.3,1.4,1.7,1.1,52.2,14.5,0.0
Alexander Gerndt,-0.019,-0.01,-0.009,0.0,1986,31.0,UEL,Lugano,Sweden,ST,,8.6,9.3,25.7,0.8,1.0,1.0,1.0,53.0,13.8,0.0
Alexander Gorgon,-0.004,-0.001,-0.003,0.0,1988,28.0,UEL,Rijeka,Austria,LW,ST,10.7,9.0,26.1,5.6,1.1,1.0,0.9,40.8,14.0,0.0
Alexander Hack,0.006,0.013,-0.006,1.84,1993,23.0,Bundesliga,Mainz 05,Germany,CB,,6.4,9.5,21.2,1.8,1.7,2.0,0.6,64.0,12.3,0.0
Alexander Kačaniklić,-0.006,-0.005,-0.001,0.42,1991,25.0,Ligue 1,Nantes,Sweden,RW,"AM, RM",9.9,9.6,25.4,-0.6,1.3,1.2,1.3,51.1,13.3,0.0
Alexander Scholz,-0.009,-0.009,-0.0,1.17,1992,24.0,Belgian Pro League,"Standard Liège, Club Brugge",Denmark,CB,"AM, DM, CM",7.4,8.3,21.5,-1.6,1.7,1.6,0.6,59.6,11.8,0.0
