,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,217.0,Claudio Pizarro,Werder Bremen,-0.9413128960877657,-0.8428814841900021,-0.09843141189776361,147,306,-0.2768567341434605,-0.2479063188794124,-0.02895041526404812
1,2794.0,Souleymane Camara,Montpellier,-0.4623635585885495,-0.4183794632554054,-0.04398409533314407,77,214,-0.19445196389238062,-0.17595397987376862,-0.018497984018611992
2,2987.0,Pepe Reina,AC Milan,-0.059717507218010724,0.165324364323169,-0.22504187154117972,63,1282,-0.00419233670017236,0.011606234624871458,-0.01579857132504382
3,2987.0,Pepe Reina,Aston Villa,1.7315939429681748,1.1887779958778992,0.5428159470902756,636,1282,0.12156275730665814,0.08345555353276983,0.0381072037738883
4,3281.0,Zlatan Ibrahimovic,AC Milan,1.3227930368743428,1.8383902873033249,-0.5155972504289821,879,1368,0.0870258576891015,0.12094672942785031,-0.033920871738748824
5,3283.0,Joaquín,Real Betis,8.158816047171769,8.678857882084031,-0.5200418349122629,1886,2197,0.33422550944263046,0.3555289983557409,-0.02130348891311045
6,3328.0,Gianluigi Buffon,Juventus,0.7557845961418934,0.5336674108402804,0.22211718530161306,333,874,0.07782678907639634,0.05495431004076114,0.02287247903563521
7,4092.0,Rafael,Lyon,0.6464738188078627,0.7004353037918918,-0.053961484984029084,661,765,0.07605574338916032,0.08240415338728138,-0.006348409998121069
8,4511.0,James Milner,Liverpool,0.6327741016610117,0.9884038396155984,-0.35562973795458674,1160,1040,0.05475929725912601,0.08553494765904217,-0.03077565039991616
9,4522.0,Santi Cazorla,Villarreal,7.974553615025547,8.789455284593464,-0.8149016695679165,2689,2623,0.2736217405079296,0.30158252978017985,-0.02796078927225028
10,5423.0,Rune Jarstein,Hertha Berlin,6.581266521185171,3.3601981529500335,3.2210683682351373,1691,2704,0.21905103066074902,0.11184091485410615,0.10721011580664289
11,5583.0,Cristiano Ronaldo,Juventus,9.70916212465052,10.486530944864699,-0.7773688202141784,2283,3151,0.27731659511854867,0.2995200841122891,-0.022203488993740417
12,5625.0,Aaron Lennon,Burnley,0.065599623369053,-0.032801699242554605,0.09840132261160761,235,568,0.010394306519744314,-0.0051974523447709765,0.01559175886451529
13,5763.0,Daniel Baier,Augsburg,1.6677143122069538,2.1473414839128964,-0.4796271717059426,1407,2045,0.07339573990152853,0.09450402618687563,-0.021108286285347107
14,6093.0,Goran Pandev,Genoa,3.967072438215837,4.447177371941507,-0.48010493372567,1057,1742,0.20495781827751167,0.2297623211680457,-0.02480450289053404
15,6105.0,Phil Jagielka,Sheff Utd,0.08640728198224679,0.1320568259106949,-0.04564954392844811,128,275,0.028278746830553494,0.04321859757077288,-0.014939850740219382
16,6227.0,Dani Rodríguez,Mallorca,4.016120661675677,4.476024271148935,-0.45990360947325826,2174,3271,0.11050163850529224,0.12315566628046595,-0.012654027775173722
18,6683.0,Dante,Nice,4.546830914216116,5.180905688146595,-0.6340747739304788,2443,2050,0.1996169669655856,0.22745439606497245,-0.027837429099386878
19,6740.0,Ludovic Butelle,Angers,3.898867118987255,2.1760444197570905,1.7228226992301643,1151,2509,0.13985573563525425,0.0780565953679307,0.06179914026732355
20,6743.0,Hilton,Montpellier,3.922183581860736,3.788413677364588,0.13376990449614823,2218,2689,0.1312742738443534,0.12679703643094567,0.004477237413407713
21,6890.0,Jimmy Briand,Bordeaux,0.6701756489074119,0.9264074028197006,-0.2562317539122887,555,1632,0.03695821593239404,0.051088643537851135,-0.014130427605457097
24,8040.0,Cesc Fàbregas,Monaco,2.161382512816228,2.3593925310280173,-0.19801001821178943,1018,984,0.19768742495270375,0.2157980973501235,-0.018110672397419765
25,8157.0,Wes Morgan,Leicester,0.15740302921039984,0.17072571720927954,-0.013322687998879701,377,495,0.02861873258370906,0.03104103949259628,-0.0024223069088872185
26,8166.0,Ashley Young,Inter,4.972004909763578,5.7143882517088205,-0.7423833419452421,873,2216,0.2019316073459937,0.23208255534918498,-0.030150948003191243
27,8166.0,Ashley Young,Man Utd,1.9572937652110123,2.6447640313990415,-0.6874702661880292,1017,2216,0.07949297782896711,0.10741370163624266,-0.027920723807275553
28,8222.0,Leighton Baines,Everton,0.8120813479404896,0.8886206957036629,-0.07653934776317328,305,452,0.16169761352797357,0.17693774914453464,-0.015240135616561052
29,8247.0,Mark Noble,West Ham,6.698349345700521,6.687642439493615,0.010706906206905842,2364,2868,0.21019924725001635,0.2098632564694649,0.0003359907805514386
30,8946.0,Per Skjelbred,Hertha Berlin,0.996762515977025,1.3404575583408587,-0.34369504236383364,1190,1706,0.05258418900230496,0.07071581491833369,-0.018131625916028737
31,9016.0,Franck Ribéry,Fiorentina,4.600937665265519,4.744469682103954,-0.14353201683843508,1394,1515,0.2733230296197338,0.2818496840853834,-0.008526654465649609
32,9017.0,Florent Balmont,Dijon,0.3287910528499633,0.3075187568804249,0.02127229596953839,375,447,0.06619954084227449,0.061916528230958036,0.004283012611316454
33,9270.0,Abdón Prats,Mallorca,-1.9985031753585414,-1.7716891868312583,-0.22681398852728307,131,377,-0.4770962487593335,-0.42294967324884153,-0.05414657551049198
34,9294.0,Aritz Aduriz,Athletic Club,-0.8216420580556355,-0.7895117062416598,-0.03213035181397572,100,260,-0.28441455855771997,-0.27329251369903607,-0.011122044858683903
35,9298.0,Simon Francis,Bournemouth,0.0484263472026214,0.9076980571262538,-0.8592717099236324,912,1062,0.004103927729035712,0.07692356416324185,-0.07281963643420614
36,9342.0,Alexander Tettey,Norwich,2.186754905906506,2.137394866204355,0.04936003970215097,2020,2494,0.07891256677288915,0.0771313303762598,0.0017812363966293453
37,9418.0,Miguel Ángel Moyá,Real Sociedad,2.2277853855630383,1.139292845793534,1.0884925397695042,701,1287,0.15578918780161108,0.07967082837717021,0.07611835942444085
38,9446.0,Jesús Navas,Sevilla,7.702642272831174,9.025852899875492,-1.3232106270443182,3867,3668,0.18899612992224799,0.2214631300405655,-0.03246700011831751
39,9730.0,Fabio Quagliarella,Sampdoria,-1.096915684862185,-0.43800742055813946,-0.6589082643040456,920,2330,-0.04237013375004148,-0.016918741566623412,-0.02545139218341807
40,9767.0,Robert Snodgrass,West Ham,5.337763931131456,5.839187889412977,-0.5014239582815208,1045,1625,0.29563000233958836,0.3234011754136418,-0.027771173074053458
41,9907.0,Rubén Martínez,Osasuna,2.5829745175433345,1.8356825162190944,0.7472920013242401,830,1715,0.1355496831363849,0.09633319327097288,0.03921648986541202
42,9909.0,Sergio Ramos,Real Madrid,8.646455794001806,9.408072162255987,-0.761616368254181,3270,3229,0.24099752909884253,0.2622256099730687,-0.021228080874226167
43,9972.0,Samir Handanovic,Inter,4.9695670183282346,3.2074443050660193,1.7621227132622153,1661,3278,0.1364432677393353,0.08806283937032999,0.0483804283690053
44,9973.0,Felipe,SPAL 2013,0.6818018007907085,1.319102838577237,-0.6373010377865285,701,1080,0.05681681673255904,0.10992523654810309,-0.05310841981554404
