,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2987.0,Pepe Reina,Lazio,4.9156175,0.36431292,4.5513043,1082,1350,0.32770783600983794,0.02428752757884838,0.30342029712818286
1,3281.0,Zlatan Ibrahimovic,AC Milan,11.20837,11.999095,-0.79072434,1181,1119,0.9014774762273794,0.9650746908861149,-0.06359713284217214
2,3283.0,Joaquín,Real Betis,1.2213197,0.7894733,0.43184644,765,572,0.19216568153221292,0.12421782700331895,0.06794786786699629
3,4511.0,James Milner,Liverpool,3.2778692,2.1440358,1.1338334,1889,940,0.31383855292137636,0.20528002799825465,0.10855851680674451
4,5583.0,Cristiano Ronaldo,Juventus,0.05149766,0.04268085,0.008816813,34,2689,0.0017236108095418038,0.0014285148409229533,0.00029509601295105186
5,5583.0,Cristiano Ronaldo,Man Utd,22.562014,21.903637,0.65837634,2525,2689,0.7551436135209418,0.7331079473811128,0.02203565337215493
6,5625.0,Aaron Lennon,Burnley,4.4559584,4.057683,0.39827526,1166,1666,0.2407180401457458,0.219202561395652,0.021515469591156775
7,5780.0,Dani Alves,Barcelona,3.7635455,3.2434645,0.52008116,2537,1153,0.2937719737149691,0.25317589262724954,0.0405961009387027
8,6093.0,Goran Pandev,Genoa,2.195548,1.964953,0.23059517,674,926,0.2133901937991445,0.19097814704120544,0.02241205705679776
9,6227.0,Dani Rodríguez,Mallorca,8.7682295,7.442612,1.325617,2984,3072,0.2568817138671875,0.21804527441660562,0.03883643448352814
10,6683.0,Dante,Nice,8.634544,3.7523851,4.8821588,6073,2970,0.26165286491214224,0.11370863994765362,0.14794420441393097
11,6890.0,Jimmy Briand,Bordeaux,2.0553665,1.9114285,0.14393817,228,295,0.6270609710176113,0.5831476761122881,0.0439133401644432
13,8166.0,Ashley Young,Aston Villa,2.114597,1.2237538,0.8908433,1608,1401,0.135841353291873,0.07861373324125345,0.057227620050619536
14,8247.0,Mark Noble,West Ham,1.1212357,0.7950898,0.32614586,725,371,0.27199788877584863,0.1928789287885887,0.0791189394228542
16,9016.0,Franck Ribéry,Salernitana,3.0701811,2.7949247,0.27525643,1828,1471,0.18784249809467413,0.17100151471748068,0.016840978190657396
17,9270.0,Abdón Prats,Mallorca,4.07314,3.8913882,0.18175192,472,751,0.4881259801384612,0.46634480035733605,0.0217811899401059
18,9446.0,Jesús Navas,Sevilla,2.6989293,0.9016645,1.7972649,3235,1957,0.12412040917070533,0.04146642982198318,0.08265398324723748
19,9730.0,Fabio Quagliarella,Sampdoria,7.3537893,7.163759,0.19003023,1379,1790,0.36974361142632683,0.36018901803640013,0.00955459232436878
20,9909.0,Sergio Ramos,PSG,4.838918,4.072946,0.7659721,2177,854,0.5099562347912397,0.42923320261041786,0.08072305004825636
21,9972.0,Samir Handanovic,Inter,13.34148,0.90651166,12.434969,2973,3547,0.33852079965243514,0.02300142428557033,0.3155193732159219
22,9991.0,Giorgio Chiellini,Juventus,5.824817,2.3319545,3.4928625,2392,1461,0.35881828919083675,0.1436522246875802,0.21516607494732845
23,10194.0,Hatem Ben Arfa,Lille,0.76300615,0.7254367,0.037569467,437,340,0.2019722209257238,0.19202735003303079,0.009944858971764059
24,10372.0,Daniele Padelli,Udinese,1.9987444,0.0793282,1.9194162,249,292,0.6160513472883669,0.024450473589439914,0.5916008622678992
25,10445.0,Diego López,Espanyol,18.999132,0.6860487,18.313084,2468,3458,0.4944829019664546,0.017855517915248042,0.47662738294805523
26,10454.0,Djibril Sidibé,Monaco,1.0280501,0.86006165,0.16798845,1733,1004,0.09215588208688683,0.07709715945787164,0.01505872547863964
27,11119.0,Lionel Messi,PSG,16.522696,16.317812,0.20488249,4558,2304,0.6454177962409126,0.6374145083957248,0.008003222445646921
28,11386.0,Raúl García,Athletic Club,10.215271,9.181576,1.0336956,1707,1911,0.4810959652791405,0.43241328983516486,0.048682679436332824
29,11530.0,Ben Foster,Watford,12.665339,0.7171089,11.948231,1836,2518,0.45269280904053316,0.02563137511964636,0.4270614854299047
