,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2987.0,Pepe Reina,Lazio,2.0306517466087826,1.4193065877771005,0.6113451588316821,769,1350,0.13537678310725218,0.09462043918514003,0.04075634392211214
1,3281.0,Zlatan Ibrahimovic,AC Milan,0.9221243436641321,1.3254746681505143,-0.4033503244863823,645,1119,0.07416549680944762,0.1066065416743041,-0.03244104486485649
2,3283.0,Joaquín,Real Betis,0.15858776701753963,0.29677701570000503,-0.1381892486824654,472,572,0.024952620684577913,0.04669568428846233,-0.021743063603884418
3,4511.0,James Milner,Liverpool,2.495584558708128,2.291578433605377,0.20400612510275096,1100,940,0.23893894711035266,0.21940644577072757,0.019532501339625093
4,5583.0,Cristiano Ronaldo,Juventus,-0.17972114693839103,-0.16953362175263464,-0.010187525185756385,21,2689,-0.006015211314412493,-0.005674237990976987,-0.00034097332343550565
5,5583.0,Cristiano Ronaldo,Man Utd,6.245662446808707,6.971978754072621,-0.7263163072639145,1438,2689,0.20904039427771798,0.23334997689346818,-0.024309582615750207
6,5625.0,Aaron Lennon,Burnley,0.24541063361614943,0.8716712869871408,-0.6262606533709913,726,1666,0.01325747720615453,0.04708908513135814,-0.033831607925203615
7,5780.0,Dani Alves,Barcelona,3.5651980355961714,4.503709117829334,-0.9385110822331626,1515,1153,0.2782895257620602,0.35154711240645276,-0.07325758664439257
8,6093.0,Goran Pandev,Genoa,-0.9416552208131179,-0.7648498667404056,-0.17680535407271236,405,926,-0.09152156573777603,-0.07433746005036339,-0.01718410568741265
9,6227.0,Dani Rodríguez,Mallorca,1.4958136732482818,1.9301080315224828,-0.43429435827420093,1851,3072,0.043822666208445764,0.056546133736010244,-0.01272346752756448
10,6683.0,Dante,Nice,6.305928609508555,6.794577046879567,-0.4886484373710118,3607,2970,0.1910887457426835,0.20589627414786568,-0.014807528405182176
11,6890.0,Jimmy Briand,Bordeaux,0.08145985769848907,0.2609218656438925,-0.17946200794540346,133,295,0.024852159975810223,0.07960328104389942,-0.05475112106808919
13,8166.0,Ashley Young,Aston Villa,0.42402513029635885,0.7653941435692831,-0.34136901327292435,971,1401,0.02723930173210014,0.049168788666120976,-0.021929486934020834
14,8247.0,Mark Noble,West Ham,0.08363471084200412,0.09928202949273966,-0.015647318650735542,427,371,0.020288743870027954,0.024084589364815553,-0.003795845494787598
16,9016.0,Franck Ribéry,Salernitana,1.0448027378227562,1.864412867864594,-0.8196101300418377,1139,1471,0.06392402882668122,0.11407012787750745,-0.05014609905082624
17,9270.0,Abdón Prats,Mallorca,0.036476245906669647,0.2898851903155446,-0.25340894440887496,274,751,0.004371321080692768,0.034739902967242366,-0.030368581886549596
18,9446.0,Jesús Navas,Sevilla,4.184425527375424,4.703330390912015,-0.5189048635365907,1944,1957,0.1924365342175719,0.2163003245692802,-0.02386379035170831
19,9730.0,Fabio Quagliarella,Sampdoria,-0.21361804471050572,0.6069557386527099,-0.8205737833632156,813,1790,-0.010740572080416488,0.030517327641756364,-0.04125789972217285
20,9909.0,Sergio Ramos,PSG,3.513563698012149,3.7136178890941665,-0.2000541910820175,1313,854,0.37028188854928973,0.3913648829256147,-0.021082994376325027
21,9972.0,Samir Handanovic,Inter,5.334498087293468,3.6570129559841007,1.6774851313093677,1975,3547,0.1353551812394734,0.0927914198022467,0.0425637614372267
22,9991.0,Giorgio Chiellini,Juventus,2.34020194094046,2.3634016374126077,-0.02319969647214748,1346,1461,0.14416028383616797,0.1455894232492366,-0.0014291394130686332
23,10194.0,Hatem Ben Arfa,Lille,0.31473308107024056,0.36403487638244403,-0.04930179531220347,281,340,0.0833116979303578,0.09636217316005873,-0.013050475229700917
24,10372.0,Daniele Padelli,Udinese,0.652663458022289,0.32321836764458567,0.3294450903777033,178,292,0.20116339459591098,0.09962209961648189,0.1015412949794291
25,10445.0,Diego López,Espanyol,6.6983030081610195,3.235170704254415,3.4631323039066046,1924,3458,0.17433408638938455,0.08420050994300096,0.09013357644638358
26,10454.0,Djibril Sidibé,Monaco,1.3612560390254949,2.136813766607549,-0.7755577275820542,1049,1004,0.12202494373734515,0.19154705079151335,-0.06952210705416821
27,11119.0,Lionel Messi,PSG,8.631842803171953,9.222142112563365,-0.590299309391412,2780,2304,0.3371813594989044,0.3602399262720064,-0.02305856677310203
28,11386.0,Raúl García,Athletic Club,1.1528953918332494,1.2736489456456415,-0.12075355381239206,956,1911,0.0542964862715816,0.0599834668278952,-0.005686980556313598
29,11530.0,Ben Foster,Watford,4.09661436220631,3.028204385191202,1.0684099770151079,1372,2518,0.14642386520991577,0.10823605824750127,0.0381878069624145
30,11867.0,Kevin-Prince Boateng,Hertha Berlin,-0.05405946122482419,0.02069298771675676,-0.07475244894158095,497,751,-0.006478497350511554,0.0024798520566020085,-0.008958349407113562
31,11895.0,Adama Soumaoro,Bologna,0.034318666032049805,0.9908472835086286,-0.9565286174765788,1587,2432,0.001270016423883422,0.036667868221947605,-0.035397851798064185
33,12462.0,Valon Behrami,Genoa,-0.003696423606015742,0.027588050754275173,-0.031284474360290915,107,354,-0.0009397687133938326,0.007013911208714027,-0.00795367992210786
34,12575.0,Raúl Albiol,Villarreal,2.566990741644986,3.018422281718813,-0.4514315400738269,2371,2667,0.0866251093918443,0.10185901963055612,-0.01523391023871182
35,12712.0,Gerard Piqué,Barcelona,4.100459405541187,4.000527164840605,0.09993224070058204,2523,2219,0.1663097550692685,0.1622566222783481,0.004053132790920407
36,13423.0,Gonzalo Castro,Arminia Bielefeld,0.7303023674399592,0.651756417377852,0.0785459500621073,268,472,0.13925257006270408,0.12427558805933618,0.014976982003367917
37,13754.0,Manuel Neuer,Bayern,5.981982326484285,3.437890746863559,2.5440915796207264,1890,2652,0.2030084499938106,0.11667050045917055,0.08633794953464004
38,13796.0,Theo Walcott,Southampton,-0.7434304661583155,-0.7697181033436209,0.026287637185305357,127,339,-0.19737092021902183,-0.20434993894078432,0.006979018721762484
39,13798.0,Shane Long,Southampton,-0.4246747412835248,-0.34448661690112203,-0.08018812438240275,141,377,-0.10138123797219424,-0.0822381844061034,-0.01914305356609084
40,13812.0,Gareth Bale,Real Madrid,0.3151002643862739,0.32938500167801976,-0.014284737291745842,127,298,0.09516450937840487,0.09947869178195227,-0.004314182403547402
41,13846.0,Dan Gosling,Watford,0.9031913705402985,0.7702875634422526,0.13290380709804595,106,185,0.43939039647906414,0.374734490323258,0.06465590615580613
42,13895.0,Domenico Criscito,Genoa,3.0674420937621933,3.5629191337112305,-0.49547703994903713,1543,1744,0.15829689704048017,0.18386623969840066,-0.025569342657920494
43,14058.0,Dimitri Payet,Marseille,9.104158751488287,10.145133006266407,-1.0409742547781207,2543,2763,0.2965524023286087,0.3304603585103064,-0.03390795618169774
44,14085.0,Antonio Barragán,Elche,-0.3735212138402275,1.2983829088495114,-1.6719041226897389,744,1114,-0.030176758748312816,0.10489628527509517,-0.135073044023408
45,14102.0,David Silva,Real Sociedad,4.517415930991993,4.615025213987101,-0.09760928299510852,1658,1827,0.22253280448236418,0.2273411435461626,-0.004808339063798449
46,14157.0,Andrea Masiello,Genoa,0.47820749116363004,0.4456915932241827,0.032515897939447314,461,553,0.07782762062337559,0.07253570233304962,0.005291918290325964
47,14199.0,Claudio Bravo,Real Betis,1.81384970335057,1.8038001005770639,0.010049602773506194,791,1578,0.10345150399337852,0.10287833273253216,0.0005731712608463609
50,14296.0,Karim Benzema,Real Madrid,11.039233057622923,11.414595264557292,-0.37536220693436917,1969,2762,0.35971432845259343,0.3719455372230833,-0.012231208770489945
51,15407.0,Cristian Molinaro,Venezia,1.2805089069879614,1.4874573984416202,-0.2069484914536588,479,589,0.19566350021887355,0.2272855107975311,-0.03162201057865754
52,16161.0,João Moutinho,Wolves,4.886097924503731,5.271338458329439,-0.38524053382570855,3020,3275,0.13427444678025519,0.14486120954187773,-0.010586762761622525
53,16942.0,Óscar Trejo,Rayo Vallecano,2.8942047120886243,3.5593766274919587,-0.6651719154033344,1911,2146,0.12137857599626103,0.14927488186126575,-0.027896305865004706
54,16954.0,Makoto Hasebe,Eintracht Frankfurt,2.3533307194593363,2.3797884461819194,-0.026457726722583175,1462,1270,0.16677146830814193,0.16864642531997853,-0.0018749570118366029
55,18275.0,Roberto Soldado,Levante,1.2364704970968887,1.4447426743572578,-0.20827217726036906,230,740,0.15038154694421618,0.1757119468812881,-0.025330399937071913
56,18701.0,Radamel Falcao,Rayo Vallecano,1.1306122763780877,1.538990919769276,-0.40837864339118823,338,940,0.10825011156811477,0.1473501944459945,-0.03910008287787972
59,19104.0,Nani,Venezia,-0.12072446384839713,0.03201215264713392,-0.15273661649553105,221,321,-0.033847980518242185,0.008975369901065585,-0.04282335041930777
60,19119.0,Fernandinho,Man City,3.537867219944019,3.5899577976670116,-0.05209057772299275,1256,1047,0.3041146607401735,0.3085923608309752,-0.0044777000908016685
61,19177.0,Mario Suárez,Rayo Vallecano,-0.8531677687424235,0.05893858184572309,-0.9121063505881466,535,830,-0.09251216769496158,0.006390930561584432,-0.09890309825654602
62,19453.0,Kevin Gameiro,Strasbourg,2.136776277888272,2.4723626163086707,-0.33558633842039853,1367,2432,0.07907478002053639,0.09149368234694917,-0.012418902326412774
63,19545.0,Kasper Schmeichel,Leicester,6.2071491507813334,3.262977957201656,2.9441711935796775,2048,3599,0.1552218459489636,0.0815971147952623,0.0736247311537013
64,19580.0,Lorenzo De Silvestri,Bologna,4.033071201236453,5.080890658078715,-1.0478194568422623,1851,2359,0.1538687613867235,0.19384491701020956,-0.039976155623486054
