,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2987.0,Pepe Reina,Villarreal,10.321579,0.51370496,9.807875,1967,2171,0.42788675203679183,0.021295920872347853,0.4065908522498273
2,3283.0,Joaquín,Real Betis,1.4582477,1.1010998,0.3571478,836,608,0.2158590366965846,0.1629917496129086,0.05286727453532972
3,4511.0,James Milner,Liverpool,3.255934,2.0544956,1.2014384,1771,1062,0.2759266079257886,0.17410979477474695,0.10181681315104167
4,5583.0,Cristiano Ronaldo,Man Utd,1.9683154,1.7997227,0.16859277,475,583,0.3038565634045347,0.27783025149415735,0.026026328268427382
5,6227.0,Dani Rodríguez,Mallorca,8.392464,6.653834,1.7386296,2076,2239,0.33734779647547736,0.26746093422879913,0.06988685543167639
6,6683.0,Dante,Nice,13.319177,6.341803,6.9773736,7325,3517,0.340837632114995,0.16228668412465347,0.1785509306360179
7,8166.0,Ashley Young,Aston Villa,5.933293,2.9403229,2.99297,2914,2237,0.23871092440349798,0.11829640538126536,0.12041453266442222
9,9270.0,Abdón Prats,Mallorca,1.7035092,1.5724843,0.13102493,267,549,0.2792638003934711,0.2577843170999829,0.02147949545326997
10,9446.0,Jesús Navas,Sevilla,2.543546,1.0450397,1.4985064,3157,2189,0.10457704142382723,0.0429664531653741,0.06161059174378641
11,9730.0,Fabio Quagliarella,Sampdoria,3.0493968,2.8696587,0.17973801,714,909,0.30192047219858703,0.28412462828314083,0.01779584391544623
12,9909.0,Sergio Ramos,PSG,10.966365,7.2893214,3.6770434,6834,2883,0.3423422959956534,0.22755426306961066,0.11478803292604275
13,9972.0,Samir Handanovic,Inter,4.868766,0.33155167,4.5372143,1389,1328,0.32996154693235835,0.022469616798033196,0.3074919229530426
15,11119.0,Lionel Messi,PSG,31.5827,31.233648,0.34905064,5990,3014,0.943079998418837,0.9326570405814533,0.01042287936650449
16,11386.0,Raúl García,Athletic Club,7.201341,6.656543,0.54479796,955,1129,0.5740661891400022,0.5306367291297609,0.04342941946430054
17,11867.0,Kevin-Prince Boateng,Hertha Berlin,0.7044097,0.60330975,0.10109993,654,528,0.12006983612522934,0.10283689065413042,0.017232941858696216
18,11895.0,Adama Soumaoro,Bologna,4.717783,1.7724224,2.9453604,2782,2023,0.20988653676084404,0.078852209901079,0.13103431931711104
19,12575.0,Raúl Albiol,Villarreal,6.3152323,2.4393387,3.8758934,4071,2319,0.24509310506448093,0.09467032409115257,0.15042277439342794
20,12712.0,Gerard Piqué,Barcelona,1.2691786,0.8473206,0.42185807,1038,416,0.2745819091796875,0.18331456184387207,0.09126737484565148
21,13754.0,Manuel Neuer,Bayern,6.020608,0.4088266,5.6117816,1182,1143,0.4740636363325678,0.032191068794470756,0.44187255752576826
22,13796.0,Theo Walcott,Southampton,3.5881557,3.8433297,-0.2551739,820,1244,0.2595932644663133,0.2780543876230908,-0.018461133889446688
23,14058.0,Dimitri Payet,Marseille,6.0928264,5.590228,0.50259864,1455,925,0.5928155352618243,0.5439140690983952,0.04890149090741132
24,14102.0,David Silva,Real Sociedad,9.908517,8.905604,1.0029128,3091,2051,0.43479597295336114,0.3907871255637494,0.04400884738961178
25,14199.0,Claudio Bravo,Real Betis,5.970103,0.31741336,5.6526895,824,1204,0.4462701537680388,0.0237269116398504,0.422543243712365
26,14296.0,Karim Benzema,Real Madrid,22.889374,22.595272,0.29410243,2868,2202,0.9355330159726952,0.9235124717941077,0.012020535516695583
27,16161.0,João Moutinho,Wolves,4.45868,2.4360838,2.0225966,2559,1951,0.20567976395818652,0.1123770083726094,0.09330276340658637
28,16942.0,Óscar Trejo,Rayo Vallecano,8.183876,7.3608394,0.82303673,3002,2280,0.32304773163377193,0.290559440746642,0.032488290887129935
29,16954.0,Makoto Hasebe,Eintracht Frankfurt,4.593898,1.3591093,3.2347887,2586,1403,0.2946905243507217,0.08718448456745868,0.20750604522117783
31,18701.0,Radamel Falcao,Rayo Vallecano,2.5677085,2.456754,0.1109543,570,772,0.2993442555165661,0.28640915075114354,0.012935086235481223
33,19453.0,Kevin Gameiro,Strasbourg,15.810605,15.335412,0.4751933,2259,2264,0.6285134574971014,0.6096232923096566,0.018890192146436065
34,19545.0,Kasper Schmeichel,Nice,14.285701,0.5585252,13.727176,2630,3454,0.37223885717872396,0.014553349488859724,0.35768552425629707
35,19580.0,Lorenzo De Silvestri,Bologna,1.7101916,1.6504302,0.05976147,1004,763,0.20172641099202368,0.19467721041658134,0.007049189951285466
36,19792.0,Daniel Ciofani,Cremonese,5.6870165,5.4501133,0.23690325,530,1074,0.47656562563649324,0.4567134011835137,0.019852228004839167
37,19859.0,José Fonte,Lille,7.161242,4.9956846,2.1655571,5427,2789,0.23109063455903775,0.16120889307393443,0.06988173054298136
39,20664.0,Leonardo Bonucci,Juventus,2.9746132,1.8072041,1.1674092,1457,977,0.27401758387242514,0.1664773556446712,0.10754025165475867
40,20769.0,Simon Kjær,AC Milan,2.3320508,0.84495693,1.4870938,1741,1084,0.19362044950252968,0.07015325398462725,0.12346719551790244
41,20874.0,Luka Modric,Real Madrid,9.529087,8.580436,0.94865125,3792,1909,0.44924979512138224,0.4045255090504682,0.04472426209167513
42,20973.0,Lukasz Fabianski,West Ham,17.678461,0.53660196,17.14186,2018,3394,0.46878654196744257,0.014229280497652682,0.4545572580979302
43,21015.0,Guillermo Ochoa,Salernitana,13.029178,0.4434033,12.585773,1562,1972,0.5946379191493407,0.020236458304445835,0.5744014221562816
44,21019.0,Andrés Guardado,Real Betis,4.0643964,2.64064,1.4237564,2234,1518,0.24097212438369772,0.15655968908578824,0.08441243529790945
46,21541.0,Mats Hummels,Borussia Dortmund,7.8839707,4.0451136,3.838857,4523,2178,0.3257839178360308,0.16715344866007376,0.15863045516421315
47,21571.0,Wayne Hennessey,Nottingham Forest,1.6986824,0.05766014,1.6410222,210,293,0.5217796039255813,0.01771130578102919,0.50406826396851
48,21682.0,Vito Mannone,Lorient,9.516857,0.26989254,9.246964,1289,1726,0.4962440039854613,0.014073191761003585,0.4821708033839079
49,21683.0,Adam Lallana,Brighton,3.576013,3.3407407,0.23527241,790,772,0.4168927286573025,0.38946458095095937,0.027428130411731148
50,22079.0,Jonny Evans,Leicester,4.310021,1.2492626,3.0607584,1978,1142,0.33966890191447296,0.09845326786074664,0.2412156407344571
51,22182.0,Miguel Veloso,Verona,2.406837,1.7541872,0.6526497,1451,1216,0.17813760355899208,0.1298329328235827,0.04830466446123625
52,22325.0,Ángel Rodríguez,Mallorca,2.2948582,2.1919506,0.10290763,290,471,0.43850795478577825,0.41884404079169985,0.019663877547926204
53,22546.0,Papu Gómez,Sevilla,2.485531,2.9195125,-0.43398142,1505,1175,0.19038110611286568,0.22362224173038564,-0.03324112912441822
55,22732.0,Ivan Rakitic,Sevilla,4.113125,3.0952103,1.0179144,3057,1976,0.18733868618243135,0.14097618381021476,0.04636249851118698
56,23089.0,Rui Patrício,Roma,8.727385,0.4619694,8.265415,1827,3476,0.22596795155620686,0.011961233492413379,0.21400672903818146
57,23110.0,Ángel Di María,Juventus,8.004114,7.7043834,0.29973128,1927,1477,0.4877253217961874,0.46946142941773866,0.01826392337124979
59,23220.0,Matteo Darmian,Inter,4.428102,2.0160263,2.4120755,3343,2169,0.1837386698039131,0.0836525438237487,0.10008611894522246
61,23547.0,Angelo Ogbonna,West Ham,2.974617,0.79083353,2.1837835,1201,1364,0.19627237180111345,0.05218109846814287,0.14409128451976608
62,23589.0,Jérôme Boateng,Lyon,0.2901764,0.25750518,0.032671213,602,457,0.0571463353263471,0.05071218060716758,0.006434155762586865
63,23592.0,Ralf Fährmann,Schalke,6.233535,0.28398126,5.9495535,981,1108,0.5063340500373703,0.023067069828295105,0.4832670025877143
64,23757.0,Álvaro Negredo,Cadiz,3.2746208,3.021176,0.2534445,499,855,0.34469693724872075,0.31801854183799344,0.026678368640921966
65,24248.0,Diego Costa,Wolves,5.220752,4.611804,0.60894763,705,1350,0.3480501076027199,0.3074535906756366,0.0405965084499783
66,24328.0,Edinson Cavani,Valencia,6.1300898,5.4633737,0.6667163,994,1568,0.35185463574467873,0.31358650752476286,0.03826815254834234
67,24400.0,Cristhian Stuani,Girona,8.458889,8.31934,0.13954903,608,1281,0.5943013175589139,0.5844969559609192,0.009804381698858543
68,24444.0,Olivier Giroud,AC Milan,16.083996,15.580102,0.5038945,1628,2302,0.6288269202052563,0.6091265110841116,0.01970048037743589
70,24845.0,Edin Dzeko,Inter,15.75938,15.213837,0.54554284,1655,1886,0.7520383023760604,0.7260049635886134,0.026033326651612624
71,24854.0,Rémy Riou,Lyon,2.475121,0.11956579,2.355555,498,648,0.3437668129249855,0.016606360305974514,0.3271604231846185
72,25191.0,Axel Witsel,Atletico,5.7130036,2.7806494,2.9323545,3434,2473,0.20791360659971442,0.10119630140280655,0.10671730519690785
73,25244.0,Alexis Sánchez,Marseille,20.999048,20.644596,0.35445303,2951,2823,0.6694701759265409,0.6581699156482466,0.011300308924805725
74,25604.0,Hugo Lloris,Tottenham,9.232307,0.37700003,8.855307,1617,2404,0.34563546331472284,0.014113978419248356,0.3315214642669119
75,25605.0,Anthony Modeste,Borussia Dortmund,4.4562407,4.095109,0.3611316,457,891,0.4501253036002385,0.41364737873526936,0.03647794199043385
76,25657.0,Charles Aránguiz,Leverkusen,2.330453,1.7833507,0.54710203,755,540,0.38840883043077257,0.29722510443793404,0.09118366947880498
77,25764.0,Albin Ekdal,Spezia,5.7934275,3.7028267,2.0906007,2079,1853,0.2813861021401106,0.17984586860833784,0.10154024176641342
78,25931.0,César Azpilicueta,Chelsea,3.0682406,1.390364,1.6778766,2531,1692,0.16320429231539968,0.07395553588867188,0.0892487564267278
80,26820.0,Aaron Ramsey,Nice,6.339711,4.660031,1.6796801,3017,1680,0.3396274021693638,0.2496445065452939,0.0899828592936198
81,26877.0,Adil Rami,Troyes,4.9503307,1.1847315,3.7655993,2142,1690,0.26362707375069344,0.06309220804970646,0.2005348702154216
82,27124.0,Julian Baumgartlinger,Augsburg,1.321407,0.603799,0.717608,592,633,0.18787776953047863,0.08584819510461407,0.10202956839948657
84,28186.0,Dani Parejo,Villarreal,9.081547,6.3747497,2.7067971,6072,3572,0.22881837441165664,0.1606179949684613,0.06820037517141789
