,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2987.0,Pepe Reina,Villarreal,3.8085070578963496,2.2612990098423325,1.5472080480540171,1357,2171,0.15788375643052577,0.09374339515698292,0.06414036127354286
2,3283.0,Joaquín,Real Betis,0.6649254744434729,0.9490389340817929,-0.2841134596383199,509,608,0.09842646825643514,0.14048273695289698,-0.042056268696461827
3,4511.0,James Milner,Liverpool,1.6471402910728938,1.6187416945658624,0.02839859650703147,1084,1062,0.13958816026041473,0.13718149953947986,0.0024066607209348705
4,5583.0,Cristiano Ronaldo,Man Utd,-1.0876565702492371,-0.871821777545847,-0.21583479270339012,265,583,-0.1679058170196078,-0.13458655227980484,-0.033319264739802935
5,6227.0,Dani Rodríguez,Mallorca,2.798521158699179,3.0311283478867264,-0.2326071891875472,1291,2239,0.11249080137692101,0.12184080004904214,-0.009349998672121147
6,6683.0,Dante,Nice,6.288309416733682,6.938318736501969,-0.6500093197682872,4499,3517,0.1609177843349535,0.1775515172832463,-0.01663373294829282
7,8166.0,Ashley Young,Aston Villa,2.6821662012175658,4.08862807762716,-1.406461876409594,1759,2237,0.10791012879283904,0.16449554179098988,-0.056585412998150855
9,9270.0,Abdón Prats,Mallorca,0.3367993760621175,0.4649855421157554,-0.12818616605363786,158,549,0.055213012469199595,0.07622713805176318,-0.021014125582563582
10,9446.0,Jesús Navas,Sevilla,2.0245115431025624,2.7338810610817745,-0.7093695179792121,1897,2189,0.0832371123249112,0.11240260187179521,-0.029165489546884006
11,9730.0,Fabio Quagliarella,Sampdoria,-1.7285531696979888,-1.3412561816512607,-0.3872969880467281,407,909,-0.17114387818791968,-0.13279764174764958,-0.038346236440270104
12,9909.0,Sergio Ramos,PSG,6.901069740764797,7.0520233796560206,-0.15095363889122382,4195,2883,0.21543401896248066,0.22014641143567182,-0.00471239247319117
13,9972.0,Samir Handanovic,Inter,2.469736103026662,1.6477947942912579,0.8219413087354042,926,1328,0.16737669372921654,0.11167283997455814,0.05570385375465842
15,11119.0,Lionel Messi,PSG,17.52345285268524,18.349304820505438,-0.8258519678201992,3791,3014,0.5232616976581524,0.5479221744676475,-0.024660476809495
16,11386.0,Raúl García,Athletic Club,-0.7761593925533816,-0.6952338630799204,-0.08092552947346121,540,1129,-0.06187275937095159,-0.055421654275635814,-0.006451105095315774
17,11867.0,Kevin-Prince Boateng,Hertha Berlin,-0.5967682858463377,-0.10586214909562841,-0.49090613675070927,380,528,-0.10172186690562574,-0.01804468450493666,-0.08367718240068908
18,11895.0,Adama Soumaoro,Bologna,2.11966083542211,2.3504681300837547,-0.23080729466164485,1621,2023,0.09430028432426589,0.10456852778425009,-0.0102682434599842
19,12575.0,Raúl Albiol,Villarreal,3.9219224505941384,4.038497724279296,-0.1165752736851573,2367,2319,0.152209150734572,0.15673341750113695,-0.004524266766564966
20,12712.0,Gerard Piqué,Barcelona,0.643028627266176,0.7793114160886034,-0.1362827888224274,631,416,0.13911677032200925,0.168601027519169,-0.02948425719715977
