player,team,rating,season
Abdoul Koné,Stade de Reims,7.0,23-24
Lovro Majer,Stade Rennais,7.0,23-24
Sanjin Prcić,RC Strasbourg,7.0,23-24
Philipp Köhn,AS Monaco,7.0,23-24
Przemysław Frankowski,RC Lens,7.0,23-24
Arouna Sangante,Le Havre,7.0,23-24
Morgan Sanson,Nice,6.99,23-24
Jonathan Gradit,RC Lens,6.99,23-24
Maxime Estève,Montpellier,6.99,23-24
Martín Satriano,Stade Brestois,6.99,23-24
Ayman Kari,Lorient,6.99,23-24
Gabriel Suazo,Toulouse,6.98,23-24
Carlos Soler,Paris Saint-Germain,6.98,23-24
Lucas Perrin,RC Strasbourg,6.98,23-24
Mousa Al-Taamari,Montpellier,6.98,23-24
Terem Moffi,Nice,6.98,23-24
Bećir Omeragić,Montpellier,6.97,23-24
Mohamed Camara,AS Monaco,6.97,23-24
Logan Costa,Toulouse,6.97,23-24
Grégoire Coudert,Stade Brestois,6.97,23-24
Gautier Lloris,Le Havre,6.96,23-24
Steve Mounié,Stade Brestois,6.96,23-24
Kamory Doumbia,Stade Brestois,6.96,23-24
Habib Keita,Clermont Foot,6.96,23-24
Warmed Omari,Stade Rennais,6.96,23-24
Pape Gueye,Olympique de Marseille,6.96,23-24
Quentin Merlin,Olympique de Marseille,6.95,23-24
Michael Murillo,Olympique de Marseille,6.95,23-24
Souleymane Isaak Touré,Lorient,6.95,23-24
Lorenz Assignon,Stade Rennais,6.95,23-24
Youssef Maziz,Metz,6.95,23-24
Trévis Dago,Lille,6.95,23-24
Pablo Rosario,Nice,6.94,23-24
Stijn Spierings,Toulouse,6.94,23-24
Baptiste Santamaria,Stade Rennais,6.94,23-24
Pau López,Olympique de Marseille,6.94,23-24
Ismaily,Lille,6.93,23-24
Nicolás Tagliafico,Olympique Lyonnais,6.93,23-24
Nicolas Pallois,Nantes,6.93,23-24
Alexsandro Ribeiro,Lille,6.93,23-24
Geoffrey Kondogbia,Olympique de Marseille,6.93,23-24
Marvin Senaya,RC Strasbourg,6.93,23-24
Neto Borges,Clermont Foot,6.93,23-24
Leny Yoro,Lille,6.93,23-24
Neil El Aynaoui,RC Lens,6.92,23-24
Habib Diarra,RC Strasbourg,6.92,23-24
Clinton Mata,Olympique Lyonnais,6.92,23-24
Mikkel Desler,Toulouse,6.92,23-24
Douglas Augusto,Nantes,6.92,23-24
Randal Kolo Muani,Paris Saint-Germain,6.92,23-24
Boubakar Kouyaté,Montpellier,6.92,23-24
Julien Ponceau,Lorient,6.91,23-24
Youssouf Ndayishimiye,Nice,6.91,23-24
Johan Gastien,Clermont Foot,6.91,23-24
Lamine Camara,Metz,6.91,23-24
Mohamed-Ali Cho,Nice,6.91,23-24
Christopher Jullien,Montpellier,6.91,23-24
Ainsley Maitland-Niles,Olympique Lyonnais,6.9,23-24
Iliman Ndiaye,Olympique de Marseille,6.9,23-24
Eray Cömert,Nantes,6.9,23-24
Lucas Beraldo,Paris Saint-Germain,6.9,23-24
Saïdou Sow,RC Strasbourg,6.9,23-24
Milan Škriniar,Paris Saint-Germain,6.9,23-24
Birger Meling,Stade Rennais,6.9,23-24
Pablo Pagis,Lorient,6.9,23-24
Mahamadou Nagida,Stade Rennais,6.9,23-24
Paul Akouokou,Olympique Lyonnais,6.9,23-24
Jake O'Brien,Olympique Lyonnais,6.9,23-24
Deiver Machado,RC Lens,6.89,23-24
Nordi Mukiele,Paris Saint-Germain,6.89,23-24
Daler Kuzyaev,Le Havre,6.89,23-24
Abdoulaye Touré,Le Havre,6.89,23-24
César Gelabert,Toulouse,6.89,23-24
Ahmadou Bamba Dieng,Lorient,6.89,23-24
Matthis Abline,Nantes,6.89,23-24
André Ayew,Le Havre,6.88,23-24
Marquinhos,Nantes,6.88,23-24
Ernest Nuamah,Olympique Lyonnais,6.88,23-24
Étienne Youte Kinkoue,Le Havre,6.88,23-24
Wesley Saïd,RC Lens,6.88,23-24
Yoann Salmier,Le Havre,6.88,23-24
Yoram Zague,Paris Saint-Germain,6.88,23-24
Marshall Munetsi,Stade de Reims,6.88,23-24
Vincent Le Goff,Lorient,6.88,23-24
Moussa Diarra,Toulouse,6.88,23-24
Hicham Boudaoui,Nice,6.88,23-24
Hugo Magnetti,Stade Brestois,6.88,23-24
Siriné Doucouré,Lorient,6.87,23-24
Ibrahim Cissoko,Toulouse,6.87,23-24
Christopher Wooh,Stade Rennais,6.87,23-24
Gerzino Nyamsi,RC Strasbourg,6.87,23-24
Adam Ounas,Lille,6.87,23-24
Keito Nakamura,Stade de Reims,6.87,23-24
Theo Sainte Luce,Montpellier,6.87,23-24
Alidu Seidu,Stade Rennais,6.87,23-24
Darlin Yongwa,Lorient,6.86,23-24
Adrien Truffert,Stade Rennais,6.86,23-24
Badredine Bouanani,Lorient,6.86,23-24
Sinaly Diomandé,Olympique Lyonnais,6.86,23-24
Abakar Sylla,RC Strasbourg,6.86,23-24
Matz Sels,RC Strasbourg,6.86,23-24
Pedro Chirivella,Nantes,6.86,23-24
Abdukodir Khusanov,RC Lens,6.85,23-24
Krépin Diatta,AS Monaco,6.85,23-24
Cristian Cásseres Jr.,Toulouse,6.85,23-24
Florent Ogier,Clermont Foot,6.85,23-24
Oscar Cortés,RC Lens,6.85,23-24
Senny Mayulu,Paris Saint-Germain,6.85,23-24
Rabby Nzingoula,RC Strasbourg,6.85,23-24
Formose Mendy,Lorient,6.85,23-24
Ângelo,RC Strasbourg,6.85,23-24
Kévin Gameiro,RC Strasbourg,6.85,23-24
Junior Mwanga,RC Strasbourg,6.85,23-24
Issiaga Sylla,Montpellier,6.84,23-24
Montassar Talbi,Lorient,6.84,23-24
Abdoul Kader Bamba,Nantes,6.84,23-24
Frank Magri,Toulouse,6.84,23-24
Jim Allevinah,Clermont Foot,6.84,23-24
Mohamed Bayo,Le Havre,6.84,23-24
Morgan Guilavogui,RC Lens,6.84,23-24
Silvan Hefti,Montpellier,6.84,23-24
Yusuf Yazıcı,Lille,6.84,23-24
Duje Ćaleta-Car,Olympique Lyonnais,6.84,23-24
Jean-Charles Castelletto,Nantes,6.84,23-24
Bamo Meïté,Olympique de Marseille,6.84,23-24
Guillaume Restes,Toulouse,6.84,23-24
Luís Henrique,Olympique de Marseille,6.83,23-24
Julien Le Cardinal,Stade Brestois,6.83,23-24
Valentin Rosier,Nice,6.83,23-24
Fali Candé,Metz,6.83,23-24
Oussama Targhalline,Le Havre,6.83,23-24
Ludovic Blas,Stade Rennais,6.82,23-24
Adrien Thomasson,RC Lens,6.82,23-24
Emmanuel Sabbi,Le Havre,6.82,23-24
Azzedine Ounahi,Olympique de Marseille,6.82,23-24
Breel Embolo,AS Monaco,6.82,23-24
Amir Richardson,Stade de Reims,6.82,23-24
Jean Onana,Olympique de Marseille,6.82,23-24
Kassoum Ouattara,AS Monaco,6.81,23-24
Gaëtan Laborde,Nice,6.81,23-24
Jeanuël Belocian,Stade Rennais,6.81,23-24
Shamar Nicholson,Clermont Foot,6.81,23-24
Sadibou Sané,Metz,6.81,23-24
Ablie Jallow,Metz,6.81,23-24
Khalil Fayad,Montpellier,6.8,23-24
Andy Diouf,RC Lens,6.8,23-24
Folarin Balogun,AS Monaco,6.8,23-24
Josué Casimir,Le Havre,6.8,23-24
Sergio Akieme,Stade de Reims,6.8,23-24
Tanguy Coulibaly,Montpellier,6.8,23-24
Maxime Gonalons,Clermont Foot,6.8,23-24
Koffi Kouao,Metz,6.8,23-24
Saimon Bouabre,AS Monaco,6.8,23-24
Mathieu Gorgelin,Le Havre,6.8,23-24
Vito Mannone,Lille,6.8,23-24
Alois Confais,Le Havre,6.8,23-24
Ignatius Ganago,Nantes,6.8,23-24
Denis Genreau,Toulouse,6.8,23-24
Carlos Baleba,Lille,6.8,23-24
Mathias Pereira Lage,Stade Brestois,6.79,23-24
Alaa Bellaarouch,RC Strasbourg,6.79,23-24
Eliesse Ben Seghir,AS Monaco,6.79,23-24
Ibrahima Sissoko,RC Strasbourg,6.79,23-24
Henrique,Olympique Lyonnais,6.79,23-24
Soungoutou Magassa,AS Monaco,6.79,23-24
Malick Fofana,Olympique Lyonnais,6.79,23-24
Christian Mawissa,Toulouse,6.79,23-24
Yassine Kechta,Le Havre,6.79,23-24
Thomas Delaine,RC Strasbourg,6.79,23-24
Jeremy Sebas,RC Strasbourg,6.78,23-24
Jonas Martin,Stade Brestois,6.78,23-24
Naatan Skyttä,Toulouse,6.78,23-24
Guillermo Maripán,AS Monaco,6.78,23-24
Maxime Busi,Stade de Reims,6.78,23-24
Akor Adams,Montpellier,6.78,23-24
Ibrahim Salah,Stade Rennais,6.78,23-24
Orel Mangala,Olympique Lyonnais,6.78,23-24
Tom Louchet,Nice,6.78,23-24
Adson,Nantes,6.78,23-24
Bilal Nadir,Olympique de Marseille,6.78,23-24
Falaye Sacko,Montpellier,6.77,23-24
Ivan Cavaleiro,Lille,6.77,23-24
Pape Diallo,Metz,6.77,23-24
Yaya Fofana,Stade de Reims,6.77,23-24
Tiemoué Bakayoko,Lorient,6.77,23-24
Jordan Lotomba,Nice,6.76,23-24
Loic Négo,Le Havre,6.76,23-24
Josh Wilson-Esbrand,Stade de Reims,6.76,23-24
Guéla Doué,Stade Rennais,6.76,23-24
Eli Junior Kroupi,Lorient,6.76,23-24
Bilal Boutobba,Clermont Foot,6.76,23-24
Nathaniel Adjei,Lorient,6.75,23-24
Mama Baldé,Olympique Lyonnais,6.75,23-24
Warren Kamanzi,Toulouse,6.75,23-24
Farès Chaïbi,Toulouse,6.75,23-24
Nicolas Cozza,Nantes,6.75,23-24
Enzo Tchato Mbiayi,Montpellier,6.75,23-24
Evann Guessand,Nice,6.75,23-24
Théo Le Bris,Lorient,6.75,23-24
Ulisses Garcia,Olympique de Marseille,6.75,23-24
Dion Moise Sahi,RC Strasbourg,6.74,23-24
Dejan Lovren,Olympique Lyonnais,6.74,23-24
Yohann Magnin,Clermont Foot,6.74,23-24
Alexis Claude-Maurice,Nice,6.74,23-24
Nolan Mbemba,Le Havre,6.74,23-24
Elye Wahi,RC Lens,6.74,23-24
Oumar Diakité,Stade de Reims,6.74,23-24
Cheick Konate,Clermont Foot,6.74,23-24
Faris Pemi Moumbagna,Olympique de Marseille,6.74,23-24
Aron Dønnum,Toulouse,6.74,23-24
Reda Khadra,Stade de Reims,6.74,23-24
Zakaria Aboukhlal,Toulouse,6.73,23-24
Didier Lamkel Zé,Metz,6.73,23-24
Gabriel Gudmundsson,Lille,6.73,23-24
Óscar Estupiñán,Metz,6.73,23-24
Johann Lepenant,Olympique Lyonnais,6.73,23-24
Sofiane Diop,Nice,6.73,23-24
Antoine Mendy,Nice,6.73,23-24
Andy Pelmard,Clermont Foot,6.73,23-24
Mamady Bangré,Toulouse,6.73,23-24
Saël Kumbedi,Olympique Lyonnais,6.73,23-24
Wahbi Khazri,Montpellier,6.73,23-24
Fabian Rieder,Stade Rennais,6.72,23-24
Marcus Coco,Nantes,6.72,23-24
Kelvin Yeboah,Montpellier,6.72,23-24
Ronaël Pierre-Gabriel,Nantes,6.72,23-24
Aliou Balde,Nice,6.72,23-24
Simon Elisor,Metz,6.71,23-24
Elbasan Rashani,Clermont Foot,6.71,23-24
Ibou Sane,Metz,6.71,23-24
Hakon Arnar Haraldsson,Lille,6.71,23-24
Christophe Herelle,Metz,6.71,23-24
Oualid El Hajjam,Le Havre,6.71,23-24
Yanis Begraoui,Toulouse,6.71,23-24
Lucas Mincarelli Davin,Montpellier,6.71,23-24
Chrislain Matsima,Clermont Foot,6.71,23-24
Maxime Colin,Metz,6.7,23-24
Panos Katseris,Lorient,6.7,23-24
Kévin N'Doram,Metz,6.7,23-24
Keylor Navas,Paris Saint-Germain,6.7,23-24
Ayanda Sishuba,RC Lens,6.7,23-24
Amin Sarr,Olympique Lyonnais,6.7,23-24
Hianga'a M'Bock,Stade Brestois,6.7,23-24
Ignacio Miramón,Lille,6.7,23-24
Bonke Innocent,Lorient,6.7,23-24
Hugo Ekitiké,Paris Saint-Germain,6.7,23-24
Mamadou Sakho,Montpellier,6.7,23-24
Reda Belahyane,Nice,6.7,23-24
Steven Baseya,RC Strasbourg,6.7,23-24
Axel Gueguin,Montpellier,6.7,23-24
Jérémy Le Douaron,Stade Brestois,6.69,23-24
Cheick Tidiane Sabaly,Metz,6.69,23-24
Danley Jean Jacques,Metz,6.69,23-24
Jordan Ferri,Montpellier,6.69,23-24
Arthur Atta,Metz,6.69,23-24
Lebo Mothiba,RC Strasbourg,6.69,23-24
Sacha Delaye,Montpellier,6.69,23-24
Myron Boadu,AS Monaco,6.68,23-24
Thomas Foket,Stade de Reims,6.68,23-24
Jeffinho,Olympique Lyonnais,6.68,23-24
Eliot Matazo,AS Monaco,6.68,23-24
Adrien Lebeau,Stade Brestois,6.68,23-24
Benie Traore,Nantes,6.68,23-24
Julien Laporte,Lorient,6.68,23-24
Samuel Moutoussamy,Nantes,6.68,23-24
Emanuel Emegha,RC Strasbourg,6.68,23-24
Alan Virginius,Clermont Foot,6.68,23-24
Aboubacar Ali Abdallah,RC Strasbourg,6.67,23-24
Jérémy Jacquet,Clermont Foot,6.67,23-24
Shavy Warren Babicka,Toulouse,6.67,23-24
Maximiliano Caufriez,Clermont Foot,6.67,23-24
Ismaël Traoré,Metz,6.67,23-24
Gedeon Kalulu,Lorient,6.67,23-24
Benjamin Mendy,Lorient,6.67,23-24
Grejohn Kyei,Clermont Foot,6.66,23-24
Jean-Kevin Duverne,Nantes,6.66,23-24
Ismael Doukoure,RC Strasbourg,6.65,23-24
Valentin Atangana Edoa,Stade de Reims,6.65,23-24
Massadio Haïdara,RC Lens,6.65,23-24
Joel Asoro,Metz,6.65,23-24
Mahamadou Diawara,Olympique Lyonnais,6.65,23-24
Amadou Kone,Stade de Reims,6.65,23-24
Thibault De Smet,Stade de Reims,6.65,23-24
Tino Kadewere,Nantes,6.65,23-24
Mehdi Zeffane,Clermont Foot,6.65,23-24
Moussa Sissoko,Nantes,6.63,23-24
Issa Soumaré,Le Havre,6.63,23-24
Achraf Dari,Stade Brestois,6.63,23-24
Cher Ndour,Paris Saint-Germain,6.63,23-24
Ibrahim Diakité,Stade de Reims,6.63,23-24
Antoine Joujou,Le Havre,6.63,23-24
Jean-Victor Makengo,Lorient,6.63,23-24
Benjamin Stambouli,Stade de Reims,6.63,23-24
Joaquín Correa,Olympique de Marseille,6.63,23-24
Skelly Alvero,Olympique Lyonnais,6.63,23-24
Aiyegun Tosin,Lorient,6.62,23-24
Yoël Armougom,Clermont Foot,6.62,23-24
Salis Abdul Samed,RC Lens,6.62,23-24
Kevin Van Den Kerkhof,Metz,6.61,23-24
Jérémie Bela,Clermont Foot,6.61,23-24
Gift Orban,Olympique Lyonnais,6.6,23-24
Bertuğ Özgür Yıldırım,Stade Rennais,6.6,23-24
Kelvin Amian,Nantes,6.6,23-24
Guillaume Dietsch,Metz,6.6,23-24
Adryelson,Olympique Lyonnais,6.6,23-24
Simon Ebonog,Le Havre,6.6,23-24
Mattéo Guendouzi,Olympique de Marseille,6.6,23-24
Jhoanner Chávez,RC Lens,6.6,23-24
Jessy Deminguet,RC Strasbourg,6.6,23-24
Ethan Mbappé,Paris Saint-Germain,6.6,23-24
Aïman Maurer,Clermont Foot,6.6,23-24
François Régis Mughe,Olympique de Marseille,6.6,23-24
Mohamed-Amine Bouchenna,Clermont Foot,6.6,23-24
Jaouen Hadjam,Nantes,6.6,23-24
Mohamed El Arouch,Olympique Lyonnais,6.6,23-24
Abdellah Baallal,Clermont Foot,6.6,23-24
Enzo Mongo,Nantes,6.6,23-24
Yann Karamoh,Montpellier,6.59,23-24
Nathan Zeze,Nantes,6.59,23-24
Kévin Keben Biakolo,Toulouse,6.59,23-24
Benjamin Tetteh,Metz,6.58,23-24
Billal Brahimi,Stade Brestois,6.58,23-24
Steve Ngoura,Le Havre,6.58,23-24
Habib Maïga,Metz,6.57,23-24
Mamadou Diakhon,Stade de Reims,6.57,23-24
Joseph N'Duquidi,Metz,6.57,23-24
Jean N'Guessan,Metz,6.57,23-24
Faitout Maouassa,RC Lens,6.57,23-24
Amine Salama,Stade de Reims,6.55,23-24
Andy Logbo,Le Havre,6.54,23-24
Edan Diop,AS Monaco,6.54,23-24
Mamadou Coulibaly,AS Monaco,6.53,23-24
Eduard Sobol,RC Strasbourg,6.53,23-24
Samuel Grandsir,Le Havre,6.52,23-24
Komnen Andrić,Clermont Foot,6.51,23-24
Vignon Ouotro,RC Strasbourg,6.5,23-24
Keyliane Abdallah,Olympique de Marseille,6.5,23-24
Lucas Michal,AS Monaco,6.5,23-24
Adel Mahamoud,Nantes,6.5,23-24
Adama Bojang,Stade de Reims,6.5,23-24
Adrian Grbić,Lorient,6.5,23-24
Therence Koudou,Stade de Reims,6.5,23-24
Joel Mugisha Mvuka,Lorient,6.5,23-24
Karamoko Dembélé,Stade Brestois,6.5,23-24
Ibrahima Kone,Lorient,6.5,23-24
Mamadou Sarr,Olympique Lyonnais,6.5,23-24
Mathis Lambourde,Stade Rennais,6.5,23-24
Denis Petrić,Nantes,6.5,23-24
Aurelien Pelon,Lorient,6.5,23-24
Bassirou N'Diaye,Lorient,6.5,23-24
Leo Leroy,Montpellier,6.48,23-24
Malick Mbaye,Metz,6.48,23-24
Romain Perraud,Nice,6.47,23-24
Rémy Riou,Paris FC,6.47,23-24
Samuel Umtiti,Lille,6.46,23-24
Aboubacar Lô,Metz,6.45,23-24
Axel Camblan,Stade Brestois,6.44,23-24
Fabien Centonze,Nantes,6.43,23-24
Layvin Kurzawa,Paris Saint-Germain,6.4,23-24
Andrej Ilić,Lille,6.4,23-24
Ayyoub Bouaddi,Lille,6.4,23-24
Stredair Appuah,Nantes,6.4,23-24
Ilhan Fakili,Clermont Foot,6.4,23-24
Dembo Sylla,Rodez AF,6.4,23-24
Daouda Traore,Nice,6.4,23-24
Yanis Issoufou,Montpellier,6.4,23-24
Royce Openda,Lorient,6.4,23-24
Mohamed Bechikh,RC Strasbourg,6.35,23-24
Sofiane Sidi Ali,Olympique de Marseille,6.35,23-24
Diego Moreira,Olympique Lyonnais,6.34,23-24
Rassoul Ndiaye,Le Havre,6.34,23-24
Chaim El Djebali,Olympique Lyonnais,6.3,23-24
Luc Zogbe,Stade Brestois,6.3,23-24
Jean-Louis Leca,RC Lens,6.3,23-24
Raimane Daou,Olympique de Marseille,6.3,23-24
Ivan M'Bahia,Clermont Foot,6.3,23-24
Hugo Boutsingkham,Nantes,6.3,23-24
Igor Silva,Lorient,6.28,23-24
Tiago Morais,Lille,6.25,23-24
Loris Mouyokolo,Lorient,6.2,23-24
Gino Caoki,Lorient,6.2,23-24
Antonin Cartillier,Stade Brestois,6.1,23-24
Bastien Meupiyou,Nantes,3.0,23-24
Djaoui Cissé,Stade Rennais,0.0,23-24
Ichem Ferrah,Lille,0.0,23-24
Lamine Diack,Nantes,0.0,23-24
Noam Mayoka-Tika,Olympique de Marseille,0.0,23-24
Aaron Malouda,Lille,0.0,23-24
Christ-Emmanuel Letono Mbondi,Stade de Reims,0.0,23-24
