player,team,rating,season
Karim Onisiwo,1. FSV Mainz 05,6.7,20-21
Stefan Ilsanker,Eintracht Frankfurt,6.7,20-21
Ismail Jakobs,1. FC Köln,6.7,20-21
Arne Maier,Arminia Bielefeld,6.69,20-21
Marius Wolf,1. FC Köln,6.69,20-21
Reinier,Borussia Dortmund,6.69,20-21
Georginio Rutter,TSG Hoffenheim,6.69,20-21
Rune Jarstein,Hertha BSC,6.69,20-21
Lukas Kübler,SC Freiburg,6.68,20-21
Ibrahima Konaté,RB Leipzig,6.68,20-21
Michael Gregoritsch,FC Augsburg,6.68,20-21
Timo Horn,1. FC Köln,6.68,20-21
Carlos Gruezo,FC Augsburg,6.68,20-21
Robert Glatzel,1. FSV Mainz 05,6.68,20-21
Rani Khedira,FC Augsburg,6.68,20-21
Marek Suchý,FC Augsburg,6.68,20-21
Niklas Moisander,SV Werder Bremen,6.68,20-21
Łukasz Piszczek,Borussia Dortmund,6.67,20-21
Marco Richter,FC Augsburg,6.67,20-21
Dan-Axel Zagadou,Borussia Dortmund,6.67,20-21
Christian Groß,SV Werder Bremen,6.67,20-21
Gonçalo Paciência,FC Schalke 04,6.67,20-21
Nils Petersen,SC Freiburg,6.67,20-21
Davie Selke,SV Werder Bremen,6.67,20-21
Jessic Ngankam,Hertha BSC,6.67,20-21
Joshua Zirkzee,FC Bayern München,6.67,20-21
Bouna Sarr,FC Bayern München,6.66,20-21
Aarón Martín,1. FSV Mainz 05,6.66,20-21
Niklas Tauer,1. FSV Mainz 05,6.66,20-21
Marius Bülter,1. FC Union Berlin,6.66,20-21
Ragnar Ache,Eintracht Frankfurt,6.66,20-21
Christian Gentner,1. FC Union Berlin,6.66,20-21
Nils Seufert,Arminia Bielefeld,6.65,20-21
Benjamin Stambouli,FC Schalke 04,6.65,20-21
Cedric Teuchert,1. FC Union Berlin,6.65,20-21
Javairô Dilrosun,Hertha BSC,6.65,20-21
Jannes Horn,1. FC Köln,6.65,20-21
Yuya Osako,SV Werder Bremen,6.65,20-21
Marcus Ingvartsen,1. FC Union Berlin,6.65,20-21
Mads Pedersen,FC Augsburg,6.65,20-21
Pierre Kunde,1. FSV Mainz 05,6.65,20-21
Tobias Strobl,FC Augsburg,6.64,20-21
Romano Schmid,SV Werder Bremen,6.64,20-21
Keita Endo,1. FC Union Berlin,6.64,20-21
Benno Schmitz,1. FC Köln,6.64,20-21
Ibrahima Traoré,Borussia M'gladbach,6.64,20-21
Matija Nastasić,FC Schalke 04,6.64,20-21
Sven Schipplock,Arminia Bielefeld,6.64,20-21
Timothy Chandler,Eintracht Frankfurt,6.64,20-21
Dimitris Limnios,1. FC Köln,6.64,20-21
Julian Ryerson,1. FC Union Berlin,6.63,20-21
Klaas-Jan Huntelaar,FC Schalke 04,6.63,20-21
Mehmet Aydın,FC Schalke 04,6.63,20-21
Yannik Keitel,SC Freiburg,6.63,20-21
Akaki Gogia,1. FC Union Berlin,6.63,20-21
Victor Sá,VfL Wolfsburg,6.63,20-21
Jóan Edmundsson,Arminia Bielefeld,6.63,20-21
Mijat Gaćinović,TSG Hoffenheim,6.63,20-21
Melayro Bogarde,TSG Hoffenheim,6.63,20-21
Taiwo Awoniyi,1. FC Union Berlin,6.62,20-21
Lazar Samardžić,RB Leipzig,6.62,20-21
Sead Kolašinac,FC Schalke 04,6.61,20-21
Justin Kluivert,RB Leipzig,6.61,20-21
Pascal Stenzel,VfB Stuttgart,6.61,20-21
Niko Giesselmann,1. FC Union Berlin,6.61,20-21
Tanguy Coulibaly,VfB Stuttgart,6.61,20-21
Benito Raman,FC Schalke 04,6.6,20-21
Yann Sommer,Borussia M'gladbach,6.6,20-21
Tahith Chong,SV Werder Bremen,6.6,20-21
Nishan Burkart,SC Freiburg,6.6,20-21
Jonas Michelbrink,Hertha BSC,6.6,20-21
Nick Woltemade,SV Werder Bremen,6.6,20-21
Emmanuel Dennis,1. FC Köln,6.6,20-21
Tolu Arokodare,1. FC Köln,6.6,20-21
Roberto Massimo,VfB Stuttgart,6.59,20-21
Lukas Klünter,Hertha BSC,6.59,20-21
Raphael Framberger,FC Augsburg,6.59,20-21
Tuta,Eintracht Frankfurt,6.59,20-21
Lino Tempelmann,SC Freiburg,6.59,20-21
Mathew Leckie,Hertha BSC,6.59,20-21
Luca Netz,Hertha BSC,6.58,20-21
Fabian Kunze,Arminia Bielefeld,6.58,20-21
Jan Thielmann,1. FC Köln,6.58,20-21
Florian Flick,FC Schalke 04,6.58,20-21
Eduard Löwen,Hertha BSC,6.58,20-21
Sergio Córdova,Arminia Bielefeld,6.57,20-21
Ishak Belfodil,TSG Hoffenheim,6.57,20-21
Tony Jantschke,Borussia M'gladbach,6.57,20-21
William,FC Schalke 04,6.56,20-21
Darko Churlinov,VfB Stuttgart,6.56,20-21
Salih Özcan,1. FC Köln,6.55,20-21
Johannes Eggestein,SV Werder Bremen,6.55,20-21
Joscha Wosz,RB Leipzig,6.55,20-21
Tim Civeja,FC Augsburg,6.55,20-21
Marco Höger,1. FC Köln,6.55,20-21
Paul Nebel,1. FSV Mainz 05,6.55,20-21
Dong-Won Ji,1. FSV Mainz 05,6.55,20-21
Oscar Wendt,Borussia M'gladbach,6.55,20-21
Marc Roca,FC Bayern München,6.54,20-21
Ahmed Kutucu,FC Schalke 04,6.54,20-21
Janik Haberer,SC Freiburg,6.54,20-21
Chang-Hoon Kwon,SC Freiburg,6.54,20-21
Hannes Wolf,Borussia M'gladbach,6.54,20-21
Jean-Manuel Mbom,SV Werder Bremen,6.54,20-21
Christian Gebauer,Arminia Bielefeld,6.53,20-21
Amir Abrashi,SC Freiburg,6.53,20-21
Ozan Kabak,FC Schalke 04,6.53,20-21
João Klauss,TSG Hoffenheim,6.53,20-21
Ádám Szalai,1. FSV Mainz 05,6.52,20-21
Alfreð Finnbogason,FC Augsburg,6.52,20-21
Hee-Chan Hwang,RB Leipzig,6.52,20-21
Daniel Ginczek,VfL Wolfsburg,6.52,20-21
Nassim Boujellab,FC Schalke 04,6.52,20-21
Daishawn Redan,Hertha BSC,6.51,20-21
Fredrik Jensen,FC Augsburg,6.51,20-21
Nico Schulz,Borussia Dortmund,6.51,20-21
Robert Gumny,FC Augsburg,6.5,20-21
Henning Matriciani,FC Schalke 04,6.5,20-21
Tim Maciejewski,1. FC Union Berlin,6.5,20-21
Philipp Bargfrede,SV Werder Bremen,6.5,20-21
Luca Mack,VfB Stuttgart,6.5,20-21
Issah Abass,1. FSV Mainz 05,6.5,20-21
Christopher Scott,FC Bayern München,6.5,20-21
Jan Luca Schuler,FC Schalke 04,6.5,20-21
Dennis Borkowski,RB Leipzig,6.5,20-21
Maximilian Beier,TSG Hoffenheim,6.5,20-21
Hamza Mendyl,FC Schalke 04,6.5,20-21
Momo Cissé,VfB Stuttgart,6.5,20-21
Jan Morávek,FC Augsburg,6.5,20-21
Steven Skrzybski,FC Schalke 04,6.5,20-21
Timo Becker,FC Schalke 04,6.5,20-21
Sava Arangel Čestić,1. FC Köln,6.49,20-21
Sebastian Griesbeck,1. FC Union Berlin,6.49,20-21
Bastian Oczipka,FC Schalke 04,6.49,20-21
Guus Til,SC Freiburg,6.48,20-21
Cebio Soukou,Arminia Bielefeld,6.48,20-21
Finn Dahmen,1. FSV Mainz 05,6.47,20-21
Brian Behrendt,Arminia Bielefeld,6.47,20-21
Hamadi Al Ghaddioui,VfB Stuttgart,6.47,20-21
Reinhold Yabo,Arminia Bielefeld,6.46,20-21
Jeremie Frimpong,Bayer 04 Leverkusen,6.46,20-21
Frederik Sørensen,1. FC Köln,6.45,20-21
Patrick Erras,SV Werder Bremen,6.45,20-21
Can Bozdoğan,FC Schalke 04,6.44,20-21
Michael Langer,FC Schalke 04,6.43,20-21
Deyovaisio Zeefuik,Hertha BSC,6.43,20-21
Nabil Bentaleb,FC Schalke 04,6.42,20-21
Tanguy Nianzou,FC Bayern München,6.42,20-21
Alexander Nübel,FC Bayern München,6.4,20-21
Josep Martínez,RB Leipzig,6.4,20-21
Mohamed Sankoh,VfB Stuttgart,6.4,20-21
Emrehan Gedikli,Bayer 04 Leverkusen,6.4,20-21
Jimmy Kaparos,FC Schalke 04,6.4,20-21
Leon Dajaku,1. FC Union Berlin,6.4,20-21
Davy Klaassen,SV Werder Bremen,6.4,20-21
Kilian Ludewig,FC Schalke 04,6.4,20-21
Nathan De Medina,Arminia Bielefeld,6.39,20-21
Kerim Çalhanoğlu,FC Schalke 04,6.38,20-21
Anthony Modeste,1. FC Köln,6.37,20-21
Konrad Laimer,RB Leipzig,6.37,20-21
Eren Dinkçi,SV Werder Bremen,6.36,20-21
Vedad Ibišević,FC Schalke 04,6.35,20-21
Alessandro Schöpf,FC Schalke 04,6.31,20-21
Michaël Cuisance,FC Bayern München,6.3,20-21
Yunus Malli,VfL Wolfsburg,6.3,20-21
Jacob Bruun Larsen,TSG Hoffenheim,6.3,20-21
Lilian Egloff,VfB Stuttgart,6.3,20-21
Noah Joel Sarenren Bazee,FC Augsburg,6.25,20-21
Rabbi Matondo,FC Schalke 04,6.23,20-21
Jonas Dirkner,Hertha BSC,6.2,20-21
Niklas Lomb,Bayer 04 Leverkusen,6.15,20-21
Naouirou Ahamada,VfB Stuttgart,6.02,20-21
Omar Marmoush,VfL Wolfsburg,0.0,20-21
Ilia Gruev,SV Werder Bremen,0.0,20-21
Münir Levent Mercan,FC Schalke 04,0.0,20-21
Lukas Petkov,FC Augsburg,0.0,20-21
Joshua Brenet,TSG Hoffenheim,0.0,20-21
Vasilios Pavlidis,FC Schalke 04,0.0,20-21
Matondo-Merveille Papela,1. FSV Mainz 05,0.0,20-21
Marten Winkler,Hertha BSC,0.0,20-21
Mikail Maden,FC Schalke 04,0.0,20-21
Sebastian Müller,Arminia Bielefeld,0.0,20-21
Stefanos Kapino,Arminia Bielefeld,7.8,21-22
Joshua Kimmich,FC Bayern München,7.79,21-22
Erling Haaland,Borussia Dortmund,7.66,21-22
Christopher Nkunku,RB Leipzig,7.59,21-22
Robert Lewandowski,FC Bayern München,7.47,21-22
Jonas Hofmann,Borussia M'gladbach,7.41,21-22
Florian Wirtz,Bayer 04 Leverkusen,7.36,21-22
Nico Schlotterbeck,SC Freiburg,7.35,21-22
Serge Gnabry,FC Bayern München,7.33,21-22
Thomas Müller,FC Bayern München,7.33,21-22
Maximilian Arnold,VfL Wolfsburg,7.31,21-22
Vincenzo Grifo,SC Freiburg,7.31,21-22
David Raum,TSG Hoffenheim,7.29,21-22
Borna Sosa,VfB Stuttgart,7.26,21-22
Patrik Schick,Bayer 04 Leverkusen,7.26,21-22
Filip Kostić,Eintracht Frankfurt,7.25,21-22
Kerem Demirbay,Bayer 04 Leverkusen,7.23,21-22
Alassane Pléa,Borussia M'gladbach,7.23,21-22
Jonas Wind,VfL Wolfsburg,7.23,21-22
Anthony Modeste,1. FC Köln,7.21,21-22
Max Kruse,VfL Wolfsburg,7.21,21-22
Florian Grillitsch,TSG Hoffenheim,7.21,21-22
Julian Brandt,Borussia Dortmund,7.2,21-22
Lennart Grill,Bayer 04 Leverkusen,7.2,21-22
Philipp Klement,VfB Stuttgart,7.18,21-22
Marco Reus,Borussia Dortmund,7.18,21-22
Lucas Höler,SC Freiburg,7.16,21-22
Willi Orbán,RB Leipzig,7.16,21-22
Ellyes Skhiri,1. FC Köln,7.15,21-22
Jeremiah St. Juste,1. FSV Mainz 05,7.15,21-22
Timo Hübers,1. FC Köln,7.15,21-22
Dayot Upamecano,FC Bayern München,7.15,21-22
Mark Uth,1. FC Köln,7.14,21-22
Konstantinos Mavropanos,VfB Stuttgart,7.13,21-22
Evan Ndicka,Eintracht Frankfurt,7.12,21-22
Leon Goretzka,FC Bayern München,7.12,21-22
Angeliño,RB Leipzig,7.12,21-22
Nicolas Höfler,SC Freiburg,7.12,21-22
Danilo Soares,VfL Bochum 1848,7.11,21-22
Benjamin Pavard,FC Bayern München,7.11,21-22
Joško Gvardiol,RB Leipzig,7.1,21-22
Michaël Cuisance,FC Bayern München,7.1,21-22
Sheraldo Becker,1. FC Union Berlin,7.09,21-22
Andrej Kramarić,TSG Hoffenheim,7.08,21-22
Dominik Szoboszlai,RB Leipzig,7.08,21-22
Moussa Diaby,Bayer 04 Leverkusen,7.07,21-22
Saša Kalajdžić,VfB Stuttgart,7.07,21-22
Florian Kainz,1. FC Köln,7.07,21-22
Christopher Trimmel,1. FC Union Berlin,7.06,21-22
Jonas Hector,1. FC Köln,7.06,21-22
Mats Hummels,Borussia Dortmund,7.05,21-22
Niklas Süle,FC Bayern München,7.05,21-22
Kingsley Coman,FC Bayern München,7.04,21-22
Alphonso Davies,FC Bayern München,7.04,21-22
Chris Führich,VfB Stuttgart,7.04,21-22
Anton Stach,1. FSV Mainz 05,7.04,21-22
Leroy Sané,FC Bayern München,7.04,21-22
Alexander Hack,1. FSV Mainz 05,7.03,21-22
Stefan Ortega,Arminia Bielefeld,7.03,21-22
Aarón Martín,1. FSV Mainz 05,7.03,21-22
Marvin Plattenhardt,Hertha BSC,7.02,21-22
Manuel Riemann,VfL Bochum 1848,7.02,21-22
Marvin Schwäbe,1. FC Köln,7.02,21-22
Philipp Lienhart,SC Freiburg,7.01,21-22
Lucas Hernández,FC Bayern München,7.01,21-22
Edmond Tapsoba,Bayer 04 Leverkusen,7.0,21-22
Benjamin Hübner,TSG Hoffenheim,7.0,21-22
Diant Ramaj,Eintracht Frankfurt,7.0,21-22
Lukáš Hrádecký,Bayer 04 Leverkusen,7.0,21-22
Emre Can,Borussia Dortmund,7.0,21-22
Maxence Lacroix,VfL Wolfsburg,6.99,21-22
Reece Oxford,FC Augsburg,6.99,21-22
Donyell Malen,Borussia Dortmund,6.99,21-22
Stevan Jovetić,Hertha BSC,6.98,21-22
Fabian Bredlow,VfB Stuttgart,6.98,21-22
Corentin Tolisso,FC Bayern München,6.97,21-22
Michael Gregoritsch,FC Augsburg,6.96,21-22
Jonathan Tah,Bayer 04 Leverkusen,6.96,21-22
Jude Bellingham,Borussia Dortmund,6.96,21-22
Manuel Akanji,Borussia Dortmund,6.96,21-22
Wataru Endo,VfB Stuttgart,6.96,21-22
Simon Zoller,VfL Bochum 1848,6.96,21-22
Breel Embolo,Borussia M'gladbach,6.96,21-22
Lars Stindl,Borussia M'gladbach,6.96,21-22
Silvan Widmer,1. FSV Mainz 05,6.95,21-22
Bastian Oczipka,1. FC Union Berlin,6.95,21-22
Yann Sommer,Borussia M'gladbach,6.95,21-22
Kevin Trapp,Eintracht Frankfurt,6.95,21-22
Matthias Ginter,Borussia M'gladbach,6.95,21-22
Florian Neuhaus,Borussia M'gladbach,6.95,21-22
Anthony Losilla,VfL Bochum 1848,6.95,21-22
Dani Olmo,RB Leipzig,6.95,21-22
Danny Blum,VfL Bochum 1848,6.95,21-22
Mahmoud Dahoud,Borussia Dortmund,6.95,21-22
Wout Weghorst,VfL Wolfsburg,6.94,21-22
Amos Pieper,Arminia Bielefeld,6.94,21-22
Mark Flekken,SC Freiburg,6.94,21-22
Mohamed Simakan,RB Leipzig,6.94,21-22
Marcel Halstenberg,RB Leipzig,6.94,21-22
Moussa Niakhaté,1. FSV Mainz 05,6.94,21-22
Niklas Dorsch,FC Augsburg,6.94,21-22
Thomas Meunier,Borussia Dortmund,6.94,21-22
Dennis Geiger,TSG Hoffenheim,6.94,21-22
Ramy Bensebaini,Borussia M'gladbach,6.93,21-22
Steffen Tigges,Borussia Dortmund,6.93,21-22
Maxim Leitsch,VfL Bochum 1848,6.93,21-22
Manuel Neuer,FC Bayern München,6.93,21-22
Amadou Haidara,RB Leipzig,6.92,21-22
Timo Baumgartl,1. FC Union Berlin,6.92,21-22
Iago Borduchi,FC Augsburg,6.92,21-22
John Brooks,VfL Wolfsburg,6.92,21-22
Raphaël Guerreiro,Borussia Dortmund,6.91,21-22
Manu Koné,Borussia M'gladbach,6.91,21-22
Guilherme Ramos,Arminia Bielefeld,6.91,21-22
Jamal Musiala,FC Bayern München,6.91,21-22
Taiwo Awoniyi,1. FC Union Berlin,6.91,21-22
Robert Andrich,Bayer 04 Leverkusen,6.9,21-22
Arne Maier,FC Augsburg,6.9,21-22
Georginio Rutter,TSG Hoffenheim,6.9,21-22
Christian Günter,SC Freiburg,6.9,21-22
Lukas Kübler,SC Freiburg,6.9,21-22
Tom Rothe,Borussia Dortmund,6.9,21-22
Josip Brekalo,VfL Wolfsburg,6.9,21-22
Christopher Lenz,Eintracht Frankfurt,6.9,21-22
Clinton Mola,VfB Stuttgart,6.9,21-22
Robin Knoche,1. FC Union Berlin,6.9,21-22
Niko Giesselmann,1. FC Union Berlin,6.9,21-22
Paul Jaeckel,1. FC Union Berlin,6.9,21-22
Charles Aránguiz,Bayer 04 Leverkusen,6.89,21-22
Atakan Karazor,VfB Stuttgart,6.89,21-22
Robin Zentner,1. FSV Mainz 05,6.89,21-22
Joakim Nilsson,Arminia Bielefeld,6.89,21-22
Hiroki Ito,VfB Stuttgart,6.89,21-22
Daniel Caligiuri,FC Augsburg,6.89,21-22
Lukas Klostermann,RB Leipzig,6.89,21-22
Salih Özcan,1. FC Köln,6.89,21-22
Benjamin Henrichs,RB Leipzig,6.89,21-22
Waldemar Anton,VfB Stuttgart,6.89,21-22
Paulo Otávio,VfL Wolfsburg,6.89,21-22
Tuta,Eintracht Frankfurt,6.88,21-22
Sebastian Polter,VfL Bochum 1848,6.88,21-22
Emil Forsberg,RB Leipzig,6.88,21-22
Koen Casteels,VfL Wolfsburg,6.88,21-22
Rafael Borré,Eintracht Frankfurt,6.88,21-22
Cédric Brunner,Arminia Bielefeld,6.88,21-22
Jesper Lindstrøm,Eintracht Frankfurt,6.88,21-22
Denis Zakaria,Borussia M'gladbach,6.88,21-22
Josuha Guilavogui,VfL Wolfsburg,6.87,21-22
Djibril Sow,Eintracht Frankfurt,6.87,21-22
Alessandro Schöpf,Arminia Bielefeld,6.87,21-22
Jae-sung Lee,1. FSV Mainz 05,6.87,21-22
Konstantinos Stafylidis,VfL Bochum 1848,6.87,21-22
Giovanni Reyna,Borussia Dortmund,6.87,21-22
Maximilian Mittelstädt,Hertha BSC,6.87,21-22
Tony Jantschke,Borussia M'gladbach,6.87,21-22
Exequiel Palacios,Bayer 04 Leverkusen,6.87,21-22
Erhan Mašović,VfL Bochum 1848,6.86,21-22
Jean-Paul Boëtius,1. FSV Mainz 05,6.86,21-22
Jeffrey Gouweleeuw,FC Augsburg,6.86,21-22
Diadié Samassékou,TSG Hoffenheim,6.86,21-22
Leandro Barreiro,1. FSV Mainz 05,6.86,21-22
Oliver Baumann,TSG Hoffenheim,6.85,21-22
Sven Michel,1. FC Union Berlin,6.85,21-22
Daichi Kamada,Eintracht Frankfurt,6.85,21-22
Jonathan Burkardt,1. FSV Mainz 05,6.85,21-22
Pavao Pervan,VfL Wolfsburg,6.85,21-22
Makoto Hasebe,Eintracht Frankfurt,6.85,21-22
Axel Witsel,Borussia Dortmund,6.85,21-22
Amine Adli,Bayer 04 Leverkusen,6.85,21-22
Ridle Baku,VfL Wolfsburg,6.85,21-22
Konrad Laimer,RB Leipzig,6.84,21-22
Jordan Torunarigha,Hertha BSC,6.84,21-22
Erik Durm,Eintracht Frankfurt,6.84,21-22
Péter Gulácsi,RB Leipzig,6.84,21-22
Marc-Oliver Kempf,Hertha BSC,6.84,21-22
Grischa Prömel,1. FC Union Berlin,6.84,21-22
Kevin Stöger,1. FSV Mainz 05,6.84,21-22
Roland Sallai,SC Freiburg,6.84,21-22
Marvin Friedrich,Borussia M'gladbach,6.84,21-22
Ihlas Bebou,TSG Hoffenheim,6.84,21-22
Nico Elvedi,Borussia M'gladbach,6.84,21-22
Marco Richter,Hertha BSC,6.83,21-22
Miloš Pantović,VfL Bochum 1848,6.83,21-22
Paulinho,Bayer 04 Leverkusen,6.83,21-22
Sardar Azmoun,Bayer 04 Leverkusen,6.83,21-22
Max Christiansen,SpVgg Greuther Fürth,6.83,21-22
Karim Onisiwo,1. FSV Mainz 05,6.83,21-22
Jonathan Schmid,SC Freiburg,6.83,21-22
Jordan Beyer,Borussia M'gladbach,6.83,21-22
Gregor Kobel,Borussia Dortmund,6.82,21-22
Vladimír Darida,Hertha BSC,6.82,21-22
Rafał Gikiewicz,FC Augsburg,6.82,21-22
Patrick Wimmer,Arminia Bielefeld,6.82,21-22
Yannick Gerhardt,VfL Wolfsburg,6.82,21-22
Kevin Kampl,RB Leipzig,6.82,21-22
Jürgen Locadia,VfL Bochum 1848,6.82,21-22
Santiago Ascacíbar,Hertha BSC,6.82,21-22
Armel Bella-Kotchap,VfL Bochum 1848,6.82,21-22
Niklas Stark,Hertha BSC,6.82,21-22
Christoph Baumgartner,TSG Hoffenheim,6.81,21-22
Frederik Rønnow,1. FC Union Berlin,6.81,21-22
Keven Schlotterbeck,SC Freiburg,6.81,21-22
Suat Serdar,Hertha BSC,6.81,21-22
Alfreð Finnbogason,FC Augsburg,6.81,21-22
Nordi Mukiele,RB Leipzig,6.81,21-22
Patrick Herrmann,Borussia M'gladbach,6.81,21-22
Martin Hinteregger,Eintracht Frankfurt,6.81,21-22
Xaver Schlager,VfL Wolfsburg,6.81,21-22
Tanguy Nianzou,FC Bayern München,6.81,21-22
Lucas Alario,Bayer 04 Leverkusen,6.8,21-22
Omar Marmoush,VfB Stuttgart,6.8,21-22
Piero Hincapié,Bayer 04 Leverkusen,6.8,21-22
Branimir Hrgota,SpVgg Greuther Fürth,6.8,21-22
Eric Maxim Choupo-Moting,FC Bayern München,6.8,21-22
Karim Bellarabi,Bayer 04 Leverkusen,6.8,21-22
Rafael Czichos,1. FC Köln,6.8,21-22
Lucas Copado,FC Bayern München,6.8,21-22
Mike van der Hoorn,Arminia Bielefeld,6.8,21-22
Lennard Maloney,Borussia Dortmund,6.8,21-22
Anthony Ujah,1. FC Union Berlin,6.8,21-22
Michael Esser,VfL Bochum 1848,6.8,21-22
Bouna Sarr,FC Bayern München,6.8,21-22
Timothy Fosu-Mensah,Bayer 04 Leverkusen,6.8,21-22
Andreas Linde,SpVgg Greuther Fürth,6.8,21-22
Eduard Löwen,VfL Bochum 1848,6.8,21-22
Thorgan Hazard,Borussia Dortmund,6.8,21-22
Cristian Gamboa,VfL Bochum 1848,6.8,21-22
Chris Richards,TSG Hoffenheim,6.79,21-22
Fabian Klos,Arminia Bielefeld,6.79,21-22
Omar Richards,FC Bayern München,6.79,21-22
Josip Stanišić,FC Bayern München,6.79,21-22
Sebastiaan Bornauw,VfL Wolfsburg,6.79,21-22
Stefan Bell,1. FSV Mainz 05,6.79,21-22
Kingsley Ehizibue,1. FC Köln,6.79,21-22
Benno Schmitz,1. FC Köln,6.79,21-22
Aster Vranckx,VfL Wolfsburg,6.79,21-22
Jan Thielmann,1. FC Köln,6.79,21-22
Woo-Yeong Jeong,SC Freiburg,6.78,21-22
Gonçalo Paciência,Eintracht Frankfurt,6.78,21-22
Nils Petersen,SC Freiburg,6.78,21-22
Wahid Faghir,VfB Stuttgart,6.78,21-22
Rani Khedira,1. FC Union Berlin,6.78,21-22
Ishak Belfodil,Hertha BSC,6.78,21-22
Vasilis Lampropoulos,VfL Bochum 1848,6.78,21-22
Micky van de Ven,VfL Wolfsburg,6.78,21-22
Takuma Asano,VfL Bochum 1848,6.77,21-22
Marcus Thuram,Borussia M'gladbach,6.77,21-22
Pascal Stenzel,VfB Stuttgart,6.77,21-22
Genki Haraguchi,1. FC Union Berlin,6.77,21-22
Jeremie Frimpong,Bayer 04 Leverkusen,6.77,21-22
Andreas Voglsammer,1. FC Union Berlin,6.77,21-22
Julian Ryerson,1. FC Union Berlin,6.77,21-22
Lukas Nmecha,VfL Wolfsburg,6.76,21-22
Pavel Kadeřábek,TSG Hoffenheim,6.76,21-22
András Schäfer,1. FC Union Berlin,6.76,21-22
Luca Kilian,1. FC Köln,6.76,21-22
Soma Novothny,VfL Bochum 1848,6.76,21-22
Odilon Kossounou,Bayer 04 Leverkusen,6.76,21-22
Marco Meyerhofer,SpVgg Greuther Fürth,6.76,21-22
Renato Steffen,VfL Wolfsburg,6.76,21-22
Maximilian Eggestein,SC Freiburg,6.75,21-22
Timo Horn,1. FC Köln,6.75,21-22
Marcus Ingvartsen,1. FSV Mainz 05,6.75,21-22
Mitchel Bakker,Bayer 04 Leverkusen,6.75,21-22
Håvard Nordtveit,TSG Hoffenheim,6.75,21-22
Ansgar Knauff,Eintracht Frankfurt,6.75,21-22
Stefan Posch,TSG Hoffenheim,6.75,21-22
Marcel Sabitzer,FC Bayern München,6.74,21-22
Kevin Mbabu,VfL Wolfsburg,6.74,21-22
Dedryck Boyata,Hertha BSC,6.74,21-22
André Hahn,FC Augsburg,6.74,21-22
Angelo Stiller,TSG Hoffenheim,6.74,21-22
André Silva,RB Leipzig,6.74,21-22
Tiago Tomás,VfB Stuttgart,6.74,21-22
Jamie Bynoe-Gittens,Borussia Dortmund,6.73,21-22
Daniel Brosinski,1. FSV Mainz 05,6.73,21-22
Gerrit Holtmann,VfL Bochum 1848,6.73,21-22
Sebastian Rode,Eintracht Frankfurt,6.72,21-22
Dejan Ljubičić,1. FC Köln,6.72,21-22
Munas Dabbur,TSG Hoffenheim,6.72,21-22
Marc Roca,FC Bayern München,6.72,21-22
Timothy Tillman,SpVgg Greuther Fürth,6.72,21-22
Robert Skov,TSG Hoffenheim,6.72,21-22
Ondrej Duda,1. FC Köln,6.71,21-22
Dominik Kohr,1. FSV Mainz 05,6.71,21-22
Hamadi Al Ghaddioui,VfB Stuttgart,6.71,21-22
Andreas Luthe,1. FC Union Berlin,6.71,21-22
Kevin Vogt,TSG Hoffenheim,6.71,21-22
Dan-Axel Zagadou,Borussia Dortmund,6.71,21-22
Masaya Okugawa,Arminia Bielefeld,6.71,21-22
Philipp Förster,VfB Stuttgart,6.71,21-22
Kevin Schade,SC Freiburg,6.7,21-22
Jacob Bruun Larsen,TSG Hoffenheim,6.7,21-22
Yussuf Poulsen,RB Leipzig,6.7,21-22
Florian Niederlechner,FC Augsburg,6.7,21-22
Sebastian Andersson,1. FC Köln,6.7,21-22
Matheus Cunha,Hertha BSC,6.7,21-22
Saulo Decarli,VfL Bochum 1848,6.7,21-22
Daniel Ginczek,VfL Wolfsburg,6.7,21-22
Luca Wollschläger,Hertha BSC,6.7,21-22
Malik Tillman,FC Bayern München,6.7,21-22
Julian Chabot,1. FC Köln,6.7,21-22
Frederik Winther,FC Augsburg,6.7,21-22
Edimilson Fernandes,Arminia Bielefeld,6.7,21-22
Erik Thommy,VfB Stuttgart,6.7,21-22
Sascha Burchert,SpVgg Greuther Fürth,6.7,21-22
Florian Müller,VfB Stuttgart,6.7,21-22
Kevin Behrens,1. FC Union Berlin,6.7,21-22
Nico Schulz,Borussia Dortmund,6.69,21-22
László Bénes,Borussia M'gladbach,6.69,21-22
Stefan Ilsanker,Eintracht Frankfurt,6.69,21-22
Christoph Kramer,Borussia M'gladbach,6.69,21-22
Daniel Didavi,VfB Stuttgart,6.69,21-22
Dominique Heintz,1. FC Union Berlin,6.69,21-22
Orel Mangala,VfB Stuttgart,6.69,21-22
Hannes Wolf,Borussia M'gladbach,6.69,21-22
Davie Selke,Hertha BSC,6.68,21-22
Gonzalo Castro,Arminia Bielefeld,6.68,21-22
Gian-Luca Itter,SpVgg Greuther Fürth,6.68,21-22
Maximilian Philipp,VfL Wolfsburg,6.68,21-22
Tyler Adams,RB Leipzig,6.68,21-22
Jamie Leweling,SpVgg Greuther Fürth,6.68,21-22
Mads Pedersen,FC Augsburg,6.68,21-22
Jacob Barrett Laursen,Arminia Bielefeld,6.68,21-22
Fredrik Jensen,FC Augsburg,6.68,21-22
Alexis Tibidi,VfB Stuttgart,6.68,21-22
Manuel Gulde,SC Freiburg,6.68,21-22
Ajdin Hrustić,Eintracht Frankfurt,6.67,21-22
