player,team,rating,season
Jorginho,Chelsea,7.04,18-19
Wilfred Ndidi,Leicester City,7.04,18-19
Danny Ings,Southampton,7.03,18-19
Aleksandar Mitrović,Fulham,7.03,18-19
Dele Alli,Tottenham Hotspur,7.03,18-19
Aaron Wan-Bissaka,Crystal Palace,7.03,18-19
Étienne Capoue,Watford,7.02,18-19
Ciaran Clark,Newcastle United,7.02,18-19
Sol Bamba,Cardiff City,7.02,18-19
Henrikh Mkhitaryan,Arsenal,7.02,18-19
Marko Arnautović,West Ham United,7.01,18-19
Gerard Deulofeu,Watford,7.01,18-19
Pascal Groß,Brighton &amp; Hove Albion,7.01,18-19
Salomón Rondón,Newcastle United,7.01,18-19
Michael Keane,Everton,7.01,18-19
Troy Deeney,Watford,7.0,18-19
Andros Townsend,Crystal Palace,7.0,18-19
Anthony Martial,Manchester United,7.0,18-19
Ashley Young,Manchester United,7.0,18-19
Michel Vorm,Tottenham Hotspur,7.0,18-19
Florian Lejeune,Newcastle United,7.0,18-19
Mesut Özil,Arsenal,7.0,18-19
Jan Vertonghen,Tottenham Hotspur,7.0,18-19
Alisson,Liverpool,6.99,18-19
Romain Saïss,Wolverhampton,6.99,18-19
Phil Jones,Manchester United,6.99,18-19
Issa Diop,West Ham United,6.99,18-19
Steve Cook,Bournemouth,6.99,18-19
Nacho Monreal,Arsenal,6.99,18-19
Miguel Almirón,Newcastle United,6.98,18-19
Ashley Westwood,Burnley,6.98,18-19
Jannik Vestergaard,Southampton,6.98,18-19
Willy Boly,Wolverhampton,6.98,18-19
Matt Doherty,Wolverhampton,6.98,18-19
Ryan Babel,Fulham,6.98,18-19
Wilfried Zaha,Crystal Palace,6.97,18-19
Marcus Rashford,Manchester United,6.97,18-19
Shkodran Mustafi,Arsenal,6.97,18-19
Antonio Rüdiger,Chelsea,6.97,18-19
Matt Targett,Southampton,6.97,18-19
Joshua King,Bournemouth,6.97,18-19
José Holebas,Watford,6.96,18-19
Ander Herrera,Manchester United,6.96,18-19
Aaron Mooy,Huddersfield Town,6.96,18-19
Joe Gomez,Liverpool,6.96,18-19
Jamaal Lascelles,Newcastle United,6.96,18-19
Ricardo Pereira,Leicester City,6.95,18-19
Xherdan Shaqiri,Liverpool,6.95,18-19
Pierre-Emile Højbjerg,Southampton,6.95,18-19
Jean Michaël Seri,Fulham,6.95,18-19
Jack Wilshere,West Ham United,6.95,18-19
Rúben Neves,Wolverhampton,6.95,18-19
James Ward-Prowse,Southampton,6.95,18-19
Łukasz Fabiański,West Ham United,6.94,18-19
Diogo Jota,Wolverhampton,6.94,18-19
Ben Mee,Burnley,6.94,18-19
Declan Rice,West Ham United,6.94,18-19
Nathan Aké,Bournemouth,6.94,18-19
David Brooks,Bournemouth,6.94,18-19
Patrick van Aanholt,Crystal Palace,6.94,18-19
Antonio Valencia,Manchester United,6.93,18-19
Juan Mata,Manchester United,6.93,18-19
Bernardo,Brighton &amp; Hove Albion,6.93,18-19
Luke Shaw,Manchester United,6.93,18-19
Michy Batshuayi,Crystal Palace,6.93,18-19
Jordan Henderson,Liverpool,6.93,18-19
Vicente Guaita,Crystal Palace,6.93,18-19
Gonzalo Higuaín,Chelsea,6.92,18-19
Isaac Hayden,Newcastle United,6.92,18-19
Daryl Janmaat,Watford,6.91,18-19
Kurt Zouma,Everton,6.91,18-19
Callum Hudson-Odoi,Chelsea,6.91,18-19
Ruben Loftus-Cheek,Chelsea,6.91,18-19
Wes Morgan,Leicester City,6.9,18-19
Fabinho,Liverpool,6.9,18-19
Solly March,Brighton &amp; Hove Albion,6.9,18-19
Fabian Delph,Manchester City,6.9,18-19
Konstantinos Mavropanos,Arsenal,6.9,18-19
Nathaniel Méndez-Laing,Cardiff City,6.9,18-19
Ashley Barnes,Burnley,6.89,18-19
Romelu Lukaku,Manchester United,6.89,18-19
Jefferson Lerma,Bournemouth,6.89,18-19
Ayoze Pérez,Newcastle United,6.89,18-19
Lewis Dunk,Brighton &amp; Hove Albion,6.89,18-19
Erik Lamela,Tottenham Hotspur,6.89,18-19
Sean Longstaff,Newcastle United,6.89,18-19
Mario Lemina,Southampton,6.89,18-19
Jan Bednarek,Southampton,6.88,18-19
Maya Yoshida,Southampton,6.88,18-19
Lucas Torreira,Arsenal,6.88,18-19
Ross Barkley,Chelsea,6.88,18-19
Sokratis,Arsenal,6.88,18-19
Phil Foden,Manchester City,6.88,18-19
Nathan Redmond,Southampton,6.88,18-19
Ederson,Manchester City,6.88,18-19
Dwight McNeil,Burnley,6.88,18-19
Daniel Sturridge,Liverpool,6.87,18-19
Robert Snodgrass,West Ham United,6.87,18-19
N'Golo Kanté,Chelsea,6.87,18-19
Adama Traoré,Wolverhampton,6.87,18-19
Tom Cairney,Fulham,6.87,18-19
Alexis Sánchez,Manchester United,6.87,18-19
Javier Hernández,West Ham United,6.87,18-19
Jonny Evans,Leicester City,6.87,18-19
Kevin Long,Burnley,6.87,18-19
Christian Fuchs,Leicester City,6.87,18-19
James Tomkins,Crystal Palace,6.87,18-19
Sean Morrison,Cardiff City,6.86,18-19
Neil Etheridge,Cardiff City,6.86,18-19
Mamadou Sakho,Crystal Palace,6.86,18-19
Harvey Barnes,Leicester City,6.86,18-19
Hamza Choudhury,Leicester City,6.86,18-19
Sung-Yueng Ki,Newcastle United,6.86,18-19
Jóhann Guðmundsson,Burnley,6.86,18-19
Samir Nasri,West Ham United,6.86,18-19
Morgan Schneiderlin,Everton,6.86,18-19
Aaron Ramsey,Arsenal,6.86,18-19
Scott Dann,Crystal Palace,6.86,18-19
Chris Wood,Burnley,6.86,18-19
Georginio Wijnaldum,Liverpool,6.85,18-19
Fabián Balbuena,West Ham United,6.85,18-19
Jesse Lingard,Manchester United,6.85,18-19
Bernd Leno,Arsenal,6.85,18-19
Angelo Ogbonna,West Ham United,6.85,18-19
Chris Smalling,Manchester United,6.85,18-19
Leander Dendoncker,Wolverhampton,6.84,18-19
Kepa Arrizabalaga,Chelsea,6.84,18-19
Christian Benteke,Crystal Palace,6.84,18-19
Lucas Moura,Tottenham Hotspur,6.84,18-19
Mark Noble,West Ham United,6.84,18-19
Gabriel Jesus,Manchester City,6.83,18-19
Marc Albrighton,Leicester City,6.83,18-19
Zanka,Huddersfield Town,6.83,18-19
Danny Rose,Tottenham Hotspur,6.83,18-19
Divock Origi,Liverpool,6.83,18-19
Victor Lindelöf,Manchester United,6.83,18-19
Davinson Sánchez,Tottenham Hotspur,6.83,18-19
Víctor Camarasa,Cardiff City,6.83,18-19
Andreas Christensen,Chelsea,6.83,18-19
Mohamed Elneny,Arsenal,6.83,18-19
Rob Holding,Arsenal,6.82,18-19
Ryan Bennett,Wolverhampton,6.82,18-19
Séamus Coleman,Everton,6.81,18-19
Junior Stanislas,Bournemouth,6.81,18-19
Fernando Llorente,Tottenham Hotspur,6.81,18-19
Abdoulaye Doucouré,Watford,6.81,18-19
Anthony Knockaert,Brighton &amp; Hove Albion,6.81,18-19
Andre Schürrle,Fulham,6.81,18-19
Adam Masina,Watford,6.81,18-19
Wesley Hoedt,Southampton,6.81,18-19
Eric Dier,Tottenham Hotspur,6.81,18-19
Héctor Bellerín,Arsenal,6.81,18-19
Aaron Cresswell,West Ham United,6.81,18-19
Paul Dummett,Newcastle United,6.8,18-19
Steve Mounié,Huddersfield Town,6.8,18-19
Mateo Kovačić,Chelsea,6.8,18-19
Richarlison,Everton,6.8,18-19
Sam Vokes,Burnley,6.8,18-19
Ben Gibson,Burnley,6.8,18-19
James McCarthy,Everton,6.8,18-19
Alex Oxlade-Chamberlain,Liverpool,6.8,18-19
Mason Greenwood,Manchester United,6.8,18-19
Artur Boruc,Bournemouth,6.8,18-19
Dale Stephens,Brighton &amp; Hove Albion,6.8,18-19
Jonathan Hogg,Huddersfield Town,6.8,18-19
Nemanja Matić,Manchester United,6.8,18-19
Joe Bryan,Fulham,6.8,18-19
Callum Paterson,Cardiff City,6.8,18-19
Glenn Murray,Brighton &amp; Hove Albion,6.79,18-19
Federico Fernández,Newcastle United,6.79,18-19
Jordan Ayew,Crystal Palace,6.79,18-19
Conor Coady,Wolverhampton,6.79,18-19
Michail Antonio,West Ham United,6.79,18-19
Ben Davies,Tottenham Hotspur,6.79,18-19
Mattéo Guendouzi,Arsenal,6.79,18-19
Diogo Dalot,Manchester United,6.79,18-19
Olivier Giroud,Chelsea,6.78,18-19
Jon Gorenc Stanković,Huddersfield Town,6.78,18-19
Daniel Amartey,Leicester City,6.78,18-19
Craig Cathcart,Watford,6.78,18-19
Connor Wickham,Crystal Palace,6.78,18-19
David Button,Brighton &amp; Hove Albion,6.78,18-19
Lucas Pérez,West Ham United,6.77,18-19
Bobby Decordova-Reid,Cardiff City,6.77,18-19
Christopher Schindler,Huddersfield Town,6.77,18-19
Alex Pritchard,Huddersfield Town,6.77,18-19
Emerson Palmieri,Chelsea,6.77,18-19
Jonny Otto,Wolverhampton,6.77,18-19
Ben Chilwell,Leicester City,6.77,18-19
Max Meyer,Crystal Palace,6.77,18-19
Calum Chambers,Fulham,6.76,18-19
Dominic Calvert-Lewin,Everton,6.76,18-19
James McArthur,Crystal Palace,6.76,18-19
Cenk Tosun,Everton,6.76,18-19
Martin Kelly,Crystal Palace,6.76,18-19
Alex Iwobi,Arsenal,6.76,18-19
Michael Obafemi,Southampton,6.76,18-19
Fred,Manchester United,6.76,18-19
Moussa Sissoko,Tottenham Hotspur,6.76,18-19
Arthur Masuaku,West Ham United,6.76,18-19
Ivan Cavaleiro,Wolverhampton,6.75,18-19
Yerry Mina,Everton,6.75,18-19
Isaac Success,Watford,6.75,18-19
Oriol Romeu,Southampton,6.75,18-19
Mohamed Elyounoussi,Southampton,6.75,18-19
Tom Heaton,Burnley,6.75,18-19
Dominic Solanke,Bournemouth,6.75,18-19
Joe Bennett,Cardiff City,6.75,18-19
Tyrone Mings,Bournemouth,6.75,18-19
Danny Simpson,Leicester City,6.75,18-19
Pedro Obiang,West Ham United,6.75,18-19
Harry Arter,Cardiff City,6.75,18-19
Dan Gosling,Bournemouth,6.74,18-19
Matteo Darmian,Manchester United,6.74,18-19
Ben Foster,Watford,6.74,18-19
Harry Winks,Tottenham Hotspur,6.74,18-19
Aron Gunnarsson,Cardiff City,6.74,18-19
Phil Bardsley,Burnley,6.74,18-19
Naby Keïta,Liverpool,6.73,18-19
Stephen Ward,Burnley,6.73,18-19
Terence Kongolo,Huddersfield Town,6.73,18-19
Sergio Rico,Fulham,6.73,18-19
Adam Lallana,Liverpool,6.73,18-19
Luciano Vietto,Fulham,6.73,18-19
Manuel Lanzini,West Ham United,6.73,18-19
Sead Kolašinac,Arsenal,6.73,18-19
Jordan Pickford,Everton,6.73,18-19
Bruno Saltor,Brighton &amp; Hove Albion,6.73,18-19
Danny Welbeck,Arsenal,6.73,18-19
Javier Manquillo,Newcastle United,6.73,18-19
Aboubakar Kamara,Fulham,6.72,18-19
Andriy Yarmolenko,West Ham United,6.72,18-19
Bruno Ecuele Manga,Cardiff City,6.72,18-19
Joe Hart,Burnley,6.72,18-19
Ademola Lookman,Everton,6.72,18-19
Simon Francis,Bournemouth,6.72,18-19
Daniel Ward,Cardiff City,6.72,18-19
Kasper Schmeichel,Leicester City,6.72,18-19
Will Hughes,Watford,6.72,18-19
Stuart Armstrong,Southampton,6.71,18-19
Ryan Bertrand,Southampton,6.71,18-19
Charlie Taylor,Burnley,6.71,18-19
Alfie Mawson,Fulham,6.71,18-19
Álvaro Morata,Chelsea,6.71,18-19
Andrew Surman,Bournemouth,6.71,18-19
Yves Bissouma,Brighton &amp; Hove Albion,6.7,18-19
Shane Long,Southampton,6.7,18-19
Serge Aurier,Tottenham Hotspur,6.7,18-19
Harvey Elliott,Fulham,6.7,18-19
Marc Navarro,Watford,6.7,18-19
Eric Bailly,Manchester United,6.7,18-19
Kiko Femenía,Watford,6.7,18-19
Jeffrey Schlupp,Crystal Palace,6.7,18-19
Joe Ralls,Cardiff City,6.7,18-19
Pablo Zabaleta,West Ham United,6.7,18-19
Maxime Le Marchand,Fulham,6.7,18-19
Victor Wanyama,Tottenham Hotspur,6.69,18-19
Martin Dúbravka,Newcastle United,6.69,18-19
Rachid Ghezzal,Leicester City,6.69,18-19
Martín Montoya,Brighton &amp; Hove Albion,6.69,18-19
Denis Odoi,Fulham,6.69,18-19
Oliver Skipp,Tottenham Hotspur,6.69,18-19
Marouane Fellaini,Manchester United,6.68,18-19
Cesc Fàbregas,Chelsea,6.68,18-19
Mason Holgate,Everton,6.68,18-19
Kenneth Zohore,Cardiff City,6.68,18-19
Davy Pröpper,Brighton &amp; Hove Albion,6.68,18-19
Edward Nketiah,Arsenal,6.68,18-19
Ryan Fredericks,West Ham United,6.67,18-19
Cédric Soares,Southampton,6.67,18-19
Roberto Pereyra,Watford,6.67,18-19
Adrian Mariappa,Watford,6.67,18-19
Juan Foyth,Tottenham Hotspur,6.66,18-19
Lee Peltier,Cardiff City,6.66,18-19
Joselu,Newcastle United,6.66,18-19
Karlan Grant,Huddersfield Town,6.66,18-19
David De Gea,Manchester United,6.66,18-19
Håvard Nordtveit,Fulham,6.66,18-19
Frank Anguissa,Fulham,6.65,18-19
Scott McTominay,Manchester United,6.65,18-19
Ainsley Maitland-Niles,Arsenal,6.65,18-19
Alberto Moreno,Liverpool,6.65,18-19
Davide Zappacosta,Chelsea,6.65,18-19
Nampalys Mendy,Leicester City,6.65,18-19
Jack Cork,Burnley,6.65,18-19
Alex McCarthy,Southampton,6.65,18-19
Theo Walcott,Everton,6.65,18-19
Floyd Ayité,Fulham,6.65,18-19
Cheikhou Kouyaté,Crystal Palace,6.65,18-19
Charlie Austin,Southampton,6.65,18-19
Christian Kabasele,Watford,6.64,18-19
Bernard,Everton,6.64,18-19
Manolo Gabbiadini,Southampton,6.64,18-19
Chris Mepham,Bournemouth,6.64,18-19
Florent Hadergjonaj,Huddersfield Town,6.64,18-19
Andre Gray,Watford,6.64,18-19
Wayne Hennessey,Crystal Palace,6.64,18-19
Jürgen Locadia,Brighton &amp; Hove Albion,6.63,18-19
Kelechi Iheanacho,Leicester City,6.63,18-19
Peter Crouch,Burnley,6.63,18-19
Andy Carroll,West Ham United,6.63,18-19
Tom Davies,Everton,6.63,18-19
Rúben Vinagre,Wolverhampton,6.63,18-19
Charlie Daniels,Bournemouth,6.63,18-19
Adam Smith,Bournemouth,6.63,18-19
Chris Löwe,Huddersfield Town,6.63,18-19
Jack Stephens,Southampton,6.63,18-19
Demarai Gray,Leicester City,6.63,18-19
Leon Balogun,Brighton &amp; Hove Albion,6.63,18-19
Diego Rico,Bournemouth,6.63,18-19
Matthew Lowton,Burnley,6.62,18-19
Kadeem Harris,Cardiff City,6.62,18-19
Jonas Lössl,Huddersfield Town,6.62,18-19
Jonjoe Kenny,Everton,6.62,18-19
DeAndre Yedlin,Newcastle United,6.61,18-19
Aaron Lennon,Burnley,6.61,18-19
Domingos Quina,Watford,6.61,18-19
Juninho Bacuna,Huddersfield Town,6.61,18-19
Alexander Sørloth,Crystal Palace,6.61,18-19
Rui Patrício,Wolverhampton,6.6,18-19
Christian Atsu,Newcastle United,6.6,18-19
Fousseni Diabaté,Leicester City,6.6,18-19
Xande Silva,West Ham United,6.6,18-19
Luke Amos,Tottenham Hotspur,6.6,18-19
Emerson Hyndman,Bournemouth,6.6,18-19
Abdelhamid Sabiri,Huddersfield Town,6.6,18-19
Angel Gomes,Manchester United,6.6,18-19
Tahith Chong,Manchester United,6.6,18-19
Gary Cahill,Chelsea,6.6,18-19
Sam Surridge,Bournemouth,6.6,18-19
Vincent Janssen,Tottenham Hotspur,6.6,18-19
Mousa Dembélé,Tottenham Hotspur,6.6,18-19
Mathew Ryan,Brighton &amp; Hove Albion,6.6,18-19
Beram Kayal,Brighton &amp; Hove Albion,6.59,18-19
José Izquierdo,Brighton &amp; Hove Albion,6.59,18-19
Matěj Vydra,Burnley,6.59,18-19
Jacob Murphy,Newcastle United,6.59,18-19
Hélder Costa,Wolverhampton,6.59,18-19
Leighton Baines,Everton,6.58,18-19
Josh Murphy,Cardiff City,6.58,18-19
Morgan Gibbs-White,Wolverhampton,6.58,18-19
Laurent Depoitre,Huddersfield Town,6.58,18-19
Neeskens Kebano,Fulham,6.57,18-19
Greg Cunningham,Cardiff City,6.57,18-19
Yoshinori Muto,Newcastle United,6.57,18-19
André Gomes,Everton,6.57,18-19
Phil Jagielka,Everton,6.57,18-19
Léo Bonatini,Wolverhampton,6.57,18-19
Tom Cleverley,Watford,6.56,18-19
Grady Diangana,West Ham United,6.56,18-19
Adrien Silva,Leicester City,6.55,18-19
Jermain Defoe,Bournemouth,6.55,18-19
Isaac Mbenza,Huddersfield Town,6.55,18-19
Mohamed Diamé,Newcastle United,6.54,18-19
Cyrus Christie,Fulham,6.54,18-19
Ryan Sessegnon,Fulham,6.54,18-19
Lys Mousset,Bournemouth,6.54,18-19
Andreas Pereira,Manchester United,6.54,18-19
Kevin McDonald,Fulham,6.54,18-19
Joel Ward,Crystal Palace,6.53,18-19
Kenedy,Newcastle United,6.53,18-19
Nathaniel Clyne,Bournemouth,6.53,18-19
Timothy Fosu-Mensah,Fulham,6.53,18-19
Shinji Okazaki,Leicester City,6.52,18-19
Çağlar Söyüncü,Leicester City,6.52,18-19
Robbie Brady,Burnley,6.52,18-19
Stefan Johansen,Fulham,6.52,18-19
Erik Durm,Huddersfield Town,6.51,18-19
Jeff Hendrick,Burnley,6.51,18-19
Vicente Iborra,Leicester City,6.51,18-19
Tim Ream,Fulham,6.51,18-19
Jordon Ibe,Bournemouth,6.51,18-19
Bukayo Saka,Arsenal,6.5,18-19
Antonio Barreca,Newcastle United,6.5,18-19
Joel Coleman,Huddersfield Town,6.5,18-19
Stefano Okaka,Watford,6.5,18-19
Collin Quaner,Huddersfield Town,6.5,18-19
Rhys Healey,Cardiff City,6.5,18-19
Steven Defour,Burnley,6.5,18-19
Jack Simpson,Bournemouth,6.5,18-19
Lewis Cook,Bournemouth,6.5,18-19
Angus Gunn,Southampton,6.49,18-19
Yan Valery,Southampton,6.49,18-19
Alireza Jahanbakhsh,Brighton &amp; Hove Albion,6.48,18-19
Oumar Niasse,Cardiff City,6.48,18-19
Florin Andone,Brighton &amp; Hove Albion,6.48,18-19
Ramadan Sobhi,Huddersfield Town,6.48,18-19
Carl Jenkinson,Arsenal,6.47,18-19
Gary Madine,Cardiff City,6.47,18-19
Junior Hoilett,Cardiff City,6.47,18-19
Ken Sema,Watford,6.46,18-19
Nathaniel Chalobah,Watford,6.45,18-19
Adama Diakhaby,Huddersfield Town,6.45,18-19
Carlos Sánchez,West Ham United,6.44,18-19
Jason Puncheon,Huddersfield Town,6.44,18-19
Marcos Rojo,Manchester United,6.44,18-19
Ibrahima Cisse,Fulham,6.43,18-19
Marcus Bettinelli,Fulham,6.41,18-19
Leandro Bacuna,Cardiff City,6.41,18-19
Stephan Lichtsteiner,Arsenal,6.41,18-19
Elias Kachunga,Huddersfield Town,6.41,18-19
Josh Sims,Southampton,6.4,18-19
Lazar Marković,Fulham,6.4,18-19
Sebastian Prödl,Watford,6.4,18-19
Matty Daly,Huddersfield Town,6.4,18-19
Callum Slattery,Southampton,6.4,18-19
Sam Gallagher,Southampton,6.4,18-19
Danny Williams,Huddersfield Town,6.4,18-19
Gaëtan Bong,Brighton &amp; Hove Albion,6.36,18-19
Joe Willock,Arsenal,6.35,18-19
Loïc Damour,Cardiff City,6.35,18-19
Jazz Richards,Cardiff City,6.35,18-19
Bakary Sako,Crystal Palace,6.33,18-19
Fraser Forster,Southampton,6.3,18-19
Denis Suárez,Arsenal,6.3,18-19
Asmir Begović,Bournemouth,6.3,18-19
Miguel Britos,Watford,6.27,18-19
Ben Johnson,West Ham United,6.2,18-19
Kayne Ramsay,Southampton,6.2,18-19
Demeaco Duhaney,Huddersfield Town,6.2,18-19
Victor Moses,Chelsea,6.2,18-19
Ben Wilmot,Watford,6.2,18-19
Rajiv Van La Parra,Huddersfield Town,6.2,18-19
Tommy Smith,Huddersfield Town,6.14,18-19
Ben Hamer,Huddersfield Town,6.03,18-19
Aaron Rowe,Huddersfield Town,5.85,18-19
Julián Speroni,Crystal Palace,5.6,18-19
James Garner,Manchester United,0.0,18-19
Max Kilman,Wolverhampton,0.0,18-19
Rafael Camacho,Liverpool,0.0,18-19
Pape Souaré,Crystal Palace,0.0,18-19
Will Norris,Wolverhampton,0.0,18-19
Tyreke Johnson,Southampton,0.0,18-19
Luke Dreher,Crystal Palace,0.0,18-19
Kevin De Bruyne,Manchester City,8.0,19-20
Bruno Fernandes,Manchester United,7.71,19-20
Riyad Mahrez,Manchester City,7.53,19-20
Willian,Chelsea,7.49,19-20
Mohamed Salah,Liverpool,7.41,19-20
Jack Grealish,Aston Villa,7.39,19-20
Trent Alexander-Arnold,Liverpool,7.38,19-20
David Silva,Manchester City,7.36,19-20
James Maddison,Leicester City,7.34,19-20
Sadio Mané,Liverpool,7.29,19-20
Virgil van Dijk,Liverpool,7.28,19-20
Adama Traoré,Wolverhampton,7.27,19-20
Harry Kane,Tottenham Hotspur,7.24,19-20
Jamie Vardy,Leicester City,7.23,19-20
Jordan Henderson,Liverpool,7.23,19-20
Raheem Sterling,Manchester City,7.22,19-20
Marcus Rashford,Manchester United,7.21,19-20
João Cancelo,Manchester City,7.21,19-20
Emiliano Martínez,Arsenal,7.21,19-20
João Moutinho,Wolverhampton,7.21,19-20
Sergio Agüero,Manchester City,7.2,19-20
James Ward-Prowse,Southampton,7.2,19-20
Marcos Alonso,Chelsea,7.2,19-20
Raúl Jiménez,Wolverhampton,7.19,19-20
Andrew Robertson,Liverpool,7.18,19-20
Joël Matip,Liverpool,7.18,19-20
Naby Keïta,Liverpool,7.17,19-20
Pierre-Emerick Aubameyang,Arsenal,7.16,19-20
César Azpilicueta,Chelsea,7.15,19-20
Lucas Digne,Everton,7.15,19-20
James Tarkowski,Burnley,7.14,19-20
Jonjo Shelvey,Newcastle United,7.14,19-20
Paul Pogba,Manchester United,7.13,19-20
Harry Maguire,Manchester United,7.13,19-20
Willy Boly,Wolverhampton,7.12,19-20
Gabriel Jesus,Manchester City,7.12,19-20
Bernardo Silva,Manchester City,7.12,19-20
Ondrej Duda,Norwich City,7.11,19-20
Bernd Leno,Arsenal,7.11,19-20
Rodri,Manchester City,7.11,19-20
Anthony Martial,Manchester United,7.11,19-20
Luke Thomas,Leicester City,7.1,19-20
Phil Foden,Manchester City,7.1,19-20
Richarlison,Everton,7.09,19-20
Angeliño,Manchester City,7.08,19-20
Aaron Wan-Bissaka,Manchester United,7.08,19-20
Ricardo Pereira,Leicester City,7.08,19-20
Heung-min Son,Tottenham Hotspur,7.08,19-20
Çağlar Söyüncü,Leicester City,7.08,19-20
Michail Antonio,West Ham United,7.08,19-20
Wilfred Ndidi,Leicester City,7.07,19-20
Hugo Lloris,Tottenham Hotspur,7.06,19-20
Mateo Kovačić,Chelsea,7.06,19-20
Diego Rico,Bournemouth,7.06,19-20
Alexandre Lacazette,Arsenal,7.06,19-20
Pascal Groß,Brighton &amp; Hove Albion,7.05,19-20
Lewis Dunk,Brighton &amp; Hove Albion,7.05,19-20
Reece James,Chelsea,7.05,19-20
Danny Ings,Southampton,7.04,19-20
Roberto Firmino,Liverpool,7.04,19-20
Troy Deeney,Watford,7.04,19-20
Phil Bardsley,Burnley,7.04,19-20
Aymeric Laporte,Manchester City,7.03,19-20
Rúben Neves,Wolverhampton,7.03,19-20
Jorginho,Chelsea,7.03,19-20
Oliver Norwood,Sheffield United,7.02,19-20
Nicolas Pépé,Arsenal,7.02,19-20
Christian Benteke,Crystal Palace,7.02,19-20
Matt Ritchie,Newcastle United,7.02,19-20
Mason Holgate,Everton,7.01,19-20
Ashley Westwood,Burnley,7.01,19-20
John Fleck,Sheffield United,7.01,19-20
Ciaran Clark,Newcastle United,7.01,19-20
Fernandinho,Manchester City,7.0,19-20
Dean Henderson,Sheffield United,7.0,19-20
Youri Tielemans,Leicester City,7.0,19-20
Conor Hourihane,Aston Villa,7.0,19-20
Antonio Rüdiger,Chelsea,7.0,19-20
Pedro,Chelsea,7.0,19-20
Dejan Lovren,Liverpool,7.0,19-20
Luke Shaw,Manchester United,7.0,19-20
Jonny Evans,Leicester City,6.99,19-20
Tomáš Souček,West Ham United,6.99,19-20
Declan Rice,West Ham United,6.99,19-20
Djibril Sidibé,Everton,6.99,19-20
Emiliano Buendía,Norwich City,6.99,19-20
Shkodran Mustafi,Arsenal,6.99,19-20
Nemanja Matić,Manchester United,6.99,19-20
Nick Pope,Burnley,6.98,19-20
Fred,Manchester United,6.98,19-20
Fabinho,Liverpool,6.98,19-20
Chris Mepham,Bournemouth,6.98,19-20
Yerry Mina,Everton,6.98,19-20
Fikayo Tomori,Chelsea,6.97,19-20
N'Golo Kanté,Chelsea,6.97,19-20
Kurt Zouma,Chelsea,6.97,19-20
Toby Alderweireld,Tottenham Hotspur,6.97,19-20
Nathan Aké,Bournemouth,6.97,19-20
Kyle Walker,Manchester City,6.97,19-20
Sébastien Haller,West Ham United,6.97,19-20
James Justin,Leicester City,6.96,19-20
Grant Hanley,Norwich City,6.96,19-20
Romain Saïss,Wolverhampton,6.96,19-20
Calum Chambers,Arsenal,6.96,19-20
John Egan,Sheffield United,6.96,19-20
Chris Basham,Sheffield United,6.96,19-20
Olivier Giroud,Chelsea,6.95,19-20
Japhet Tanganga,Tottenham Hotspur,6.95,19-20
Roberto Jiménez,West Ham United,6.95,19-20
Vicente Guaita,Crystal Palace,6.95,19-20
Scott McTominay,Manchester United,6.95,19-20
Dominic Calvert-Lewin,Everton,6.95,19-20
Michael Keane,Everton,6.95,19-20
John McGinn,Aston Villa,6.95,19-20
Mason Greenwood,Manchester United,6.94,19-20
Kasper Schmeichel,Leicester City,6.94,19-20
Alireza Jahanbakhsh,Brighton &amp; Hove Albion,6.94,19-20
Dwight McNeil,Burnley,6.94,19-20
Sokratis,Arsenal,6.94,19-20
Mathew Ryan,Brighton &amp; Hove Albion,6.94,19-20
Christian Pulišić,Chelsea,6.94,19-20
Neco Williams,Liverpool,6.94,19-20
Jack O'Connell,Sheffield United,6.94,19-20
Nathan Redmond,Southampton,6.94,19-20
Jetro Willems,Newcastle United,6.94,19-20
Martin Dúbravka,Newcastle United,6.94,19-20
Robert Snodgrass,West Ham United,6.94,19-20
Dani Ceballos,Arsenal,6.93,19-20
Serge Aurier,Tottenham Hotspur,6.93,19-20
Mesut Özil,Arsenal,6.93,19-20
James Tomkins,Crystal Palace,6.93,19-20
Luka Milivojević,Crystal Palace,6.93,19-20
Allan Saint-Maximin,Newcastle United,6.92,19-20
Granit Xhaka,Arsenal,6.92,19-20
İlkay Gündoğan,Manchester City,6.92,19-20
Mason Mount,Chelsea,6.92,19-20
Jarrod Bowen,West Ham United,6.92,19-20
Joe Gomez,Liverpool,6.92,19-20
Kelechi Iheanacho,Leicester City,6.92,19-20
Jan Vertonghen,Tottenham Hotspur,6.92,19-20
Adam Webster,Brighton &amp; Hove Albion,6.91,19-20
Alisson,Liverpool,6.91,19-20
Federico Fernández,Newcastle United,6.91,19-20
Philip Billing,Bournemouth,6.91,19-20
Ross Barkley,Chelsea,6.91,19-20
Patrick van Aanholt,Crystal Palace,6.9,19-20
Jordan Ayew,Crystal Palace,6.9,19-20
Sander Berge,Sheffield United,6.9,19-20
Daniel Podence,Wolverhampton,6.9,19-20
Pablo Marí,Arsenal,6.9,19-20
Nathan Holland,West Ham United,6.9,19-20
Aaron Ramsdale,Bournemouth,6.9,19-20
Gerard Deulofeu,Watford,6.9,19-20
Nicolás Otamendi,Manchester City,6.9,19-20
Andreas Christensen,Chelsea,6.9,19-20
John Stones,Manchester City,6.89,19-20
Ben Mee,Burnley,6.89,19-20
Leighton Baines,Everton,6.89,19-20
