Player,Rating,Season
Dani Garcia,6.77,22-23
Jawad El Yamiq,6.76,22-23
Oscar Rodriguez,6.76,22-23
Ferran Torres,6.76,22-23
Iván Fresneda,6.76,22-23
Ander Barrenetxea,6.76,22-23
Abdessamad Ezzalzouli,6.76,22-23
Daniel Rodriguez,6.76,22-23
Alejandro Pozo,6.75,22-23
Miguel Gutiérrez,6.75,22-23
Rui Silva,6.75,22-23
Rubén Pena,6.75,22-23
Oscar Plano,6.74,22-23
Iván Balliu,6.74,22-23
Luiz Felipe,6.74,22-23
Carles Pérez,6.73,22-23
Edu Exposito,6.73,22-23
Nemanja Maksimovic,6.72,22-23
Alberto Moreno,6.72,22-23
Luis Hernández,6.72,22-23
Pere Milla,6.72,22-23
Ezequiel Ávila,6.71,22-23
Unai Garcia,6.71,22-23
Fidel Chaves,6.71,22-23
Roque Mesa,6.71,22-23
Dimitri Foulquier,6.71,22-23
Andoni Gorosabel,6.71,22-23
Yunus Musah,6.70,22-23
Oscar Trejo,6.70,22-23
José Luis Morales,6.70,22-23
Sergio Camello,6.70,22-23
Javi Sánchez,6.69,22-23
José Ángel Carmona,6.69,22-23
Monchu,6.69,22-23
Erik Lamela,6.69,22-23
Ante Budimir,6.69,22-23
Luis Suárez,6.68,22-23
Samuel Castillejo,6.68,22-23
César Montes,6.68,22-23
Stefan Mitrovic,6.68,22-23
Juan Cruz,6.68,22-23
Giorgi Mamardashvili,6.68,22-23
Pepe Reina,6.68,22-23
Luiz Henrique,6.67,22-23
Joaquin Fernández,6.67,22-23
César de la Hoz,6.67,22-23
Ángel Correa,6.67,22-23
Fernando Calero,6.66,22-23
Tanguy Nianzou,6.66,22-23
Agustin Marchesin,6.66,22-23
Edgar Badia,6.65,22-23
Renato Tapia,6.65,22-23
Fernando Martinez,6.64,22-23
Toni Villa,6.64,22-23
Srdjan Babic,6.64,22-23
Fali,6.63,22-23
Rodrigo Ely,6.63,22-23
Lucas Olaza,6.63,22-23
Domingos Duarte,6.63,22-23
Juan Iglesias,6.63,22-23
Leandro Cabrera,6.63,22-23
Josan,6.63,22-23
Youssef En-Nesyri,6.63,22-23
Unai Simon,6.62,22-23
Juan Brandariz,6.62,22-23
Luca de la Torre,6.62,22-23
Nico Ribaudo,6.62,22-23
Idrissu Baba,6.62,22-23
Borja Mayoral,6.61,22-23
Gorka Guruzeta,6.61,22-23
Stole Dimitrievski,6.61,22-23
Édinson Cavani,6.60,22-23
Helibelton Palacios,6.60,22-23
Pedro Bigas,6.60,22-23
Unai Lopez,6.60,22-23
Nacho Vidal,6.60,22-23
Aritz Elustondo,6.59,22-23
Darko Brasanac,6.59,22-23
Gonzalo Montiel,6.58,22-23
Sergio Akieme,6.58,22-23
Cristian Portu,6.57,22-23
Yangel Herrera,6.56,22-23
Toni Lato,6.56,22-23
Valery Fernández,6.56,22-23
Álex Fernández,6.55,22-23
Rubén Garcia,6.55,22-23
Rafa Mir,6.54,22-23
Mikel Oyarzabal,6.54,22-23
Franck Kessié,6.54,22-23
Munir El Haddadi,6.54,22-23
Pablo Barrios,6.53,22-23
Oscar Gil,6.52,22-23
Pathé Ciss,6.51,22-23
Juanmi,6.51,22-23
Sergi Gomez,6.50,22-23
Ilaix Moriba,6.50,22-23
Aleix Vidal,6.50,22-23
Jørgen Strand Larsen,6.48,22-23
Carles Alena,6.48,22-23
Francisco Portillo,6.48,22-23
Raul Garcia,6.46,22-23
Sergi Guardiola,6.45,22-23
Cristhian Stuani,6.45,22-23
Inigo Eguaras,6.44,22-23
Yassine Bounou,6.43,22-23
Oier Zarraga,6.42,22-23
Sergio Leon,6.41,22-23
Álvaro Negredo,6.41,22-23
Federico San Emeterio,6.41,22-23
Enzo Roco,6.38,22-23
Iván Alejo,6.37,22-23
Amath Ndiaye,6.36,22-23
Largie Ramazani,6.36,22-23
Iván Villar,6.36,22-23
Roger,6.36,22-23
Antonio Sánchez,6.34,22-23
Kike Garcia,6.34,22-23
Ángel Algobia,6.30,22-23
Raul Guti,6.28,22-23
Randy Nteka,6.26,22-23
Hugo Duro,6.25,22-23
Goncalo Paciencia,6.24,22-23
Anthony Lozano,6.22,22-23
Radamel Falcao,6.22,22-23
Ezequiel Ponce,6.18,22-23
Jude Bellingham,8.12,23-24
Ilkay Gündogan,7.71,23-24
Isco,7.66,23-24
Toni Kroos,7.56,23-24
Savio,7.55,23-24
Frenkie de Jong,7.54,23-24
Antoine Griezmann,7.54,23-24
Vinicius Junior,7.53,23-24
Federico Valverde,7.50,23-24
Robert Lewandowski,7.48,23-24
Aleix Garcia,7.47,23-24
Pepelu,7.46,23-24
Takefusa Kubo,7.39,23-24
Brahim Diaz,7.38,23-24
Rodrygo,7.37,23-24
Pedri,7.36,23-24
Lucas Vázquez,7.36,23-24
Gerard Moreno,7.36,23-24
Inaki Williams,7.35,23-24
Daniel Carvajal,7.35,23-24
Lamine Yamal,7.34,23-24
Raphinha,7.33,23-24
Joao Cancelo,7.32,23-24
Mikel Merino,7.31,23-24
Iago Aspas,7.30,23-24
Nico Williams,7.30,23-24
Álex Baena,7.29,23-24
Aurélien Tchouaméni,7.29,23-24
Viktor Tsigankov,7.28,23-24
Eduardo Camavinga,7.27,23-24
Alexander Sørloth,7.26,23-24
Daley Blind,7.26,23-24
Artem Dovbyk,7.26,23-24
Yangel Herrera,7.25,23-24
Daniel Parejo,7.25,23-24
Gorka Guruzeta,7.25,23-24
Sergi Cardona,7.24,23-24
Luka Modric,7.21,23-24
Ayoze Pérez,7.20,23-24
Martin Zubimendi,7.20,23-24
Samuel Dias Lino,7.20,23-24
Guido Rodriguez,7.18,23-24
Kirian Rodriguez,7.18,23-24
Loic Badé,7.18,23-24
Brais Méndez,7.17,23-24
Rodrigo De Paul,7.15,23-24
Iván Martin,7.14,23-24
Eric Garcia,7.14,23-24
Diego Rico,7.14,23-24
Andriy Lunin,7.14,23-24
Miguel Gutiérrez,7.14,23-24
Luis Milla,7.13,23-24
Lucas Ocampos,7.13,23-24
Borja Mayoral,7.13,23-24
Renato Tapia,7.13,23-24
Bryan Zaragoza,7.13,23-24
Mason Greenwood,7.12,23-24
Mario Hermoso,7.12,23-24
Koke,7.11,23-24
Sergio Ramos,7.11,23-24
Jules Koundé,7.10,23-24
Ante Budimir,7.10,23-24
Pablo Barrios,7.09,23-24
Jonathan Viera,7.09,23-24
Yuri Berchiche,7.08,23-24
Antonio Raillo,7.08,23-24
Álvaro Morata,7.07,23-24
Álvaro Vallés,7.07,23-24
Joao Félix,7.06,23-24
José Gayà,7.06,23-24
Oscar de Marcos,7.06,23-24
Juanlu Sánchez,7.06,23-24
Ferland Mendy,7.05,23-24
Francisco Garcia,7.05,23-24
Germán Pezzella,7.05,23-24
Lucas Robertone,7.04,23-24
Jonathan Bamba,7.04,23-24
Boubakary Soumaré,7.02,23-24
Unai Nunez,7.01,23-24
Giorgi Mamardashvili,7.01,23-24
Yan Couto,7.01,23-24
Axel Witsel,7.01,23-24
Marc Pubill,7.00,23-24
Oscar Mingueza,6.99,23-24
Marc Roca,6.99,23-24
Daniel Vivian,6.99,23-24
Inigo Ruiz de Galarreta,6.99,23-24
Sergio Arribas,6.99,23-24
Mika Mármol,6.98,23-24
Juan Miranda,6.98,23-24
David Lopez,6.98,23-24
Rubén Alcaraz,6.98,23-24
Álvaro Garcia,6.97,23-24
Sergi Darder,6.97,23-24
Nemanja Maksimovic,6.97,23-24
Andreas Christensen,6.96,23-24
Marcos Acuna,6.96,23-24
Thierry Correia,6.96,23-24
Kieran Tierney,6.96,23-24
Iker Munoz,6.96,23-24
Youssef En-Nesyri,6.95,23-24
Inigo Lekue,6.95,23-24
Hamari Traoré,6.95,23-24
Luis Rioja,6.95,23-24
Pau Cubarsi,6.94,23-24
Samu,6.94,23-24
Carl Starfelt,6.94,23-24
Robin Le Normand,6.93,23-24
Johan Mojica,6.93,23-24
Moi Gomez,6.93,23-24
Paulo Gazzaniga,6.93,23-24
Marcos Llorente,6.92,23-24
Vedat Muriqi,6.92,23-24
Oihan Sancet,6.92,23-24
Aihen Munoz,6.92,23-24
Ander Herrera,6.92,23-24
Florian Lejeune,6.92,23-24
Robert Navarro,6.91,23-24
Ronald Araujo,6.91,23-24
Julian Araujo,6.91,23-24
Manuel Sánchez,6.91,23-24
Unai Simon,6.91,23-24
Nemanja Gudelj,6.91,23-24
Igor Zubeldia,6.91,23-24
Matija Nastasic,6.90,23-24
Alex Remiro,6.90,23-24
Andoni Gorosabel,6.90,23-24
Joselu,6.90,23-24
Javi Lopez,6.89,23-24
Adrián Embarba,6.89,23-24
Jørgen Strand Larsen,6.89,23-24
Antonio Rüdiger,6.88,23-24
Rubén Garcia,6.88,23-24
César Azpilicueta,6.88,23-24
Kiko,6.87,23-24
Jon Guridi,6.87,23-24
Benat Prados,6.87,23-24
Oscar Valentin,6.87,23-24
Ángel Correa,6.87,23-24
Fermin Lopez,6.87,23-24
Nahuel Molina,6.86,23-24
Antonio Blanco,6.86,23-24
José Copete,6.86,23-24
Kike Salas,6.86,23-24
Suso,6.86,23-24
Rubén Duarte,6.86,23-24
Ørjan Håskjold Nyland,6.85,23-24
Jeremias Ledesma,6.85,23-24
Giovanni González,6.85,23-24
Mikel Vesga,6.85,23-24
Alfonso Espino,6.85,23-24
Sergio Ruiz,6.85,23-24
Isi Palazon,6.84,23-24
Jesus Areso,6.84,23-24
David Garcia,6.84,23-24
Ander Guevara,6.84,23-24
Hugo Duro,6.83,23-24
Juan Iglesias,6.83,23-24
Nacho Fernandez,6.83,23-24
Oriol Romeu,6.83,23-24
Javier Hernández,6.82,23-24
Diego Lopez,6.82,23-24
Santi Comesana,6.82,23-24
Rodrigo Riquelme,6.81,23-24
Alex Suárez,6.81,23-24
Aimar Oroz,6.81,23-24
Arnau Martinez,6.81,23-24
Antonio Sivera,6.80,23-24
Jorge Cuenca,6.80,23-24
Gaston Álvarez,6.80,23-24
Stefan Savic,6.80,23-24
Manu Morlanes,6.80,23-24
Marc-Andre ter Stegen,6.80,23-24
Carlos Benavidez,6.80,23-24
Saul Niguez,6.80,23-24
Chadi Riad,6.79,23-24
Rubén Pena,6.79,23-24
Mikel Oyarzabal,6.79,23-24
Predrag Rajkovic,6.79,23-24
Jesus Navas,6.79,23-24
Jan Oblak,6.79,23-24
Aitor Paredes,6.79,23-24
Adrià Pedrosa,6.78,23-24
Rui Silva,6.78,23-24
Jon Pacheco,6.78,23-24
Willian José,6.78,23-24
Ferran Torres,6.78,23-24
Rafa Marin,6.77,23-24
Toni Lato,6.77,23-24
Abdul Mumin,6.76,23-24
Alberto Moleiro,6.76,23-24
Unai Lopez,6.76,23-24
Iván Balliu,6.75,23-24
Pathé Ciss,6.75,23-24
Fran Beltrán,6.75,23-24
Dion Lopy,6.74,23-24
Djibril Sow,6.74,23-24
Fali,6.74,23-24
Daniel Rodriguez,6.74,23-24
Martin Valjent,6.74,23-24
Abner,6.74,23-24
Étienne Capoue,6.74,23-24
Pablo Maffeo,6.73,23-24
Saul Coco,6.73,23-24
Isaac Carcelén,6.73,23-24
David Soria,6.72,23-24
Victor Chust,6.72,23-24
Dodi Lukebakio,6.72,23-24
Oliver Torres,6.72,23-24
José Giménez,6.72,23-24
Dimitri Foulquier,6.72,23-24
Djené,6.71,23-24
Lucas Torro,6.71,23-24
Sergi Canos,6.71,23-24
Cristhian Mosquera,6.71,23-24
Gabriel Paulista,6.70,23-24
Sandro Ramirez,6.70,23-24
Oscar Rodriguez,6.70,23-24
Ilias Akhomach,6.69,23-24
Gonzalo Villar,6.69,23-24
Alberto Moreno,6.69,23-24
Carlos Dominguez,6.69,23-24
Sergio Herrera,6.69,23-24
Leo Baptistao,6.69,23-24
Aridane Hernández,6.69,23-24
Abdelkabir Abqar,6.69,23-24
Alex Sola,6.67,23-24
Omar Alderete,6.67,23-24
Cristhian Stuani,6.66,23-24
Enzo Loiodice,6.66,23-24
Ander Barrenetxea,6.66,23-24
Gerard Gumbau,6.66,23-24
Javier Guerra,6.66,23-24
Filip Jörgensen,6.65,23-24
Maximo Perrone,6.65,23-24
Jon Moncayola,6.65,23-24
Sergio Akieme,6.64,23-24
Arsen Zakharyan,6.64,23-24
Javier Munoz,6.64,23-24
Benat Turrientes,6.64,23-24
Alex Berenguer,6.64,23-24
Kike Garcia,6.64,23-24
Vicente Guaita,6.63,23-24
Iddrisu Baba,6.62,23-24
Stole Dimitrievski,6.62,23-24
Álex Fernández,6.62,23-24
Hector Bellerin,6.62,23-24
William Carvalho,6.61,23-24
Largie Ramazani,6.61,23-24
Cenk Özkacar,6.61,23-24
Lucas Boye,6.61,23-24
Cristian Portu,6.61,23-24
Antonio Sánchez,6.60,23-24
Raul Albiol,6.60,23-24
Anastasios Douvikas,6.60,23-24
Jaume Costa,6.59,23-24
Memphis Depay,6.59,23-24
Hugo Guillamon,6.59,23-24
Alejandro Catena,6.59,23-24
Luca de la Torre,6.57,23-24
Jorge Herrando,6.56,23-24
Fran Pérez,6.56,23-24
Miguel Rubio,6.56,23-24
Omar Mascarell,6.56,23-24
Ezequiel Ávila,6.55,23-24
Munir El Haddadi,6.55,23-24
Ignasi Miquel,6.53,23-24
Jaime Mata,6.53,23-24
Myrto Uzuni,6.53,23-24
Rodri,6.53,23-24
Gonzalo Escalante,6.53,23-24
Juan Cruz,6.52,23-24
Samuel Omorodion,6.52,23-24
Ruben Sobrino,6.52,23-24
José Ángel Carmona,6.51,23-24
Lucas Pires,6.51,23-24
Ricard Sánchez,6.51,23-24
Jorge de Frutos,6.51,23-24
Luis Maximiano,6.51,23-24
Edgar González,6.50,23-24
Umar Sadiq,6.50,23-24
Carlos Neva,6.49,23-24
Unai Gomez,6.49,23-24
Pablo Ibánez,6.48,23-24
Roger,6.46,23-24
José Arnáiz,6.46,23-24
Marvin Park,6.46,23-24
Abdon Prats,6.45,23-24
Christopher Ramos,6.45,23-24
Valery Fernández,6.44,23-24
Oscar Trejo,6.44,23-24
José Luis Morales,6.44,23-24
Abdessamad Ezzalzouli,6.42,23-24
Raul Garcia,6.41,23-24
Iván Alejo,6.40,23-24
Marc Cardona,6.40,23-24
Sergio Camello,6.39,23-24
José Maria Callejon,6.39,23-24
Gonzalo Melero,6.39,23-24
Raul de Tomas,6.39,23-24
César Montes,6.39,23-24
Cyle Larin,6.36,23-24
Juanmi Latasa,6.35,23-24
Oscar Melendo,6.33,23-24
Carles Alena,6.32,23-24
Pablo Torre,6.32,23-24
Abderrahman Rebbach,6.32,23-24
Kike Pérez,6.31,23-24
Roman Yaremchuk,6.30,23-24
Juan Brandariz,6.25,23-24
Maximiliano Gomez,6.13,23-24
