Player,Rating,Season
Alex Kral,6.44,22-23
Robert Gumny,6.42,22-23
Woo-Yeong Jeong,6.42,22-23
Sven Michel,6.40,22-23
Anthony Modeste,6.40,22-23
Aymen Barkok,6.39,22-23
Wilfried Kanga,6.39,22-23
Patrick Osterhage,6.38,22-23
Sargis Adamyan,6.37,22-23
Morten Thorsby,6.36,22-23
Maximilian Bauer,6.35,22-23
Fredrik Jensen,6.35,22-23
Oliver Christensen,6.33,22-23
Kevin Trapp,6.32,22-23
Jessic Ngankam,6.32,22-23
Agustin Rogel,6.29,22-23
Marvin Schwäbe,6.22,22-23
Alexander Schwolow,6.10,22-23
Florian Müller,6.07,22-23
Danny Latza,6.06,22-23
Exequiel Palacios,8.05,23-24
Harry Kane,7.98,23-24
Alejandro Grimaldo,7.98,23-24
Serhou Guirassy,7.92,23-24
Leroy Sané,7.82,23-24
Florian Wirtz,7.81,23-24
Xavi Simons,7.81,23-24
Victor Okoh Boniface,7.77,23-24
Granit Xhaka,7.71,23-24
Kevin Stöger,7.69,23-24
Jamal Musiala,7.67,23-24
Deniz Undav,7.63,23-24
Jonas Hofmann,7.59,23-24
Andrej Kramaric,7.55,23-24
Maximilian Mittelstaedt,7.55,23-24
Ikoma Lois Openda,7.53,23-24
Jan-Niklas Beste,7.52,23-24
Angelo Stiller,7.51,23-24
Joshua Kimmich,7.50,23-24
David Raum,7.48,23-24
Xaver Schlager,7.47,23-24
Chris Führich,7.46,23-24
Alphonso Davies,7.46,23-24
Nico Schlotterbeck,7.46,23-24
Odilon Kossounou,7.44,23-24
Jeremie Frimpong,7.44,23-24
Edmond Tapsoba,7.43,23-24
Amadou Haidara,7.41,23-24
Anton Stach,7.40,23-24
Dani Olmo,7.37,23-24
Mitchell Weiser,7.36,23-24
Jonathan Tah,7.36,23-24
Robert Andrich,7.35,23-24
Emre Can,7.34,23-24
Omar Marmoush,7.34,23-24
Leon Goretzka,7.33,23-24
Kingsley Coman,7.33,23-24
Vincenzo Grifo,7.32,23-24
Marvin Ducksch,7.31,23-24
Franck Honorat,7.31,23-24
Atakan Karazor,7.31,23-24
Julian Brandt,7.30,23-24
Benjamin Henrichs,7.30,23-24
Piero Hincapié,7.28,23-24
Raphaël Guerreiro,7.28,23-24
Donyell Malen,7.28,23-24
Enzo Millot,7.26,23-24
Waldemar Anton,7.26,23-24
Min-Jae Kim,7.25,23-24
Thomas Müller,7.23,23-24
Maximilian Beier,7.21,23-24
Marco Reus,7.20,23-24
Florian Grillitsch,7.20,23-24
Willian Pacho,7.17,23-24
Ermedin Demirovic,7.17,23-24
Ellyes Skhiri,7.17,23-24
Noussair Mazraoui,7.16,23-24
Dan-Axel Zagadou,7.16,23-24
Mats Hummels,7.15,23-24
Willi Orban,7.14,23-24
Hiroki Ito,7.13,23-24
Amine Adli,7.12,23-24
Robin Gosens,7.11,23-24
Sepp van den Berg,7.10,23-24
Niclas Füllkrug,7.10,23-24
Julian Weigl,7.09,23-24
Marcel Sabitzer,7.09,23-24
Maximilian Arnold,7.08,23-24
Mohamed Simakan,7.08,23-24
Keven Schlotterbeck,7.08,23-24
Castello Lukeba,7.08,23-24
Marco Friedl,7.07,23-24
Julian Ryerson,7.06,23-24
Patrick Mainka,7.06,23-24
Jae-Sung Lee,7.06,23-24
Ritsu Doan,7.06,23-24
Timo Hübers,7.06,23-24
Leandro Barreiro,7.06,23-24
Tuta,7.05,23-24
Aleksandar Pavlovic,7.04,23-24
Anthony Caci,7.04,23-24
Jens Stage,7.04,23-24
Eren Dinkci,7.04,23-24
Jonas Wind,7.04,23-24
Lovro Majer,7.03,23-24
Dayot Upamecano,7.03,23-24
Brajan Gruda,7.03,23-24
Romano Schmid,7.02,23-24
Tim Kleindienst,7.02,23-24
Mario Götze,7.02,23-24
Dominik Kohr,7.01,23-24
Rocco Reitz,7.01,23-24
Maximilian Wöber,7.01,23-24
Matthijs de Ligt,7.01,23-24
Wout Weghorst,7.00,23-24
Lucas Höler,6.99,23-24
Pavel Kaderabek,6.99,23-24
Alassane Plea,6.99,23-24
Konrad Laimer,6.99,23-24
Marvin Mehlem,6.98,23-24
Joakim Mæhle,6.97,23-24
Iago,6.97,23-24
Grischa Prömel,6.97,23-24
Jeffrey Gouweleeuw,6.97,23-24
Maximilian Wittek,6.97,23-24
Mattias Svanberg,6.96,23-24
Julian Chabot,6.96,23-24
Max Finkgrafe,6.96,23-24
Fabian Nürnberger,6.96,23-24
Jan Schöppner,6.96,23-24
Lukas Hradecky,6.95,23-24
Eric Ebimbe,6.94,23-24
Kouadio Koné,6.94,23-24
Robin Koch,6.94,23-24
Michael Zetterer,6.94,23-24
Oliver Baumann,6.94,23-24
Bernardo,6.94,23-24
Patrick Osterhage,6.94,23-24
Kristijan Jakic,6.94,23-24
Florian Kainz,6.94,23-24
Robert Skov,6.93,23-24
Josip Juranovic,6.92,23-24
Felix Agu,6.92,23-24
Philipp Mwene,6.91,23-24
Senne Lynen,6.91,23-24
Anthony Losilla,6.91,23-24
Patrik Schick,6.91,23-24
Nico Elvedi,6.91,23-24
John Anthony Brooks,6.91,23-24
Fredrik Jensen,6.90,23-24
Robin Hack,6.90,23-24
Florian Neuhaus,6.89,23-24
Robin Knoche,6.89,23-24
Kevin Mbabu,6.88,23-24
Maxence Lacroix,6.88,23-24
Justin Njinmah,6.88,23-24
Nicolas Höfler,6.87,23-24
Jonathan Burkardt,6.87,23-24
Michael Gregoritsch,6.87,23-24
Matthias Bader,6.87,23-24
Anthony Jung,6.86,23-24
Leonardo Bittencourt,6.86,23-24
Niels Nkounkou,6.86,23-24
Ozan Kabak,6.85,23-24
Tim Skarke,6.85,23-24
Niklas Süle,6.85,23-24
Felix Nmecha,6.85,23-24
Gregor Kobel,6.85,23-24
Fares Chaibi,6.85,23-24
Felix Uduokhai,6.85,23-24
Kevin Kampl,6.84,23-24
Eric Martel,6.84,23-24
Benjamin Sesko,6.84,23-24
Maximilian Eggestein,6.83,23-24
Edimilson Fernandes,6.82,23-24
Josha Vagnoman,6.82,23-24
Phillip Tietz,6.82,23-24
Elvis Rexhbecaj,6.81,23-24
Omar Traoré,6.80,23-24
Niklas Dorsch,6.80,23-24
Aster Vranckx,6.80,23-24
Ihlas Bebou,6.79,23-24
Kevin Paredes,6.79,23-24
Ansgar Knauff,6.79,23-24
Ruben Vargas,6.79,23-24
Philipp Max,6.79,23-24
Jamie Bynoe-Gittens,6.78,23-24
Salih Özcan,6.78,23-24
Roland Sallai,6.78,23-24
Tom Krauss,6.77,23-24
Christopher Trimmel,6.77,23-24
Ko Itakura,6.77,23-24
András Schäfer,6.77,23-24
Matthias Ginter,6.77,23-24
Luca Netz,6.77,23-24
Robin Zentner,6.76,23-24
Tobias Kempe,6.76,23-24
Yannick Gerhardt,6.76,23-24
Mathys Tel,6.76,23-24
Olivier Deman,6.75,23-24
Philipp Hofmann,6.75,23-24
Hugo Larsson,6.75,23-24
Marius Wolf,6.75,23-24
Kevin Behrens,6.75,23-24
Silvan Widmer,6.75,23-24
Merlin Röhl,6.75,23-24
Fabian Holland,6.75,23-24
Jamie Leweling,6.74,23-24
Diogo Leite,6.74,23-24
Ridle Baku,6.74,23-24
Janik Haberer,6.73,23-24
Silas Katompa Mvumpa,6.72,23-24
Mads Valentin Pedersen,6.72,23-24
Lukas Klostermann,6.72,23-24
Frederik Rønnow,6.71,23-24
Lukas Kübler,6.70,23-24
Emir Karic,6.70,23-24
Danilho Doekhi,6.70,23-24
Benedikt Gimber,6.69,23-24
Gian-Luca Waldschmidt,6.69,23-24
Rani Khedira,6.69,23-24
Cristian Gamboa,6.69,23-24
Alexander Nübel,6.68,23-24
Yussuf Poulsen,6.68,23-24
Kilian Sildillia,6.68,23-24
Manuel Riemann,6.68,23-24
Dejan Ljubicic,6.68,23-24
Jordy Makengo,6.67,23-24
Jordan Pefok,6.67,23-24
Marvin Pieringer,6.67,23-24
Lucas Tousart,6.66,23-24
Woo-Yeong Jeong,6.66,23-24
Moritz Jenz,6.66,23-24
Lennard Maloney,6.65,23-24
Aurelio Buta,6.65,23-24
Nick Woltemade,6.64,23-24
Davie Selke,6.63,23-24
Kevin Sessa,6.63,23-24
Kevin Vogt,6.63,23-24
Adrian Beck,6.62,23-24
Nathan N'Goumou,6.62,23-24
Jan Thielmann,6.62,23-24
Milos Veljkovic,6.62,23-24
Noah Weisshaupt,6.61,23-24
Jonas Föhrenbach,6.61,23-24
Karim Adeyemi,6.61,23-24
Václav Cerny,6.61,23-24
Denis Huseinbasic,6.61,23-24
Norman Theuerkauf,6.60,23-24
Christoph Baumgartner,6.59,23-24
Luca Pfeiffer,6.59,23-24
Takuma Asano,6.58,23-24
Finn Dahmen,6.58,23-24
Marius Bülter,6.58,23-24
Umut Tohumcu,6.57,23-24
Arne Engels,6.56,23-24
Joseph Scally,6.56,23-24
Christopher Antwi-Adjej,6.55,23-24
Moritz Nicolas,6.55,23-24
Alex Kral,6.54,23-24
Kevin Müller,6.54,23-24
Ivan Ordets,6.54,23-24
Noah Atubolu,6.53,23-24
Aissa Laidouni,6.53,23-24
Marvin Friedrich,6.53,23-24
Matus Bero,6.53,23-24
Brenden Aaronson,6.53,23-24
Manuel Gulde,6.53,23-24
Janis Blaswich,6.52,23-24
Linton Maina,6.52,23-24
Benno Schmitz,6.52,23-24
Kevin Trapp,6.52,23-24
Christoph Klarer,6.51,23-24
Koen Casteels,6.49,23-24
Manuel Neuer,6.48,23-24
Marco Richter,6.48,23-24
Erhan Masovic,6.47,23-24
Kevin Volland,6.47,23-24
Tomas Cvancara,6.46,23-24
Karim Onisiwo,6.46,23-24
Bartol Franjic,6.44,23-24
Cedric Zesiger,6.42,23-24
Steffen Tigges,6.42,23-24
Sebastiaan Bornauw,6.42,23-24
Leart Paqarada,6.41,23-24
Faride Alidou,6.39,23-24
Tiago Tomás,6.39,23-24
Matej Maglica,6.38,23-24
Ludovic Ajorque,6.38,23-24
Klaus Gjasula,6.38,23-24
Marvin Schwäbe,6.38,23-24
Rasmus Carstensen,6.37,23-24
Nikola Dovedan,6.37,23-24
Mathias Honsak,6.35,23-24
Benedict Hollerbach,6.34,23-24
Sven Michel,6.33,23-24
Dion Drena Beljo,6.33,23-24
Marcel Schuhen,6.25,23-24
Oscar Vilhelmsson,6.24,23-24
Moritz Broschinski,6.16,23-24
Marvin Schwäbe,6.38,23-24
Rasmus Carstensen,6.37,23-24
Nikola Dovedan,6.37,23-24
Mathias Honsak,6.35,23-24
Benedict Hollerbach,6.34,23-24
Sven Michel,6.33,23-24
Dion Drena Beljo,6.33,23-24
Marcel Schuhen,6.25,23-24
Oscar Vilhelmsson,6.24,23-24
Moritz Broschinski,6.16,23-24
